state,      county,   tract,      occvac,item,       acs_tal,  acs_talse,  cen_tal,cen_talse,  diff_tal, diff_talse, acs_sal,acs_salse,  cen_sal,  cen_salse,  diff_sal,diff_salse, acs_ial,  acs_ialse,  cen_eal,cen_ealse,  diff_ial, diff_ialse
24,009,000000,O,sacres,1.6529,0.2901,6.5486,0.2559,-4.8957,0.3868,1.6829,0.3295,6.8805,0.3021,-5.1976,0.4470,1.5996,0.6037,5.5464,0.4748,-3.9468,0.7681
24,009,000000,O,sagsales,3.0143,0.6361,9.8947,0.4417,-6.8804,0.7744,2.0234,0.4809,9.9836,0.5048,-7.9602,0.6972,5.2594,1.9083,9.7786,0.9198,-4.5192,2.1184
24,009,000000,O,sautos,1.4905,0.3348,4.2248,0.3341,-2.7343,0.4730,1.1700,0.2781,3.3675,0.3467,-2.1975,0.4445,2.0489,0.8612,6.7547,0.8287,-4.7058,1.1952
24,009,000000,O,sbedrm,2.8021,0.3886,6.1505,0.3941,-3.3484,0.5535,3.4064,0.4476,5.4986,0.4326,-2.0922,0.6225,1.7495,0.7461,8.1522,0.8922,-6.4027,1.1631
24,009,000000,O,sbiz,1.4880,0.2824,5.6013,0.2379,-4.1133,0.3692,2.1192,0.3913,5.9485,0.2823,-3.8293,0.4825,0.3694,0.6920,4.5530,0.4324,-4.1836,0.8160
24,009,000000,O,sbldgsz,0.8262,0.2122,3.3209,0.2501,-2.4947,0.3280,1.0002,0.2474,3.6306,0.3021,-2.6304,0.3905,0.5231,0.3641,2.4068,0.4253,-1.8837,0.5599
24,009,000000,O,sckitch,0.6683,0.2043,2.6724,0.2218,-2.0041,0.3016,0.8511,0.2339,2.5257,0.2497,-1.6746,0.3422,0.3499,0.6554,3.1056,0.4742,-2.7557,0.8090
24,009,000000,O,scplumb,0.7196,0.2120,2.6921,0.2558,-1.9725,0.3322,0.9318,0.2484,2.5520,0.2884,-1.6202,0.3806,0.3499,0.6554,3.1056,0.5451,-2.7557,0.8525
24,009,000000,O,selecdx,6.0107,0.6324,12.2224,0.5057,-6.2117,0.8097,2.9777,0.4051,9.6290,0.5270,-6.6513,0.6647,11.2943,1.6334,19.8758,1.2246,-8.5815,2.0415
24,009,000000,O,sfuel,1.0538,0.2793,6.3863,0.3775,-5.3325,0.4696,0.8801,0.2169,5.8143,0.4180,-4.9342,0.4709,1.3563,0.7677,8.0745,0.8361,-6.7182,1.1351
24,009,000000,O,sgasdx,13.3791,0.8202,25.7614,0.6752,-12.3823,1.0624,16.1745,1.0401,29.4396,0.8142,-13.2651,1.3209,8.5095,1.4604,14.9068,1.0930,-6.3973,1.8241
