"Location","ST","CO","Total Males""Total Females""White - All Males""White - All Females""White - Not Hispanic Males""White - Not Hispanic Females""White - Hispanic Males""White - Hispanic Females""Black or African American - All Males""Black or African American - All Females""Black or African American - Not Hispanic Males""Black or African American - Not Hispanic Females""Black or African American - Hispanic Males""Black or African American - Hispanic Females""American Indian and Alaska Native - All Males""American Indian and Alaska Native - All Females""American Indian and Alaska Native - Not Hispanic Males""American Indian and Alaska Native - Not Hispanic Females""American Indian and Alaska Native - Hispanic Males""American Indian and Alaska Native - Hispanic Females""Asian - All Males""Asian - All Females""Asian - Not Hispanic Males""Asian - Not Hispanic Females""Asian - Hispanic Males""Asian - Hispanic Females""Native Hawaiian and Other Pacific Islander - All Males""Native Hawaiian and Other Pacific Islander - All Females""Native Hawaiian and Other Pacific Islander - Not Hispanic Males""Native Hawaiian and Other Pacific Islander - Not Hispanic Females""Native Hawaiian and Other Pacific Islander - Hispanic Males""Native Hawaiian and Other Pacific Islander - Hispanic Females""Some Other Race - All Males""Some Other Race - All Females""Some Other Race - Not Hispanic Males""Some Other Race - Not Hispanic Females""Some Other Race - Hispanic Males""Some Other Race - Hispanic Females""Two or More Races - All Males""Two or More Races - All Females""Two or More Races - Not Hispanic Males""Two or More Races - Not Hispanic Females""Two or More Races - Hispanic Males""Two or More Races - Hispanic Females"
"Location","ST","CO","EWPPCT012002","EWPPCT012106","EWP01","EWP112","EWP113","EWP114","White","EWP116","EWP117","EWP118","EWP119","EWP1110","Black","EWP1112","EWP1113","EWP1114","EWP1115","EWP1116","AI_AL","EWP1118","EWP1119","EWP1120","EWP1121","EWP1122","Asian","EWP1124","EWP1125","EWP1126","EWP1127","EWP1128","PI_Ma","PI_Fe","EWP1131","EWP1132","EWP1133","EWP1134","Other","EWP1136","EWP1137","EWP1138","EWP1139","EWP1140","TwoPl","EWP1142"
"Anderson County","47","001","34009","37321","31654     ","34939     ","31428     ","34696     ","226       ","243       ","1355      ","1411      ","1350      ","1399      ","5         ","12        ","110       ","116       ","105       ","116       ","5         ","0         ","271       ","322       ","265       ","312       ","6         ","10        ","4         ","5         ","4         ","5         ","0         ","0         ","154       ","120       ","26        ","23        ","128       ","97        ","461       ","408       ","429       ","385       ","32        ","23        "
"Bedford County","47","003","18645","18941","16129     ","16511     ","15161     ","15899     ","968       ","612       ","1546      ","1643      ","1522      ","1630      ","24        ","13        ","57        ","48        ","41        ","39        ","16        ","9         ","71        ","99        ","66        ","94        ","5         ","5         ","9         ","11        ","9         ","8         ","0         ","3         ","615       ","410       ","6         ","12        ","609       ","398       ","218       ","219       ","133       ","155       ","85        ","64        "
"Benton County","47","005","8006","8531","7758      ","8190      ","7702      ","8132      ","56        ","58        ","154       ","194       ","154       ","194       ","0         ","0         ","22        ","32        ","22        ","29        ","0         ","3         ","9         ","31        ","9         ","31        ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","14        ","19        ","3         ","2         ","11        ","17        ","49        ","65        ","44        ","58        ","5         ","7         "
"Bledsoe County","47","007","6771","5596","6229      ","5451      ","6178      ","5405      ","51        ","46        ","414       ","44        ","412       ","42        ","2         ","2         ","31        ","16        ","29        ","16        ","2         ","0         ","7         ","7         ","7         ","7         ","0         ","0         ","1         ","2         ","1         ","2         ","0         ","0         ","16        ","7         ","2         ","1         ","14        ","6         ","73        ","69        ","64        ","63        ","9         ","6         "
"Blount County","47","009","51227","54596","48471     ","51770     ","48142     ","51454     ","329       ","316       ","1494      ","1583      ","1477      ","1575      ","17        ","8         ","161       ","147       ","145       ","137       ","16        ","10        ","350       ","409       ","350       ","409       ","0         ","0         ","11        ","16        ","10        ","16        ","1         ","0         ","214       ","149       ","21        ","33        ","193       ","116       ","526       ","522       ","458       ","476       ","68        ","46        "
"Bradley County","47","011","42888","45077","39754     ","42038     ","39288     ","41629     ","466       ","409       ","1742      ","1769      ","1730      ","1751      ","12        ","18        ","138       ","112       ","121       ","99        ","17        ","13        ","217       ","284       ","211       ","278       ","6         ","6         ","9         ","5         ","8         ","4         ","1         ","1         ","464       ","320       ","31        ","41        ","433       ","279       ","564       ","549       ","481       ","471       ","83        ","78        "
"Campbell County","47","013","19199","20655","18829     ","20280     ","18717     ","20196     ","112       ","84        ","64        ","56        ","63        ","56        ","1         ","0         ","59        ","64        ","58        ","64        ","1         ","0         ","22        ","40        ","21        ","38        ","1         ","2         ","8         ","7         ","8         ","7         ","0         ","0         ","34        ","28        ","4         ","6         ","30        ","22        ","183       ","180       ","176       ","171       ","7         ","9         "
"Cannon County","47","015","6291","6535","6068      ","6356      ","6020      ","6311      ","48        ","45        ","97        ","90        ","90        ","89        ","7         ","1         ","31        ","11        ","29        ","11        ","2         ","0         ","3         ","12        ","3         ","10        ","0         ","2         ","3         ","0         ","3         ","0         ","0         ","0         ","33        ","18        ","4         ","2         ","29        ","16        ","56        ","48        ","52        ","45        ","4         ","3         "
"Carroll County","47","017","14148","15327","12399     ","13444     ","12304     ","13339     ","95        ","105       ","1453      ","1597      ","1442      ","1588      ","11        ","9         ","35        ","37        ","33        ","33        ","2         ","4         ","16        ","31        ","16        ","31        ","0         ","0         ","3         ","3         ","2         ","3         ","1         ","0         ","78        ","56        ","5         ","8         ","73        ","48        ","164       ","159       ","149       ","136       ","15        ","23        "
"Carter County","47","019","27574","29168","26811     ","28505     ","26637     ","28359     ","174       ","146       ","323       ","243       ","321       ","237       ","2         ","6         ","60        ","52        ","56        ","51        ","4         ","1         ","59        ","87        ","59        ","86        ","0         ","1         ","2         ","3         ","1         ","3         ","1         ","0         ","99        ","54        ","11        ","4         ","88        ","50        ","220       ","224       ","202       ","211       ","18        ","13        "
"Cheatham County","47","021","17981","17931","17422     ","17361     ","17278     ","17228     ","144       ","133       ","270       ","262       ","262       ","257       ","8         ","5         ","60        ","75        ","57        ","74        ","3         ","1         ","20        ","43        ","20        ","43        ","0         ","0         ","7         ","10        ","7         ","10        ","0         ","0         ","67        ","63        ","6         ","10        ","61        ","53        ","135       ","117       ","120       ","103       ","15        ","14        "
"Chester County","47","023","7550","7990","6663      ","7033      ","6620      ","6992      ","43        ","41        ","742       ","816       ","741       ","816       ","1         ","0         ","16        ","19        ","16        ","17        ","0         ","2         ","16        ","20        ","16        ","20        ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","26        ","22        ","10        ","7         ","16        ","15        ","87        ","80        ","67        ","68        ","20        ","12        "
"Claiborne County","47","025","14413","15449","14122     ","15080     ","14063     ","15011     ","59        ","69        ","101       ","123       ","101       ","123       ","0         ","0         ","33        ","39        ","33        ","38        ","0         ","1         ","31        ","54        ","29        ","47        ","2         ","7         ","1         ","2         ","1         ","2         ","0         ","0         ","32        ","24        ","6         ","6         ","26        ","18        ","93        ","127       ","88        ","122       ","5         ","5         "
"Clay County","47","027","3877","4099","3737      ","3980      ","3707      ","3957      ","30        ","23        ","57        ","58        ","52        ","53        ","5         ","5         ","15        ","11        ","15        ","11        ","0         ","0         ","3         ","8         ","3         ","8         ","0         ","0         ","7         ","2         ","2         ","2         ","5         ","0         ","10        ","9         ","0         ","0         ","10        ","9         ","48        ","31        ","28        ","30        ","20        ","1         "
"Cocke County","47","029","16321","17244","15652     ","16625     ","15525     ","16531     ","127       ","94        ","329       ","340       ","329       ","339       ","0         ","1         ","73        ","62        ","60        ","50        ","13        ","12        ","26        ","26        ","26        ","26        ","0         ","0         ","4         ","1         ","4         ","1         ","0         ","0         ","78        ","28        ","8         ","10        ","70        ","18        ","159       ","162       ","152       ","150       ","7         ","12        "
