SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,UNDER5_MALE,UNDER5_FEM,AGE513_TOT,AGE513_MALE,AGE513_FEM,AGE1417_TOT,AGE1417_MALE,AGE1417_FEM,AGE1824_TOT,AGE1824_MALE,AGE1824_FEM,AGE16PLUS_TOT,AGE16PLUS_MALE,AGE16PLUS_FEM,AGE18PLUS_TOT,AGE18PLUS_MALE,AGE18PLUS_FEM,AGE1544_TOT,AGE1544_MALE,AGE1544_FEM,AGE4564_TOT,AGE4564_MALE,AGE4564_FEM,AGE65PLUS_TOT,AGE65PLUS_MALE,AGE65PLUS_FEM,AGE85PLUS_TOT,AGE85PLUS_MALE,AGE85PLUS_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM
050,24,001,Maryland,Allegany County,1,74930,37319,37611,3757,1965,1792,7805,4017,3788,3844,2048,1796,8405,4201,4204,61487,30355,31132,59524,29289,30235,31375,16779,14596,17617,8745,8872,13429,5310,8119,1667,423,1244,39.1,37.0,41.5
050,24,001,Maryland,Allegany County,2,74930,37319,37611,3757,1965,1792,7805,4017,3788,3844,2048,1796,8405,4201,4204,61487,30355,31132,59524,29289,30235,31375,16779,14596,17617,8745,8872,13429,5310,8119,1667,423,1244,39.1,37.0,41.5
050,24,001,Maryland,Allegany County,3,74813,37294,37519,3747,1959,1788,7757,3992,3765,3832,2042,1790,8470,4248,4222,61432,30363,31069,59477,29301,30176,31316,16778,14538,17640,8760,8880,13413,5306,8107,1681,429,1252,39.1,37.0,41.5
050,24,001,Maryland,Allegany County,4,74336,37024,37312,3744,1954,1790,7511,3860,3651,3827,1999,1828,8662,4337,4325,61172,30208,30964,59254,29211,30043,31145,16713,14432,17659,8726,8933,13333,5294,8039,1745,436,1309,39.3,37.1,41.7
050,24,001,Maryland,Allegany County,5,73765,36782,36983,3678,1927,1751,7360,3802,3558,3751,1974,1777,8801,4338,4463,60880,30094,30786,58976,29079,29897,30862,16547,14315,17772,8805,8967,13217,5246,7971,1833,475,1358,39.4,37.2,41.8
050,24,001,Maryland,Allegany County,6,73366,36812,36554,3627,1935,1692,7174,3707,3467,3748,1994,1754,8581,4363,4218,60751,30214,30537,58817,29176,29641,30572,16585,13987,17829,8850,8979,13250,5260,7990,1905,496,1409,39.6,37.2,42.2
050,24,001,Maryland,Allegany County,7,73448,36828,36620,3575,1891,1684,7030,3623,3407,3718,1992,1726,8824,4489,4335,61000,30317,30683,59125,29322,29803,30848,16683,14165,17863,8865,8998,13233,5273,7960,1968,531,1437,39.5,37.1,42.1
050,24,001,Maryland,Allegany County,8,72777,36538,36239,3455,1802,1653,6858,3559,3299,3646,1963,1683,8749,4344,4405,60668,30210,30458,58818,29214,29604,30625,16630,13995,17849,8876,8973,13119,5224,7895,1999,526,1473,39.6,37.2,42.3
050,24,001,Maryland,Allegany County,9,72613,36558,36055,3383,1794,1589,6728,3476,3252,3634,1962,1672,8687,4357,4330,60741,30364,30377,58868,29326,29542,30646,16659,13987,17931,8950,8981,13063,5231,7832,2054,543,1511,39.5,37.1,42.4
050,24,001,Maryland,Allegany County,10,72594,36594,36000,3403,1779,1624,6638,3448,3190,3543,1922,1621,8771,4398,4373,60845,30456,30389,59010,29445,29565,30759,16750,14009,17953,8946,9007,13026,5238,7788,2105,581,1524,39.4,37.1,42.3
050,24,003,Maryland,Anne Arundel County,1,489656,243677,245979,33083,16958,16125,63766,32547,31219,26787,13815,12972,39710,21746,17964,379133,187135,191998,366020,180357,185663,220160,112274,107886,116937,57749,59188,48820,20631,28189,4440,1210,3230,36.0,35.1,36.9
050,24,003,Maryland,Anne Arundel County,2,489658,243678,245980,33083,16958,16125,63766,32547,31219,26787,13815,12972,39710,21746,17964,379135,187136,191999,366022,180358,185664,220162,112275,107887,116937,57749,59188,48820,20631,28189,4440,1210,3230,36.0,35.1,36.9
050,24,003,Maryland,Anne Arundel County,3,491357,244627,246730,33104,16981,16123,63823,32576,31247,26886,13869,13017,39971,21925,18046,380681,187993,192688,367544,181201,186343,220516,112542,107974,117970,58274,59696,49063,20741,28322,4503,1233,3270,36.1,35.2,37.0
050,24,003,Maryland,Anne Arundel County,4,497017,247364,249653,33388,17140,16248,63887,32526,31361,27500,14144,13356,41633,22718,18915,385873,190603,195270,372242,183554,188688,221476,112930,108546,121418,59968,61450,49871,21203,28668,4671,1334,3337,36.3,35.4,37.2
050,24,003,Maryland,Anne Arundel County,5,502570,249882,252688,33889,17412,16477,63740,32533,31207,28155,14365,13790,42949,23365,19584,390736,192728,198008,376786,185572,191214,221736,112904,108832,125306,61761,63545,50688,21652,29036,4819,1404,3415,36.6,35.6,37.5
050,24,003,Maryland,Anne Arundel County,6,505398,250755,254643,34375,17704,16671,63358,32250,31108,28446,14505,13941,43428,23613,19815,393270,193478,199792,379219,186296,192923,219804,111468,108336,129059,63435,65624,51620,22182,29438,5047,1516,3531,36.9,35.9,37.9
050,24,003,Maryland,Anne Arundel County,7,508686,252431,256255,34513,17732,16781,62356,31699,30657,29299,14971,14328,44621,24253,20368,396825,195282,201543,382518,188029,194489,219048,111363,107685,132182,64850,67332,52755,22761,29994,5204,1592,3612,37.1,36.1,38.1
050,24,003,Maryland,Anne Arundel County,8,510088,253090,256998,34306,17549,16757,61631,31407,30224,29589,15050,14539,44848,24596,20252,398991,196413,202578,384562,189084,195478,217856,110821,107035,135082,66260,68822,53853,23323,30530,5492,1717,3775,37.3,36.2,38.4
050,24,003,Maryland,Anne Arundel County,9,510230,253274,256956,34142,17489,16653,60954,31117,29837,29376,14984,14392,45589,25018,20571,400728,197380,203348,385758,189684,196074,215522,109864,105658,137421,67277,70144,55090,23928,31162,5851,1856,3995,37.6,36.4,38.7
050,24,003,Maryland,Anne Arundel County,10,512154,254294,257860,34071,17428,16643,60715,31080,29635,29171,14790,14381,46736,25500,21236,403342,198705,204637,388197,190996,197201,214116,109229,104887,139791,68420,71371,56517,24632,31885,6107,1928,4179,37.8,36.6,38.9
050,24,005,Maryland,Baltimore County,1,754292,357347,396945,45252,23038,22214,92801,47397,45404,40310,20570,19740,64441,30969,33472,595881,276516,319365,575929,266342,309587,319372,153693,165679,176369,83474,92895,110335,44525,65810,12757,3577,9180,37.7,36.4,38.9
050,24,005,Maryland,Baltimore County,2,754292,357347,396945,45252,23038,22214,92801,47397,45404,40310,20570,19740,64441,30969,33472,595881,276516,319365,575929,266342,309587,319372,153693,165679,176369,83474,92895,110335,44525,65810,12757,3577,9180,37.7,36.4,38.9
050,24,005,Maryland,Baltimore County,3,756030,358225,397805,45281,23054,22227,92812,47410,45402,40415,20620,19795,64811,31192,33619,597487,277323,320164,577522,267141,310381,319601,153824,165777,177674,84105,93569,110521,44628,65893,12902,3638,9264,37.8,36.5,39.0
050,24,005,Maryland,Baltimore County,4,762536,361410,401126,45452,23133,22319,92784,47317,45467,40934,20950,19984,67652,32739,34913,603789,280429,323360,583366,270010,313356,320698,154415,166283,182310,86304,96006,111002,44960,66042,13337,3911,9426,37.9,36.6,39.1
050,24,005,Maryland,Baltimore County,5,768697,364318,404379,45637,23342,22295,91943,46814,45129,41812,21349,20463,69470,33771,35699,610024,283408,326616,589305,272813,316492,321061,154697,166364,187578,88732,98846,111759,45312,66447,13915,4164,9751,38.1,36.8,39.4
050,24,005,Maryland,Baltimore County,6,774811,367735,407076,46290,23707,22583,90777,46248,44529,42530,21757,20773,71453,35009,36444,616010,286736,329274,595214,276023,319191,321916,155549,166367,192549,91043,101506,112345,45614,66731,14593,4453,10140,38.3,36.9,39.6
050,24,005,Maryland,Baltimore County,7,780022,370086,409936,46763,23956,22807,89534,45550,43984,43580,22242,21338,72769,35423,37346,621495,289236,332259,600145,278338,321807,321709,155366,166343,197767,93479,104288,113024,46002,67022,15184,4730,10454,38.5,37.1,39.8
050,24,005,Maryland,Baltimore County,8,782885,371691,411194,47015,24035,22980,88263,45002,43261,44040,22337,21703,73601,35887,37714,625416,291409,334007,603567,280317,323250,321424,155416,166008,202507,95821,106686,112739,45916,66823,16117,5101,11016,38.6,37.2,40.0
050,24,005,Maryland,Baltimore County,9,787762,374345,413417,47636,24275,23361,87243,44444,42799,44016,22444,21572,75691,37016,38675,631192,294579,336613,608867,283182,325685,322482,156226,166256,206757,97853,108904,112933,46024,66909,17046,5425,11621,38.7,37.2,40.1
050,24,005,Maryland,Baltimore County,10,788994,375256,413738,48231,24573,23658,85946,43816,42130,43370,22099,21271,77783,37998,39785,633706,296058,337648,611447,284768,326679,321407,156118,165289,209725,99159,110566,113302,46311,66991,17824,5786,12038,38.8,37.4,40.2
050,24,009,Maryland,Calvert County,1,74563,36767,37796,5077,2528,2549,11886,6129,5757,5093,2668,2425,4768,2448,2320,54965,26735,28230,52507,25442,27065,32181,15727,16454,17477,8910,8567,6627,2772,3855,664,180,484,35.9,35.6,36.3
050,24,009,Maryland,Calvert County,2,74563,36767,37796,5077,2528,2549,11886,6129,5757,5093,2668,2425,4768,2448,2320,54965,26735,28230,52507,25442,27065,32181,15727,16454,17477,8910,8567,6627,2772,3855,664,180,484,35.9,35.6,36.3
050,24,009,Maryland,Calvert County,3,75165,37078,38087,5092,2535,2557,11934,6150,5784,5136,2688,2448,4828,2493,2335,55476,27005,28471,53003,25705,27298,32395,15841,16554,17754,9055,8699,6670,2794,3876,674,184,490,36.0,35.6,36.4
050,24,009,Maryland,Calvert County,4,77348,38114,39234,5123,2553,2570,11947,6145,5802,5369,2758,2611,5525,2836,2689,57580,28014,29566,54909,26658,28251,33383,16357,17026,18655,9488,9167,6878,2878,4000,723,205,518,36.3,35.9,36.7
050,24,009,Maryland,Calvert County,5,80409,39616,40793,5314,2656,2658,11935,6116,5819,5568,2883,2685,6274,3185,3089,60333,29380,30953,57592,27961,29631,34791,17037,17754,19765,10032,9733,7161,3014,4147,782,224,558,36.4,35.9,36.9
050,24,009,Maryland,Calvert County,6,83385,41073,42312,5435,2732,2703,11987,6082,5905,5687,2977,2710,6941,3549,3392,63060,30720,32340,60276,29282,30994,36098,17729,18369,20883,10564,10319,7545,3199,4346,822,251,571,36.5,35.9,37.0
050,24,009,Maryland,Calvert County,7,85370,42008,43362,5537,2821,2716,11772,5913,5859,5873,3067,2806,7424,3755,3669,65080,31697,33383,62188,30207,31981,36901,18127,18774,21853,11017,10836,7780,3327,4453,879,276,603,36.6,36.0,37.1
050,24,009,Maryland,Calvert County,8,86813,42730,44083,5504,2793,2711,11565,5830,5735,5984,3118,2866,7610,3815,3795,66702,32541,34161,63760,30989,32771,37431,18470,18961,22744,11408,11336,8060,3469,4591,934,299,635,36.7,36.0,37.3
050,24,009,Maryland,Calvert County,9,87582,43093,44489,5379,2741,2638,11299,5672,5627,5988,3105,2883,7682,3930,3752,67909,33151,34758,64916,31575,33341,37593,18560,19033,23469,11715,11754,8356,3634,4722,1004,325,679,36.9,36.3,37.5
