,"U.S. Automotive Trade, 2000-2008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,In millions of dollars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jan.-March,,,,,Jan.-Sept.,,,,,,,Jan.-Sept.,,,,,,
,Country,,1989,1990,1991,1992,1993,1994,1995,,1996, 98-99% chg,1997, 98-99% chg,1998, 98-99% chg,1999, 98-99% chg,2000, % chg,% World '99,2001,%chg,2002,%chg,2003,%chg,2004,%chg,2005,%chg,2006,%chg,2007,%chg,2008,%chg,YTD 2007,YTD 2008,% chg,2006,%chg,YTD 2005,YTD 2006,% chg,% World '00,,2006,%chg,YTD 2005,YTD 2006,% chg,% World '00,,,
World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Vehicle exports,"13,568","16,155","18,324","18,929","21,676"," 21,676 ","22,446",,"23,962 ",27%,"25,593 ",0 ,"24,462 ",0 ,"23,824 ",-3%,"24,669 ",4%,1 ,"24,255 ",-2%,"27,809 ",14.7%,"30,925 ",11.2%,"34,579",11.8%,"40,939",18.4%,"46,307 ",13.1%,"56,596 ",22.2%,,-100.0%,"11,735 ","13,999 ",19.3%,,-100.0%,"29,599 ","34,193 ",15.5%,100%,153%,,-100.0%,"29,599 ","34,193 ",15.5%,100%,129%,,
,,Vehicle imports,"55,807","55,248","57,101","62,960","72,565"," 72,565 ","76,644",,"79,705 ",27%,"87,656 ",0 ,"94,650 ",0 ,"115,609 ",22%,"126,790 ",10%,1 ,"124,657 ",-2%,"132,407 ",6.2%,"132,983 ",0.4%,"141,793",6.6%,"142,946",0.8%,"156,173 ",9.3%,"154,104 ",-1.3%,,-100.0%,"37,979 ","37,728 ",-0.7%,,-100.0%,"102,240 ","113,850 ",11.4%,100%,229%,,-100.0%,"102,240 ","113,850 ",11.4%,100%,167%,,
,,Vehicle balance," (42,239)"," (39,093)"," (38,778)"," (44,031)"," (50,889)"," (50,889)","-54,198",,"(55,743)",27%,"(62,063)",0 ,"(70,188)",0 ,"(91,785)",31%,"(102,122)",11%,1 ,"(100,402)",-2%,"(104,598)",0 ,"(102,058)",-2.4%,"(107,214)",5.1%,"(102,007)",-4.9%,"(109,866)",7.7%,"(97,508)",-11.2%,,-100.0%,"(26,244)","(23,728)",-9.6%,,-100.0%,"(72,641)","(79,657)",9.7%,100%,261%,,-100.0%,"(72,641)","(79,657)",9.7%,100%,183%,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,#DIV/0!,,
,,Parts exports,"17,457","22,856","24,130","28,484","33,457"," 37,135 ","39,932",,"41,119 ",20155%,"46,643 ",0 ,"46,807 ",0 ,"49,901 ",7%,"53,720 ",8%,1 ,"49,794 ",-7%,"50,087 ",0.6%,"48,501 ",-3.2%,"52,628",8.5%,"55,054",4.6%,"58,864 ",6.9%,"61,954 ",5.3%,,-100.0%,"15,544 ","14,755 ",-5.1%,,-100.0%,"40,737 ","43,931 ",7.8%,100%,235%,,-100.0%,"40,737 ","43,931 ",7.8%,100%,118%,,
,,Parts imports,"31,995","31,683","29,838","33,527","38,310"," 44,969 ","46,458",,"48,459 ",174657%,"50,802 ",0 ,"54,365 ",0 ,"61,619 ",13%,"66,959 ",9%,1 ,"62,726 ",-6%,"69,089 ",10.1%,"74,469 ",7.8%,"83,444",12.1%,"92,154",10.4%,"95,179 ",3.3%,"98,722 ",3.7%,,-100.0%,"24,218 ","23,994 ",-0.9%,,-100.0%,"68,953 ","71,935 ",4.3%,100%,211%,,-100.0%,"68,953 ","71,935 ",4.3%,100%,154%,,
,,Parts balance," (14,538)"," (8,827)"," (5,708)"," (5,044)"," (4,853)"," (7,834)","-6,525",,"(7,340)",46%,"(4,159)",(0),"(7,558)",0 ,"(11,719)",55%,"(13,239)",13%,1 ,"(12,932)",-2%,"(19,002)",(0),"(25,968)",36.7%,"(30,816)",18.7%,"(37,100)",20.4%,"(36,315)",-2.1%,"(36,768)",1.2%,,-100.0%,"(8,674)","(9,239)",6.5%,,-100.0%,"(28,216)","(28,004)",-0.8%,100%,150%,,-100.0%,"(28,216)","(28,004)",-0.8%,100%,354%,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,#DIV/0!,,
,,Total exports," 31,025 "," 39,011 "," 42,454 "," 47,413 "," 55,133 "," 58,811 ","62,378",,"65,081 ",37%,"72,236 ",0 ,"71,269 ",0 ,"73,725 ",3%,"78,389 ",6%,1 ,"74,048 ",-6%,"77,896 ",0 ,"79,426 ",2.0%,"87,207 ",9.8%,"95,992 ",10.1%,"105,171 ",9.6%,"118,550 ",12.7%,,-100.0%,"27,279 ","28,754 ",5.4%,,-100.0%,"70,336 ","78,124 ",11.1%,100%,201%,,-100.0%,"70,336 ","78,124 ",11.1%,100%,122%,,
,,Total imports," 87,802 "," 86,931 "," 86,939 "," 96,488 "," 110,875 "," 117,534 ","123,102",,"128,164 ",33%,"138,458 ",0 ,"149,015 ",0 ,"177,228 ",19%,"193,749 ",9%,1 ,"187,383 ",-3%,"201,497 ",0 ,"207,451 ",3.0%,"225,237 ",8.6%,"235,100 ",4.4%,"251,352 ",6.9%,"252,826 ",0.6%,,-100.0%,"62,197 ","61,721 ",-0.8%,,-100.0%,"171,193 ","185,785 ",8.5%,100%,223%,,-100.0%,"171,193 ","185,785 ",8.5%,100%,162%,,
,,Total Balance," (56,777)"," (47,920)"," (44,486)"," (49,075)"," (55,742)"," (58,723)","-60,723",,"(63,083)",29%,"(66,222)",0 ,"(77,746)",0 ,"(103,503)",33%,"(115,360)",11%,1 ,"(113,334)",-2%,"(123,600)",(0),"(128,026)",3.6%,"(138,030)",7.8%,"(139,107)",0.8%,"(146,181)",5.1%,"(134,276)",-8.1%,,-100.0%,"(34,919)","(32,967)",-5.6%,,-100.0%,"(100,857)","(107,661)",6.7%,100%,241%,,-100.0%,"(100,857)","(107,661)",6.7%,100%,203%,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,#DIV/0!,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,#DIV/0!,,
North America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,#DIV/0!,,
,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,#DIV/0!,,
,,Vehicle exports,"8,582","8,099","9,081","8,240","9,181"," 11,333 ","11,450",,"12,195 ",0,"14,406 ",0,"13,867 ",0,"14,951 ",0,"14,863 ",-0.6%,63%,"13,260 ",-10.8%,"15,895 ",19.9%,"17,715 ",11.4%,"18,376",3.7%,"20,541",11.8%,"22,988 ",11.9%,"25,602 ",11.4%,,-100.0%,"5,663 ","6,005 ",6.0%,,-100.0%,"15,212 ","17,051 ",12.1%,43%,184%,,-100.0%,"15,212 ","17,051 ",12.1%,50%,145%,,
,,Vehicle imports,"19,563","20,410","20,626","22,527","26,741"," 30,933 ","33,337",,"33,676 ",0,"35,825 ",0,"37,518 ",0,"46,367 ",0,"45,371 ",-2.1%,40%,"40,879 ",-9.9%,"41,392 ",1.3%,"40,878 ",-1.2%,"46,539",13.8%,"48,079",3.3%,"48,076 ",0.0%,"47,022 ",-2.2%,,-100.0%,"12,558 ","9,972 ",-20.6%,,-100.0%,"34,301 ","35,912 ",4.7%,26%,222%,,-100.0%,"34,301 ","35,912 ",4.7%,32%,121%,,
,,Vehicle balance," (10,981)"," (12,311)"," (11,545)"," (14,286)"," (17,560)"," (19,600)","-21,887",,"(21,481)",1,"(21,419)",0,"(23,651)",0,"(31,416)",0,"(30,508)",-2.9%,34%,"(27,619)",-9.5%,"(25,496)",0 ,"(23,163)",-9.2%,"(28,163)",21.6%,"(27,538)",-2.2%,"(25,088)",-8.9%,"(21,420)",-14.6%,,-100.0%,"(6,896)","(3,967)",-42.5%,,-100.0%,"(19,088)","(18,861)",-1.2%,17%,248%,,-100.0%,"(19,088)","(18,861)",-1.2%,24%,108%,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,#DIV/0!,,
,,Parts exports,10,"13,676","13,575","15,282","18,282"," 20,097 ","21,823",,"22,228 ",0,"24,387 ",0,"25,298 ",0,"29,643 ",0,"29,601 ",-0.1%,59%,"26,372 ",-10.9%,"27,968 ",6.1%,"27,474 ",-1.8%,"29,914",8.9%,"31,239",4.4%,"31,900 ",2.1%,"32,665 ",2.4%,,-100.0%,"8,566 ","7,433 ",-13.2%,,-100.0%,"23,240 ","23,973 ",3.2%,50%,216%,,-100.0%,"23,240 ","23,973 ",3.2%,55%,124%,,
,,Parts imports,9,"9,093","7,973","8,996","10,301"," 11,324 ","11,184",,"12,639 ",0,"13,825 ",0,"14,712 ",0,"16,934 ",0,"17,634 ",4.1%,27%,"15,787 ",-10.5%,"17,217 ",9.1%,"18,569 ",7.9%,"20,164",8.6%,"21,581",7.0%,"20,424 ",-5.4%,"20,108 ",-1.5%,,-100.0%,"5,120 ","4,793 ",-6.4%,,-100.0%,"16,505 ","15,575 ",-5.6%,20%,194%,,-100.0%,"16,505 ","15,575 ",-5.6%,22%,147%,,
,,Parts balance, 0 ," 4,583 "," 5,602 "," 6,286 "," 7,982 "," 8,773 ","10,639",,"9,589 ",1,"10,562 ",0,"10,586 ",0,"12,709 ",0,"11,967 ",-5.8%,-108%,"10,585 ",-11.6%,"10,751 ",(0),"8,906 ",-17.2%,"9,751 ",9.5%,"9,659 ",-0.9%,"11,475 ",18.8%,"12,556 ",9.4%,,-100.0%,"3,446 ","2,640 ",-23.4%,,-100.0%,"6,735 ","8,398 ",24.7%,-29%,261%,,-100.0%,"6,735 ","8,398 ",24.7%,-30%,93%,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,#DIV/0!,,
,,Total exports," 8,592 "," 21,774 "," 22,655 "," 23,522 "," 27,463 "," 31,430 ","33,273",,"34,423 ",0,"38,793 ",0,"39,165 ",0,"44,594 ",0,"44,464 ",-0.3%,60%,"39,632 ",-10.9%,"43,863 ",0 ,"45,189 ",3.0%,"48,290 ",6.9%,"51,780 ",7.2%,"54,888 ",6.0%,"58,267 ",6.2%,,-100.0%,"14,228 ","13,438 ",-5.6%,,-100.0%,"38,452 ","41,024 ",6.7%,47%,204%,,-100.0%,"38,452 ","41,024 ",6.7%,53%,131%,,
