Flights with Taxi-out Time Over Three Hours June 2007,,,,,,,,,,,,,,,,,,,,,,,,
Taxi-Out Time: The time elapsed between departure from the origin airport gate and wheels off.,,,,,,,,,,,,,,,,,,,,,,,,
Ranked by taxi-out time,,,,,,,,,,,,,,,,,,,,,,,,
Taxi-out Time over five hours,,,,,,,,,,,,,,,,,,,,,,,,
Airline,Flight Date,Taxi-Out Time (in mins.),Flight Number,Origin Airport,Origin City,Destination Airport,Destination City,Day of Week,Scheduled Departure Time,Actual Gate Departure Time,Departure Delay (in mins.),Wheels Off,Air Time,Wheels On,Taxi-In Time (in mins.),Scheduled Arrival Time,Actual Gate Arrival Time,Arrival Delay (in mins.),Distance,Air Carrier ,NAS ,Security ,Weather ,Late Arriving Aircraft
Continental,6/8,383,728,EWR,"Newark, NJ",DEN,"Denver, CO",5,1445,1622,97,2245,227,32,8,1707,40,453,1605,97,356,0,0,0
Delta,6/8,367,741,JFK,"New York, NY",LAS,"Las Vegas, NV",5,1935,2002,27,209,306,415,7,2245,422,337,2248,0,337,0,0,0
ExpressJet,6/8,338,2403,EWR,"Newark, NJ",TUL,"Tulsa, OK",5,1830,1830,0,8,192,220,5,2107,225,318,1215,0,318,0,0,0
Delta,6/19,324,155,JFK,"New York, NY",CVG,"Cincinnati, OH",2,1625,1628,3,2152,120,2352,8,1841,2400,319,589,0,319,0,0,0
United,6/27,318,839,JFK,"New York, NY",LAX,"Los Angeles, CA",3,1825,1828,3,2346,335,221,8,2135,229,294,2475,0,294,0,0,0
Southwest,6/19,316,2276,PHL,"Philadelphia, PA",MDW,"Chicago, IL",2,1715,2026,191,142,96,218,4,1850,222,452,668,32,261,0,0,159
JetBlue,6/19,308,83,JFK,"New York, NY",SEA,"Seattle, WA",2,1920,1920,0,28,154,302,5,2245,307,262,2421,0,262,0,0,0
ExpressJet,6/27,305,2396,EWR,"Newark, NJ",DTW,"Detroit, MI",3,1810,1929,79,34,81,155,10,2030,205,335,487,0,261,0,0,74
JetBlue,6/19,303,171,JFK,"New York, NY",SMF,"Sacramento, CA",2,1935,1933,-2,36,157,313,6,2304,319,255,2521,0,255,0,0,0
Continental,6/28,301,392,EWR,"Newark, NJ",MCO,"Orlando, FL",4,1605,1624,19,2125,150,2355,8,1904,3,299,938,0,280,0,0,19
Delta,6/1,301,85,JFK,"New York, NY",SLC,"Salt Lake City, UT",5,1655,1656,1,2157,265,22,7,2025,29,244,1989,0,244,0,0,0
Delta,6/12,301,107,JFK,"New York, NY",SEA,"Seattle, WA",2,1630,1719,49,2220,313,33,7,1956,40,284,2421,0,266,0,0,18
Taxi-out Time over four hours,,,,,,,,,,,,,,,,,,,,,,,,
Airline,Flight Date,Taxi-Out Time (in mins.),Flight Number,Origin Airport,Origin City,Destination Airport,Destination City,Day of Week,Scheduled Departure Time,Actual Gate Departure Time,Departure Delay (in mins.),Wheels Off,Air Time,Wheels On,Taxi-In Time (in mins.),Scheduled Arrival Time,Actual Gate Arrival Time,Arrival Delay (in mins.),Distance,Air Carrier ,NAS ,Security ,Weather ,Late Arriving Aircraft
Continental,6/8,295,621,EWR,"Newark, NJ",IND,"Indianapolis, IN",5,1520,1611,51,2106,99,2245,4,1744,2249,305,644,0,272,0,0,33
Delta,6/10,295,149,JFK,"New York, NY",SFO,"San Francisco, CA",7,1840,1909,29,4,351,255,5,2226,300,274,2586,0,274,0,0,0
United,6/21,294,19,JFK,"New York, NY",SFO,"San Francisco, CA",4,2045,2050,5,144,336,420,7,32,427,235,2586,0,230,0,0,5
Delta,6/1,291,697,JFK,"New York, NY",PDX,"Portland, OR",5,1908,2025,77,116,303,319,5,2246,324,278,2454,0,201,0,0,77
US Airways,6/8,288,688,EWR,"Newark, NJ",PHX,"Phoenix, AZ",5,1815,1953,98,41,290,231,6,2042,237,355,2133,0,286,0,0,69
United,6/19,287,1219,PHL,"Philadelphia, PA",ORD,"Chicago, IL",2,1847,1930,43,17,102,59,7,2018,106,288,678,0,245,0,9,34
Comair,6/1,284,5492,JFK,"New York, NY",ORD,"Chicago, IL",5,1901,2000,59,44,115,139,6,2107,145,278,740,0,219,0,59,0
JetBlue,6/27,279,7,BUF,"Buffalo, NY",JFK,"New York, NY",3,1700,2007,187,46,61,147,29,1825,216,471,301,0,435,0,0,36
Continental,6/19,279,621,EWR,"Newark, NJ",IND,"Indianapolis, IN",2,1520,1543,23,2022,116,2218,6,1744,2224,280,644,23,257,0,0,0
Continental,6/27,279,1828,EWR,"Newark, NJ",LAS,"Las Vegas, NV",3,1915,1931,16,10,273,143,10,2203,153,230,2227,16,214,0,0,0
American Eagle,6/18,279,3927,MOB,"Mobile, AL",ORD,"Chicago, IL",1,1355,1358,3,1837,124,2041,20,1620,2101,281,779,0,281,0,0,0
United,6/27,278,195,PHL,"Philadelphia, PA",LAX,"Los Angeles, CA",3,1849,1932,43,10,308,218,9,2140,227,287,2401,0,244,0,10,33
ExpressJet,6/19,278,2403,EWR,"Newark, NJ",TUL,"Tulsa, OK",2,1830,2013,103,51,195,306,6,2107,312,365,1215,103,262,0,0,0
US Airways,6/12,276,1034,PHL,"Philadelphia, PA",ORD,"Chicago, IL",2,1346,1347,1,1823,107,1910,6,1500,1916,256,678,1,255,0,0,0
ExpressJet,6/19,275,2575,EWR,"Newark, NJ",PIT,"Pittsburgh, PA",2,1800,2001,121,36,60,136,8,1957,144,347,319,0,269,0,0,78
Delta,6/1,274,31,JFK,"New York, NY",LAX,"Los Angeles, CA",5,1640,1639,-1,2113,317,2330,13,2004,2343,219,2475,0,219,0,0,0
Comair,6/1,273,5516,JFK,"New York, NY",BOS,"Boston, MA",5,1650,1750,60,2223,37,2300,8,1825,2308,283,187,0,283,0,0,0
United,6/19,271,17,JFK,"New York, NY",SFO,"San Francisco, CA",2,1730,1724,-6,2155,351,46,4,2117,50,213,2586,0,213,0,0,0
American,6/12,270,1339,PHL,"Philadelphia, PA",MIA,"Miami, FL",2,1350,1401,11,1831,154,2105,8,1635,2113,278,1013,11,267,0,0,0
JetBlue,6/19,269,359,JFK,"New York, NY",BUR,"Burbank, CA",2,1820,1820,0,2249,107,36,4,2146,40,174,2465,0,174,0,0,0
Delta,6/27,269,1037,JFK,"New York, NY",PHX,"Phoenix, AZ",3,1900,2302,242,331,267,458,5,2201,503,422,2153,65,180,0,0,177
JetBlue,6/19,268,647,JFK,"New York, NY",SFO,"San Francisco, CA",2,1730,1743,13,2211,162,53,6,2102,59,237,2586,0,224,0,0,13
Delta,6/12,268,31,JFK,"New York, NY",LAX,"Los Angeles, CA",2,1620,1710,50,2138,312,2350,11,1930,1,271,2475,0,233,0,0,38
US Airways,6/27,268,863,PHL,"Philadelphia, PA",ORD,"Chicago, IL",3,1745,1925,100,2353,94,27,4,1904,31,327,678,100,227,0,0,0
Delta,6/1,267,79,JFK,"New York, NY",MIA,"Miami, FL",5,1850,1950,60,17,147,244,6,2233,250,257,1090,0,202,0,0,55
Delta,6/1,267,1871,JFK,"New York, NY",SAN,"San Diego, CA",5,1635,1645,10,2112,328,2340,5,1945,2345,240,2446,10,230,0,0,0
Delta,6/11,265,1037,JFK,"New York, NY",PHX,"Phoenix, AZ",1,1900,2158,178,223,268,351,7,2201,358,357,2153,21,179,0,0,157
US Airways,6/27,265,1571,PHL,"Philadelphia, PA",BDL,"Hartford, CT",3,2015,2111,56,136,36,212,5,2126,217,291,196,0,235,0,15,41
Continental,6/19,264,1185,EWR,"Newark, NJ",ORD,"Chicago, IL",2,1645,1641,-4,2105,131,2216,8,1828,2224,236,719,0,236,0,0,0
Comair,6/27,262,5077,PHL,"Philadelphia, PA",ATL,"Atlanta, GA",3,1915,2008,53,30,93,203,7,2118,210,292,665,0,239,0,0,53
