table with row headers in column A and column headers in rows 3 through 4.  (leading dots indicate sub-parts),,,,,,,,,
"Table 5: Annual Estimates of the Population for Minor Civil Divisions in New Jersey, Listed Alphabetically Within County: April 1, 2000 to July 1, 2005",,,,,,,,,
Geographic Area,,Population estimates,,,,,,"April 1, 2000",
,,"July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates base,Census
Atlantic County,New Jersey,"271,015","268,311","263,706","259,235","255,540","253,110","252,552","252,552"
.Absecon city,New Jersey,"7,989","7,894","7,841","7,696","7,652","7,640","7,638","7,638"
.Atlantic City city,New Jersey,"40,368","40,523","40,518","40,219","40,261","40,459","40,517","40,517"
.Brigantine city,New Jersey,"12,861","12,750","12,687","12,628","12,585","12,590","12,594","12,594"
.Buena borough,New Jersey,"3,848","3,856","3,833","3,837","3,842","3,866","3,873","3,873"
.Buena Vista township,New Jersey,"7,539","7,552","7,510","7,471","7,426","7,433","7,436","7,436"
.Corbin City city,New Jersey,531,524,516,503,490,472,468,468
.Egg Harbor township,New Jersey,"38,093","36,825","34,943","33,262","31,927","30,962","30,726","30,726"
.Egg Harbor City city,New Jersey,"4,497","4,493","4,488","4,494","4,506","4,536","4,545","4,545"
.Estell Manor city,New Jersey,"1,723","1,704","1,663","1,634","1,608","1,592","1,588","1,585"
.Folsom borough,New Jersey,"1,972","1,976","1,978","1,972","1,968","1,971","1,972","1,972"
.Galloway township,New Jersey,"35,833","35,010","34,322","33,557","32,632","31,490","31,209","31,209"
.Hamilton township,New Jersey,"23,899","23,666","22,763","21,956","21,069","20,610","20,499","20,499"
.Hammonton town,New Jersey,"13,585","13,261","13,000","12,830","12,704","12,622","12,604","12,604"
.Linwood city,New Jersey,"7,398","7,404","7,375","7,301","7,234","7,183","7,172","7,172"
.Longport borough,New Jersey,"1,090","1,081","1,061","1,054","1,052","1,053","1,054","1,054"
.Margate City city,New Jersey,"8,666","8,614","8,359","8,285","8,238","8,201","8,193","8,193"
.Mullica township,New Jersey,"6,109","6,061","6,029","5,963","5,927","5,914","5,912","5,912"
.Northfield city,New Jersey,"8,025","8,043","7,954","7,859","7,755","7,730","7,725","7,725"
.Pleasantville city,New Jersey,"19,032","19,086","19,037","19,001","18,960","18,998","19,012","19,012"
.Port Republic city,New Jersey,"1,194","1,139","1,072","1,058","1,042","1,038","1,037","1,037"
.Somers Point city,New Jersey,"11,701","11,714","11,622","11,524","11,539","11,597","11,614","11,614"
.Ventnor City city,New Jersey,"12,737","12,813","12,827","12,845","12,855","12,897","12,910","12,910"
.Weymouth township,New Jersey,"2,325","2,322","2,308","2,286","2,268","2,256","2,254","2,257"
Bergen County,New Jersey,"902,561","901,745","898,297","894,696","891,040","885,865","884,118","884,118"
.Allendale borough,New Jersey,"6,754","6,780","6,778","6,781","6,780","6,710","6,689","6,699"
.Alpine borough,New Jersey,"2,368","2,337","2,305","2,268","2,233","2,194","2,183","2,183"
.Bergenfield borough,New Jersey,"26,056","26,174","26,177","26,186","26,210","26,251","26,247","26,247"
.Bogota borough,New Jersey,"8,150","8,197","8,201","8,216","8,230","8,249","8,249","8,249"
.Carlstadt borough,New Jersey,"6,018","6,011","5,984","5,960","5,944","5,925","5,917","5,917"
.Cliffside Park borough,New Jersey,"23,035","22,980","22,952","22,972","22,992","23,013","23,007","23,007"
.Closter borough,New Jersey,"8,669","8,611","8,530","8,467","8,433","8,396","8,383","8,383"
.Cresskill borough,New Jersey,"8,449","8,200","7,901","7,857","7,826","7,765","7,746","7,746"
.Demarest borough,New Jersey,"5,005","4,931","4,904","4,892","4,868","4,852","4,845","4,845"
.Dumont borough,New Jersey,"17,474","17,546","17,526","17,518","17,509","17,511","17,503","17,503"
.East Rutherford borough,New Jersey,"8,960","8,742","8,720","8,720","8,716","8,719","8,716","8,716"
