stcty,reg,div,stname,ctyname,time,popestimate,popest_nonhisp,popest_hisp,whitea_tot,whitea_nonhisp,whitea_hisp,blacka_tot,blacka_nonhisp,blacka_hisp,aiana_tot,aiana_nonhisp,aiana_hisp,asiaa_tot,asiaa_nonhisp,asiaa_hisp,nhpia_tot,nhpia_nonhisp,nhpia_hisp,twoplus_tot,twoplus_nonhisp,twoplus_hisp
26001,2,3,Michigan,Alcona County,1,11719,11638,81,11500,11425,75,22,22,0,74,72,2,21,19,2,1,1,0,101,99,2
26003,2,3,Michigan,Alger County,1,9862,9763,99,8703,8644,59,605,596,9,331,306,25,34,32,2,4,3,1,185,182,3
26005,2,3,Michigan,Allegan County,1,105665,99625,6040,102028,96332,5696,1448,1326,122,596,525,71,636,580,56,38,17,21,919,845,74
26007,2,3,Michigan,Alpena County,1,31314,31133,181,30816,30650,166,78,74,4,124,120,4,103,102,1,1,1,0,192,186,6
26009,2,3,Michigan,Antrim County,1,23110,22826,284,22527,22266,261,46,42,4,248,236,12,38,36,2,22,22,0,229,224,5
26011,2,3,Michigan,Arenac County,1,17269,17031,238,16528,16310,218,321,314,7,165,159,6,50,50,0,2,1,1,203,197,6
26013,2,3,Michigan,Baraga County,1,8746,8665,81,6923,6879,44,453,438,15,1054,1040,14,25,24,1,1,1,0,290,283,7
26015,2,3,Michigan,Barry County,1,56755,55924,831,55663,54887,776,140,137,3,266,241,25,157,155,2,5,5,0,524,499,25
26017,2,3,Michigan,Bay County,1,110157,105849,4308,106238,102254,3984,1442,1360,82,632,523,109,543,535,8,13,7,6,1289,1170,119
26019,2,3,Michigan,Benzie County,1,15998,15765,233,15511,15293,218,45,43,2,255,248,7,25,25,0,1,0,1,161,156,5
26021,2,3,Michigan,Berrien County,1,162453,157565,4888,131548,127138,4410,26210,25939,271,723,655,68,1897,1880,17,85,69,16,1990,1884,106
26023,2,3,Michigan,Branch County,1,45787,44422,1365,43646,42399,1247,1231,1198,33,226,199,27,218,183,35,10,7,3,456,436,20
26025,2,3,Michigan,Calhoun County,1,137985,133634,4351,117896,114020,3876,15199,14979,220,875,790,85,1561,1540,21,38,28,10,2416,2277,139
26027,2,3,Michigan,Cass County,1,51104,49871,1233,46263,45175,1088,3172,3133,39,433,393,40,311,302,9,4,2,2,921,866,55
26029,2,3,Michigan,Charlevoix County,1,26090,25818,272,25254,25012,242,46,43,3,412,390,22,59,59,0,23,19,4,296,295,1
26031,2,3,Michigan,Cheboygan County,1,26448,26246,202,25143,24971,172,69,62,7,681,665,16,52,52,0,5,5,0,498,491,7
26033,2,3,Michigan,Chippewa County,1,38543,37944,599,29448,29055,393,2206,2146,60,5141,5048,93,184,179,5,10,10,0,1554,1506,48
26035,2,3,Michigan,Clare County,1,31252,30912,340,30554,30245,309,105,103,2,227,216,11,80,78,2,4,2,2,282,268,14
