SUMLEV,STATE,COUNTY,STNAME,CTYNAME,SEX,ORIGIN,RACE,CENSUS2000POP,ESTIMATESBASE2000,POPESTIMATE2000,POPESTIMATE2001,POPESTIMATE2002,POPESTIMATE2003,POPESTIMATE2004,POPESTIMATE2005,POPESTIMATE2006,POPESTIMATE2007
050,04,001,Arizona,Apache County,0,0,1,15470,15470,15492,15526,15596,16163,16370,16565,17046,17571
050,04,001,Arizona,Apache County,0,0,2,271,271,322,521,602,688,677,761,850,917
050,04,001,Arizona,Apache County,0,0,3,54034,54034,54077,52112,51348,51378,51215,51163,51811,51662
050,04,001,Arizona,Apache County,0,0,4,155,155,207,204,235,263,287,309,339,361
050,04,001,Arizona,Apache County,0,0,5,84,84,104,69,84,95,103,119,140,140
050,04,001,Arizona,Apache County,0,1,1,12839,12839,12836,12867,12832,13276,13622,13779,14298,14699
050,04,001,Arizona,Apache County,0,1,2,245,245,287,458,524,594,576,649,729,774
050,04,001,Arizona,Apache County,0,1,3,53558,53558,53563,51592,50812,50819,50645,50586,51230,51071
050,04,001,Arizona,Apache County,0,1,4,135,135,177,177,202,224,241,258,280,302
050,04,001,Arizona,Apache County,0,1,5,65,65,79,56,61,70,68,85,98,103
050,04,001,Arizona,Apache County,0,2,1,2631,2631,2656,2659,2764,2887,2748,2786,2748,2872
050,04,001,Arizona,Apache County,0,2,2,26,26,35,63,78,94,101,112,121,143
050,04,001,Arizona,Apache County,0,2,3,476,476,514,520,536,559,570,577,581,591
050,04,001,Arizona,Apache County,0,2,4,20,20,30,27,33,39,46,51,59,59
050,04,001,Arizona,Apache County,0,2,5,19,19,25,13,23,25,35,34,42,37
050,04,001,Arizona,Apache County,1,0,1,7863,7863,7870,7862,7894,8158,8240,8299,8528,8775
050,04,001,Arizona,Apache County,1,0,2,159,159,186,285,337,376,367,404,450,486
050,04,001,Arizona,Apache County,1,0,3,26574,26574,26594,25604,25174,25140,25109,25082,25333,25295
050,04,001,Arizona,Apache County,1,0,4,67,67,92,89,105,118,129,128,146,155
050,04,001,Arizona,Apache County,1,0,5,40,40,56,37,44,42,49,58,65,64
050,04,001,Arizona,Apache County,1,1,1,6436,6436,6427,6421,6402,6607,6767,6822,7074,7254
050,04,001,Arizona,Apache County,1,1,2,147,147,167,259,301,327,315,348,389,410
050,04,001,Arizona,Apache County,1,1,3,26345,26345,26339,25352,24910,24859,24822,24793,25044,25002
050,04,001,Arizona,Apache County,1,1,4,55,55,74,74,86,95,102,99,113,121
050,04,001,Arizona,Apache County,1,1,5,31,31,41,30,32,32,30,41,45,47
050,04,001,Arizona,Apache County,1,2,1,1427,1427,1443,1441,1492,1551,1473,1477,1454,1521
050,04,001,Arizona,Apache County,1,2,2,12,12,19,26,36,49,52,56,61,76
050,04,001,Arizona,Apache County,1,2,3,229,229,255,252,264,281,287,289,289,293
050,04,001,Arizona,Apache County,1,2,4,12,12,18,15,19,23,27,29,33,34
050,04,001,Arizona,Apache County,1,2,5,9,9,15,7,12,10,19,17,20,17
050,04,001,Arizona,Apache County,2,0,1,7607,7607,7622,7664,7702,8005,8130,8266,8518,8796
050,04,001,Arizona,Apache County,2,0,2,112,112,136,236,265,312,310,357,400,431
050,04,001,Arizona,Apache County,2,0,3,27460,27460,27483,26508,26174,26238,26106,26081,26478,26367
050,04,001,Arizona,Apache County,2,0,4,88,88,115,115,130,145,158,181,193,206
050,04,001,Arizona,Apache County,2,0,5,44,44,48,32,40,53,54,61,75,76
050,04,001,Arizona,Apache County,2,1,1,6403,6403,6409,6446,6430,6669,6855,6957,7224,7445
050,04,001,Arizona,Apache County,2,1,2,98,98,120,199,223,267,261,301,340,364
050,04,001,Arizona,Apache County,2,1,3,27213,27213,27224,26240,25902,25960,25823,25793,26186,26069
050,04,001,Arizona,Apache County,2,1,4,80,80,103,103,116,129,139,159,167,181
050,04,001,Arizona,Apache County,2,1,5,34,34,38,26,29,38,38,44,53,56
050,04,001,Arizona,Apache County,2,2,1,1204,1204,1213,1218,1272,1336,1275,1309,1294,1351
050,04,001,Arizona,Apache County,2,2,2,14,14,16,37,42,45,49,56,60,67
050,04,001,Arizona,Apache County,2,2,3,247,247,259,268,272,278,283,288,292,298
050,04,001,Arizona,Apache County,2,2,4,8,8,12,12,14,16,19,22,26,25
050,04,001,Arizona,Apache County,2,2,5,10,10,10,6,11,15,16,17,22,20
050,04,003,Arizona,Cochise County,0,0,1,107920,107904,108133,108706,109862,111251,112953,114749,115751,116625
050,04,003,Arizona,Cochise County,0,0,2,6480,6480,6500,6532,6575,6584,7020,7286,7471,7668
050,04,003,Arizona,Cochise County,0,0,3,2531,2529,2491,2532,2553,2537,2572,2593,2584,2556
050,04,003,Arizona,Cochise County,0,0,4,3014,3014,2998,3108,3140,3242,3293,3426,3512,3617
050,04,003,Arizona,Cochise County,0,0,5,553,553,528,561,567,579,578,603,629,646
050,04,003,Arizona,Cochise County,0,1,1,73028,73014,73003,73171,73980,74599,75751,77062,77761,78088
050,04,003,Arizona,Cochise County,0,1,2,5845,5845,5889,5859,5847,5804,6167,6376,6521,6677
050,04,003,Arizona,Cochise County,0,1,3,1857,1855,1815,1841,1859,1837,1856,1877,1858,1830
050,04,003,Arizona,Cochise County,0,1,4,2742,2742,2775,2872,2895,2988,3032,3155,3232,3333
050,04,003,Arizona,Cochise County,0,1,5,466,466,476,508,515,526,524,550,571,590
050,04,003,Arizona,Cochise County,0,2,1,34892,34890,35130,35535,35882,36652,37202,37687,37990,38537
050,04,003,Arizona,Cochise County,0,2,2,635,635,611,673,728,780,853,910,950,991
050,04,003,Arizona,Cochise County,0,2,3,674,674,676,691,694,700,716,716,726,726
050,04,003,Arizona,Cochise County,0,2,4,272,272,223,236,245,254,261,271,280,284
050,04,003,Arizona,Cochise County,0,2,5,87,87,52,53,52,53,54,53,58,56
050,04,003,Arizona,Cochise County,1,0,1,54363,54355,54476,54639,55010,55297,56153,56931,57368,57658
050,04,003,Arizona,Cochise County,1,0,2,3594,3594,3590,3584,3575,3496,3726,3842,3931,4015
050,04,003,Arizona,Cochise County,1,0,3,1336,1334,1314,1336,1346,1332,1351,1354,1350,1334
050,04,003,Arizona,Cochise County,1,0,4,1138,1138,1139,1184,1175,1191,1226,1272,1296,1333
050,04,003,Arizona,Cochise County,1,0,5,280,280,268,280,283,289,294,306,318,324
050,04,003,Arizona,Cochise County,1,1,1,37116,37109,37113,37117,37382,37399,38003,38563,38895,38977
050,04,003,Arizona,Cochise County,1,1,2,3305,3305,3304,3265,3233,3133,3326,3415,3484,3549
050,04,003,Arizona,Cochise County,1,1,3,1011,1009,984,1000,1007,993,1005,1011,1003,985
050,04,003,Arizona,Cochise County,1,1,4,997,997,1023,1060,1046,1061,1093,1138,1157,1191
050,04,003,Arizona,Cochise County,1,1,5,235,235,239,250,254,259,263,276,285,292
050,04,003,Arizona,Cochise County,1,2,1,17247,17246,17363,17522,17628,17898,18150,18368,18473,18681
050,04,003,Arizona,Cochise County,1,2,2,289,289,286,319,342,363,400,427,447,466
050,04,003,Arizona,Cochise County,1,2,3,325,325,330,336,339,339,346,343,347,349
050,04,003,Arizona,Cochise County,1,2,4,141,141,116,124,129,130,133,134,139,142
050,04,003,Arizona,Cochise County,1,2,5,45,45,29,30,29,30,31,30,33,32
050,04,003,Arizona,Cochise County,2,0,1,53557,53549,53657,54067,54852,55954,56800,57818,58383,58967
050,04,003,Arizona,Cochise County,2,0,2,2886,2886,2910,2948,3000,3088,3294,3444,3540,3653
050,04,003,Arizona,Cochise County,2,0,3,1195,1195,1177,1196,1207,1205,1221,1239,1234,1222
050,04,003,Arizona,Cochise County,2,0,4,1876,1876,1859,1924,1965,2051,2067,2154,2216,2284
050,04,003,Arizona,Cochise County,2,0,5,273,273,260,281,284,290,284,297,311,322
050,04,003,Arizona,Cochise County,2,1,1,35912,35905,35890,36054,36598,37200,37748,38499,38866,39111
050,04,003,Arizona,Cochise County,2,1,2,2540,2540,2585,2594,2614,2671,2841,2961,3037,3128
050,04,003,Arizona,Cochise County,2,1,3,846,846,831,841,852,844,851,866,855,845
050,04,003,Arizona,Cochise County,2,1,4,1745,1745,1752,1812,1849,1927,1939,2017,2075,2142
050,04,003,Arizona,Cochise County,2,1,5,231,231,237,258,261,267,261,274,286,298
050,04,003,Arizona,Cochise County,2,2,1,17645,17644,17767,18013,18254,18754,19052,19319,19517,19856
050,04,003,Arizona,Cochise County,2,2,2,346,346,325,354,386,417,453,483,503,525
050,04,003,Arizona,Cochise County,2,2,3,349,349,346,355,355,361,370,373,379,377
050,04,003,Arizona,Cochise County,2,2,4,131,131,107,112,116,124,128,137,141,142
050,04,003,Arizona,Cochise County,2,2,5,42,42,23,23,23,23,23,23,25,24
050,04,005,Arizona,Coconino County,0,0,1,80360,80360,80478,81469,83423,84111,85267,86141,86945,87920
050,04,005,Arizona,Coconino County,0,0,2,1630,1630,1648,1708,1769,1843,1933,1982,2046,2106
050,04,005,Arizona,Coconino County,0,0,3,34653,34653,34714,34702,35292,35502,36083,36523,36960,37203
050,04,005,Arizona,Coconino County,0,0,4,1321,1321,1405,1511,1593,1736,1804,1867,1955,2052
050,04,005,Arizona,Coconino County,0,0,5,212,212,178,196,209,214,214,220,222,228
050,04,005,Arizona,Coconino County,0,1,1,68631,68631,68620,69496,70858,71559,72238,72659,73128,73917
050,04,005,Arizona,Coconino County,0,1,2,1465,1465,1510,1550,1596,1662,1742,1787,1844,1896
050,04,005,Arizona,Coconino County,0,1,3,33691,33691,33741,33711,34285,34469,35020,35442,35864,36094
050,04,005,Arizona,Coconino County,0,1,4,1246,1246,1330,1432,1508,1648,1712,1769,1853,1944
050,04,005,Arizona,Coconino County,0,1,5,178,178,142,161,173,177,177,183,184,187
050,04,005,Arizona,Coconino County,0,2,1,11729,11729,11858,11973,12565,12552,13029,13482,13817,14003
050,04,005,Arizona,Coconino County,0,2,2,165,165,138,158,173,181,191,195,202,210
050,04,005,Arizona,Coconino County,0,2,3,962,962,973,991,1007,1033,1063,1081,1096,1109
050,04,005,Arizona,Coconino County,0,2,4,75,75,75,79,85,88,92,98,102,108
050,04,005,Arizona,Coconino County,0,2,5,34,34,36,35,36,37,37,37,38,41
050,04,005,Arizona,Coconino County,1,0,1,40522,40522,40621,41122,42141,42536,43192,43658,44110,44588
050,04,005,Arizona,Coconino County,1,0,2,847,847,841,867,897,933,983,1008,1041,1062
050,04,005,Arizona,Coconino County,1,0,3,16911,16911,16919,16903,17163,17259,17531,17736,17932,18065
050,04,005,Arizona,Coconino County,1,0,4,608,608,677,729,755,816,840,863,904,937
050,04,005,Arizona,Coconino County,1,0,5,112,112,88,94,103,101,103,107,107,108
050,04,005,Arizona,Coconino County,1,1,1,34487,34487,34515,34930,35634,36025,36407,36636,36902,37286
050,04,005,Arizona,Coconino County,1,1,2,765,765,772,785,809,841,885,907,937,955
050,04,005,Arizona,Coconino County,1,1,3,16406,16406,16405,16382,16632,16714,16972,17168,17358,17484
050,04,005,Arizona,Coconino County,1,1,4,564,564,638,687,711,770,791,812,850,880
050,04,005,Arizona,Coconino County,1,1,5,90,90,72,78,87,85,87,91,90,90
050,04,005,Arizona,Coconino County,1,2,1,6035,6035,6106,6192,6507,6511,6785,7022,7208,7302
050,04,005,Arizona,Coconino County,1,2,2,82,82,69,82,88,92,98,101,104,107
050,04,005,Arizona,Coconino County,1,2,3,505,505,514,521,531,545,559,568,574,581
050,04,005,Arizona,Coconino County,1,2,4,44,44,39,42,44,46,49,51,54,57
050,04,005,Arizona,Coconino County,1,2,5,22,22,16,16,16,16,16,16,17,18
050,04,005,Arizona,Coconino County,2,0,1,39838,39838,39857,40347,41282,41575,42075,42483,42835,43332
050,04,005,Arizona,Coconino County,2,0,2,783,783,807,841,872,910,950,974,1005,1044
050,04,005,Arizona,Coconino County,2,0,3,17742,17742,17795,17799,18129,18243,18552,18787,19028,19138
050,04,005,Arizona,Coconino County,2,0,4,713,713,728,782,838,920,964,1004,1051,1115
050,04,005,Arizona,Coconino County,2,0,5,100,100,90,102,106,113,111,113,115,120
050,04,005,Arizona,Coconino County,2,1,1,34144,34144,34105,34566,35224,35534,35831,36023,36226,36631
050,04,005,Arizona,Coconino County,2,1,2,700,700,738,765,787,821,857,880,907,941
050,04,005,Arizona,Coconino County,2,1,3,17285,17285,17336,17329,17653,17755,18048,18274,18506,18610
050,04,005,Arizona,Coconino County,2,1,4,682,682,692,745,797,878,921,957,1003,1064
050,04,005,Arizona,Coconino County,2,1,5,88,88,70,83,86,92,90,92,94,97
050,04,005,Arizona,Coconino County,2,2,1,5694,5694,5752,5781,6058,6041,6244,6460,6609,6701
050,04,005,Arizona,Coconino County,2,2,2,83,83,69,76,85,89,93,94,98,103
050,04,005,Arizona,Coconino County,2,2,3,457,457,459,470,476,488,504,513,522,528
050,04,005,Arizona,Coconino County,2,2,4,31,31,36,37,41,42,43,47,48,51
050,04,005,Arizona,Coconino County,2,2,5,12,12,20,19,20,21,21,21,21,23
050,04,007,Arizona,Gila County,0,0,1,44086,44086,44092,43813,43825,43388,43264,43197,43645,44135
050,04,007,Arizona,Gila County,0,0,2,275,275,257,298,305,331,338,352,359,384
050,04,007,Arizona,Gila County,0,0,3,7101,7101,7134,7139,7173,7249,7324,7409,7518,7537
050,04,007,Arizona,Gila County,0,0,4,306,306,277,325,347,368,377,398,406,426
050,04,007,Arizona,Gila County,0,0,5,57,57,34,34,37,36,37,37,40,44
050,04,007,Arizona,Gila County,0,1,1,35894,35894,35813,35595,35603,35198,35150,35093,35468,35847
050,04,007,Arizona,Gila County,0,1,2,224,224,212,251,255,280,284,296,303,323
050,04,007,Arizona,Gila County,0,1,3,6780,6780,6797,6789,6809,6874,6935,7010,7113,7130
050,04,007,Arizona,Gila County,0,1,4,269,269,261,306,326,344,353,374,383,404
050,04,007,Arizona,Gila County,0,1,5,46,46,25,25,27,27,28,28,31,35
