stcty,reg,div,stname,ctyname,time,popestimate,popest_nonhisp,popest_hisp,whiteac_tot,whiteac_nonhisp,whiteac_hisp,blackac_tot,blackac_nonhisp,blackac_hisp,aianac_tot,aianac_nonhisp,aianac_hisp,asiaac_tot,asiaac_nonhisp,asiaac_hisp,nhpiac_tot,nhpiac_nonhisp,nhpiac_hisp
18001,2,3,Indiana,Adams County,1,33625,32507,1118,33435,32342,1093,75,68,7,146,129,17,93,92,1,22,13,9
18003,2,3,Indiana,Allen County,1,331849,317972,13877,287174,274381,12793,40620,39776,844,2657,2353,304,5713,5565,148,283,231,52
18005,2,3,Indiana,Bartholomew County,1,71435,69837,1598,68546,67031,1515,1595,1550,45,281,262,19,1498,1468,30,47,36,11
18007,2,3,Indiana,Benton County,1,9421,9176,245,9374,9142,232,41,38,3,92,80,12,17,16,1,5,0,5
18009,2,3,Indiana,Blackford County,1,14048,13965,83,13952,13882,70,48,40,8,123,117,6,30,30,0,0,0,0
18011,2,3,Indiana,Boone County,1,46107,45573,534,45589,45094,495,229,211,18,224,197,27,282,276,6,11,11,0
18013,2,3,Indiana,Brown County,1,14957,14826,131,14854,14726,128,67,67,0,102,97,5,57,56,1,7,6,1
18015,2,3,Indiana,Carroll County,1,20165,19574,591,20077,19491,586,51,47,4,75,73,2,26,26,0,6,5,1
18017,2,3,Indiana,Cass County,1,40930,38025,2905,39966,37200,2766,644,593,51,278,214,64,281,261,20,43,26,17
18019,2,3,Indiana,Clark County,1,96472,94673,1799,89040,87401,1639,7077,6977,100,680,629,51,771,752,19,91,72,19
18021,2,3,Indiana,Clay County,1,26556,26401,155,26356,26222,134,130,121,9,167,155,12,55,51,4,15,13,2
18023,2,3,Indiana,Clinton County,1,33866,31388,2478,33584,31206,2378,170,95,75,139,125,14,94,75,19,22,15,7
18025,2,3,Indiana,Crawford County,1,10743,10643,100,10650,10567,83,26,23,3,68,62,6,24,20,4,16,7,9
18027,2,3,Indiana,Daviess County,1,29820,29200,620,29521,28938,583,182,158,24,142,122,20,95,91,4,18,13,5
18029,2,3,Indiana,Dearborn County,1,46109,45843,266,45595,45341,254,383,373,10,225,213,12,180,177,3,20,18,2
18031,2,3,Indiana,Decatur County,1,24555,24423,132,24334,24207,127,22,20,2,90,87,3,205,205,0,7,5,2
