 
"Organization Name - Effective 27-JUN-05","Grant Number","NIH Reference","PI Name","Project Title","NIH Dept Combining Name","NIH MC Combining Name","Award","City","State or Country Name","Zip Code","Attributed to Medical School","Medical School - Grant is Attributed To","Medical School Location","  "
"BUSINESSTECH CONSULTING, LLC","1R43DA016093-01A1","6692031","Grabinski, Michael J","Therapeutic Workplace Treatment: Widespread Deployment","","","$ 100,000","BURLINGTON","VERMONT","05401","","","","  "
"CHADWICK OPTICAL, INC.","5R43EY014723-02","6717635","Keeney, Karen L","Field Expansion Prism Glasses for Homonymous Hemianopia","","","$ 263,605","WHITE RIVER JUNCTION","VERMONT","05001","","","","  "
"HAEMATOLOGIC TECHNOLOGIES, INC.","1R41HL076904-01","6788588","Jenny, Richard J","A Global Test of Hemostatic Risk","","","$ 99,039","ESSEX JUNCTION","VERMONT","05452","","","","  "
"HEALTHSIM, INC.","5R42DA014727-03","6778351","Marsch, Lisa A","Applying Web Technology to Buprenorphine Treatment","","","$ 238,596","BURLINGTON","VERMONT","05401","","","","  "
"INTERNATIONAL CANNABINOID RESEARCH SOC","5R13DA016280-02","6706918","Reggio, Patricia H","ICRS Symposium on the Cannabinoids","","","$ 25,000","BURLINGTON","VERMONT","05405","","","","  "
"LAUREATE LEARNING SYSTEMS, INC.","5R44DC004107-04","6764134","Wilson, Mary S","Software Intervention for Advanced Syntax Development","","","$ 34,450","WINOOSKI","VERMONT","05404-1898","","","","  "
"LAUREATE LEARNING SYSTEMS, INC.","5R44DC004487-03","6795077","Wilson, Mary S","Early Language Intervention via the Internet","","","$ 606,618","WINOOSKI","VERMONT","05404-1898","","","","  "
"MERIDIAN SENSORS, INC.","1R43AT002021-01A1","6833348","Davis, Robert T","Acupuncture Needling Torque Sensor","","","$ 100,000","SOUTH BURLINGTON","VERMONT","05403","","","","  "
"MICROBRIGHTFIELD, INC.","1R44MH072063-01","6818849","Glaser, Jacob R","Automated Neuron Tracing and 3D Reconstruction Software","","","$ 100,000","WILLISTON","VERMONT","05495","","","","  "
"MICROBRIGHTFIELD, INC.","5R44MH062840-03","6699078","Glaser, Jacob R","Computer Microscopy and Neuroinformatics System","","","$ 374,887","WILLISTON","VERMONT","05495","","","","  "
"MICRODESIGN CONSULTING, INC.","5R43AG022795-02","6805248","Keyes, Lawrence M","Early detection of falls with multidimensional sensors","","","$ 100,000","COLCHESTER","VERMONT","05446","","","","  "
"MIDDLEBURY COLLEGE","1R01DE014711-01A2","6825904","Spatafora, Grace A","Cloning/Characterization of S. mutans Iron Stimulation","BIOLOGY","SCHOOLS OF ARTS AND SCIENCES","$ 187,534","MIDDLEBURY","VERMONT","05753","","","","  "
"MIDDLEBURY COLLEGE","1R15HD043069-01A1","6702442","Kavaler, Joshua ","Activity of dPax2 in glial cell differentation","BIOLOGY","SCHOOLS OF ARTS AND SCIENCES","$ 6,612","MIDDLEBURY","VERMONT","05753","","","","  "
"PSYCHOLOGICAL APPLICATIONS, LLC","2R44MH062833-02A2","6832570","Baird, John C","Computer Assessment of Pain","","","$ 403,662","WATERBURY","VERMONT","05676","","","","  "
"PSYCHOLOGICAL APPLICATIONS, LLC","5R44HL068493-03","6699024","Baird, John C","Continuous Measurement of Breathlessness","","","$ 409,515","WATERBURY","VERMONT","05676","","","","  "
"PSYCHOLOGICAL APPLICATIONS, LLC","5R44NS042387-03","6790577","Baird, John C","Assessment of Quality of Life by Patients in Pain","","","$ 378,818","WATERBURY","VERMONT","05676","","","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","1F31MH073205-01","6882956","Bernstein, Amit ","Anxiety sensitivity taxon and panic vulnerability","PSYCHOLOGY","SCHOOLS OF ARTS AND SCIENCES","$ 37,509","BURLINGTON","VERMONT","05405","","","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","1F32AG023430-01A1","6836770","Dumas, Julie A","Estrogen and Cognition In Postmenopausal Women","PSYCHIATRY","SCHOOLS OF MEDICINE","$ 47,296","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","1F32HL075995-01","6737693","Earley, Scott ","TRPM4 Channels in the Control of Cerebral Artery Tone","PHARMACOLOGY","SCHOOLS OF MEDICINE","$ 42,976","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","1G20RR019577-01","6760703","Tracy, Russell P","GIVEN BUILDING ANIMAL FACILITY UPGRADE","PATHOLOGY","SCHOOLS OF MEDICINE","$ 520,555","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","1K01CA104159-01","6707365","Ramos, Maria E","Role of Fra-1 in Mesothelioma","PATHOLOGY","SCHOOLS OF MEDICINE","$ 108,604","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","1K08AI054563-01A1","6820239","Kirkpatrick, Beth D","Gamma-Delta T cells and Cryptosporidiosis","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 123,795","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","1K08HL074107-01A1","6770564","Allen, Gilman B","Critical Role of Alveolar Fibrin in Acute Lung Injury","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 139,995","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","1K08MH069562-01","6703629","Rettew, David C","Temperament and Developmental Psychopathology","PSYCHIATRY","SCHOOLS OF MEDICINE","$ 188,754","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","1K23RR019965-01","6806784","Dixon, Anne E","Rhinosinusitis in Asthma","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 138,148","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","1K24DK068380-01","6816876","Littenberg, Benjamin ","Barriers to Optimum Diabetes Outcomes","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 157,932","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","1K24RR019705-01","6760727","Sites, Cynthia K","Soy phytoestrogen supplementation and menopause","OBSTETRICS & GYNECOLOGY","SCHOOLS OF MEDICINE","$ 132,884","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","1P01CA098993-01A2","6810274","Wallace, Susan S","Structure, Function and Evolution of DNA Repair Enzymes","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF MEDICINE","$ 1,569,850","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","1R01AA014270-01A1","6777879","Helzer, John E","Therapeutic IVR to Augment CBT in Alcohol Dependence","PSYCHIATRY","SCHOOLS OF MEDICINE","$ 506,562","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","1R01AI058052-01","6712568","Teuscher, Cory ","Genetics of Suscptibility to Anthrax Toxin in vivo","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 378,750","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","1R01AR051477-01","6811555","Beynnon, Bruce D","Biomarkers of Cartilage Metabolism and OA","ORTHOPEDICS","SCHOOLS OF MEDICINE","$ 345,800","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","1R01DA018410-01","6821520","Heil, Sarah H","Maternal Opioid Treatment: Human Experimental Research","PSYCHIATRY","SCHOOLS OF MEDICINE","$ 429,281","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","1R01DC006939-01","6816833","Delay, Rona J","Intracellular chloride regulation in olfactory neurons","BIOLOGY","SCHOOLS OF ARTS AND SCIENCES","$ 362,270","BURLINGTON","VERMONT","05405","","","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","1R01DK065947-01A1","6826730","Nelson, Mark T","Nerve Evoked Signaling in Urinary Bladder Smooth Muscle","PHARMACOLOGY","SCHOOLS OF MEDICINE","$ 357,200","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","1R01DK066635-01A1","6820338","Leahy, John L","Mechanisms of Beta cell Compensation and Failure","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 251,226","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","1R01DK068329-01","6814624","Jetton, Thomas L","Beta cell mass expansion in glucose-infused rats","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 279,518","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","1R01GM069551-01A1","6820267","Ruiz, Teresa ","EUKARYOTIC PHOSPHOFRUCTOKINASE: STRUCTURE/FUNCTION","PHYSIOLOGY","SCHOOLS OF MEDICINE","$ 234,880","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","1R01GM070742-01","6761025","Hondal, Robert J","Selenium-Thioredoxin Reductase Studied by Semisynthesis","BIOCHEMISTRY","SCHOOLS OF MEDICINE","$ 227,250","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","1R01GM072001-01","6829170","Bentil, Daniel E","Molecular Mechanics of Myosin Motor Proteins","BIOSTATISTICS & OTHER MATH SCI","BIOMED ENGR/COL ENGR/ENGR STA","$ 201,937","BURLINGTON","VERMONT","05405","","","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","1R01HL071944-01A1","6720436","Bernstein, Ira M","Prepregnancy Phenotype & Predisposition to Pre-eclampsia","OBSTETRICS & GYNECOLOGY","SCHOOLS OF MEDICINE","$ 290,475","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","1R01HL074295-01A1","6776107","Vandervliet, Albert ","NITRIC OXIDE SIGNALING IN ALLERGIC AIRWAY DISEASE","PATHOLOGY","SCHOOLS OF MEDICINE","$ 380,000","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","1R01HL075530-01A1","6826956","Trybus, Kathleen M","EFFECT OF CARDIOMYOPATHY MUTATIONS ON MYOSIN AND ACTIN","PHYSIOLOGY","SCHOOLS OF MEDICINE","$ 378,750","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","1R01HL075570-01","6717504","Warshaw, David M","MOLECULAR MECHANICS OF FHC & DCM MUTANT ACTOMYOSIN","PHYSIOLOGY","SCHOOLS OF MEDICINE","$ 378,750","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","1R01HL077449-01","6813761","Tracy, Russell P","Epidemiology of Vascular Inflammation & Atherosclerosis","PATHOLOGY","SCHOOLS OF MEDICINE","$ 371,845","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","1R01HL077637-01","6814484","Vanburen, Peter C","Myofibrillar Remodeling in Human Valvular Heart Disease:","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 378,750","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","1R01MH066848-01A2","6745682","Solomon, Sondra E","Rural Ecology and Coping with HIV Stigma","PSYCHOLOGY","SCHOOLS OF ARTS AND SCIENCES","$ 530,991","BURLINGTON","VERMONT","05405","","","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","1R01MH069928-01A1","6827306","Forehand, Rex L","Family Cognitive-Behavioral Prevention of Depression","PSYCHOLOGY","SCHOOLS OF ARTS AND SCIENCES","$ 306,788","BURLINGTON","VERMONT","05405","","","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","1R01NS045225-01A2","6824944","Jaworski, Diane M","Molecular Regulation of TIMP-2 in Neuron Cell Cycle","ANATOMY/CELL BIOLOGY","SCHOOLS OF MEDICINE","$ 351,500","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
