"Appendix 3. Summary statistics for daily discharge, dissolved-solids concentration, and dissolved-solids load data at 420 surface-water-quality monitoring sites in the Southwestern United States.",,,,,,,,,,,,,,,,,,,
"[Daily concentrations computed using statistical analysis of periodic water-chemistry samples; minimum and maximum daily concentrations reported here may have large uncertainties where they are higher and lower than highest and lowest concentration observed in sample data. Period for summary statistics varies by site and is listed in appendix 2. n/a, concentration value not available because of no flow conditions; n/c, not computed because site is on a canal or river in which discharge is a diversion or is mostly from irrigation returns flows; AZ, Arizona; CA, California; CO, Colorado; ID, Idaho; NM, New Mexico; NV, Nevada; TX, Texas; UT, Utah; WY, Wyoming. Site locations shown on plate 1]",,,,,,,,,,,,,,,,,,,
Surface-water-quality monitoring site,,"Daily discharge, cubic feet per second",,,,,,"Daily dissolved-solilds concentration, milligrams per liter",,,,,,"Daily dissolved-solids load, tons per day",,,,,
USGS site identifier,Name,Minimum,25th percentile,Median,Mean,75th percentile,Maximum,Minimum,25th percentile,Median,Mean,75th percentile,Maximum,Minimum,25th percentile,Median,Mean,75th percentile,Maximum
08217500,"Rio Grande at Wagon Wheel Gap, CO",72.0,130,289,634,781,"4,970",31.3,46.3,58.3,59.5,74.5,87.3,16.9,26.3,45.4,76.4,97.4,441
08251500,"Rio Grande near Lobatos, CO",4.11,118,280,486,496,"6,660",95.0,161,185,202,230,505,5.56,72.2,139,198,226,"1,820"
08263500,"Rio Grande near Cerro, NM",62.0,211,393,790,867,"6,370",80.6,143,167,182,211,486,38.6,113,178,317,386,"2,550"
08265000,"Red River near Questa, NM",2.51,14.0,23.0,55.7,55.0,557,77.1,146,177,170,195,260,1.74,7.13,11.5,19.6,22.5,116
08266820,"Red River below Fish Hatchery, near Questa, NM",26.0,42.5,52.0,91.5,88.0,676,94.4,194,250,242,296,378,20.0,32.2,35.9,47.1,49.6,175
08267500,"Rio Hondo near Valdez, NM",3.41,12.0,19.0,35.5,37.0,403,55.6,82.1,93.0,92.1,103,137,1.26,3.39,4.67,7.54,8.26,60.4
08276300,"Rio Pueblo De Taos below Los Cordovas, NM",5.11,27.0,42.0,81.6,66.0,"1,940",93.6,249,303,293,342,483,6.07,24.1,33.9,45.5,46.3,490
08276500,"Rio Grande below Taos Junction Bridge near Taos, NM",158,341,515,809,800,"8,120",100,172,191,189,209,247,92.8,188,269,357,381,"2,440"
08279000,"Embudo Creek at Dixon, NM",4.01,28.0,39.0,96.4,77.0,"2,300",83.3,170,204,196,222,321,3.33,16.7,21.8,37.7,36.4,517
08284100,"Rio Chama near La Puente, NM",2.41,53.0,87.0,360,280,"5,090",48.9,96.5,127,122,143,294,1.91,20.4,29.8,73.1,72.9,671
08286500,"Rio Chama above Abiquiu Reservoir, NM",20.0,85.0,221,575,698,"6,480",143,214,266,293,349,633,25.1,75.0,159,326,407,"2,500"
08287000,"Rio Chama below Abiquiu Dam, NM",13.0,91.0,265,572,883,"2,660",110,203,269,300,346,892,8.28,76.6,193,418,560,"3,820"
08290000,"Rio Chama near Chamita, NM",17.0,134,373,617,828,"3,570",155,200,236,248,291,469,17.8,104,228,338,456,"1,570"
08313000,"Rio Grande at Otowi Bridge, NM",195,720,"1,020","1,560","1,590","12,000",175,192,204,210,224,291,131,403,575,855,889,"6,390"
08317200,"Santa Fe River above Cochiti Lake, NM",1.11,6.41,9.01,13.0,12.0,"1,000",65.7,322,356,349,392,573,1.64,6.28,8.74,9.66,11.2,177
08319000,"Rio Grande at San Felipe, NM",67.0,705,998,"1,530","1,620","8,100",153,203,219,216,233,330,59.6,444,587,802,890,"3,370"
08324000,"Jemez River near Jemez, NM",2.11,27.0,37.0,85.3,73.0,"1,480",62.5,238,322,304,369,"1,140",6.47,27.2,32.4,44.0,47.1,250
08329000,"Jemez River below Jemez Canyon Dam, NM",0,2.21,22.0,78.3,63.0,"1,600",n/a,488,778,845,"1,030","3,270",0,5.76,45.8,89.0,101,"1,380"
08330000,"Rio Grande at Albuquerque, NM",3.61,585,887,"1,430","1,610","8,650",175,216,242,243,272,318,3.03,391,585,906,"1,010","5,360"
08332010,"Rio Grande floodway near Bernardo, NM",24.0,387,818,"1,280","1,560","9,080",235,298,343,376,407,825,49.6,413,725,"1,080","1,310","7,300"
08353000,"Rio Puerco near Bernardo, NM",0,0,0,28.8,8.14,"1,940",n/a,n/a,n/a,"2,070","2,400","2,780",0,0,0,103,37.6,"5,510"
08354000,"Rio Salado near San Acacia, NM",0,0,0,8.14,0,"2,900",n/a,n/a,n/a,"3,640",n/a,"6,270",0,0,0,14.9,0,"3,560"
08354900,"Rio Grande floodway at San Acacia, NM",0.96,533,983,"1,440","1,770","10,800",256,335,387,408,463,754,0.99,557,"1,060","1,520","1,960","10,400"
08358400,"Rio Grande floodway at San Marcial, NM",0,385,840,"1,240","1,510","8,600",n/a,381,438,459,505,909,0,507,968,"1,340","1,700","7,860"
08364000,"Rio Grande at El Paso, TX",12.7,171,569,623,908,"3,880",368,614,730,900,"1,190","2,660",88.5,545,"1,100","1,100","1,510","3,920"
08477110,"Mimbres River at Mimbres, NM",0.28,4.61,8.21,20.5,16.0,"2,500",92.6,170,187,185,199,290,0.22,2.46,4.13,8.25,7.60,625
08481500,"Tularosa Creek near Bent, NM",3.41,12.0,16.0,17.3,22.0,631,851,953,980,999,"1,040","1,200",10.4,34.7,42.4,45.8,55.4,"1,480"
09010500,"Colorado River below Baker Gulch, near Grand Lake, CO",3.01,9.81,18.0,64.4,49.0,800,24.5,37.3,43.1,41.6,46.9,57.0,0.46,1.24,2.08,5.53,4.93,55.1
09022000,"Fraser River at upper station, near Winter Park, CO",1.21,2.51,4.61,13.7,12.0,220,27.0,43.1,52.8,59.1,74.2,115,0.26,0.47,0.70,1.60,1.67,19.1
09024000,"Fraser River at Winter Park, CO",2.11,5.01,8.11,21.2,16.0,440,17.2,49.4,64.3,65.7,81.3,118,0.41,1.04,1.49,2.49,2.32,27.0
09025000,"Vasquez Creek at Winter Park, CO",1.21,4.71,7.41,15.5,10.0,293,18.0,28.5,30.8,30.8,33.5,42.5,0.12,0.40,0.62,1.05,0.84,14.4
09025400,"Elk Creek near Fraser, CO",0.20,0.42,0.75,3.09,2.01,95.0,19.7,29.2,32.8,32.5,36.3,43.2,0.02,0.04,0.07,0.21,0.16,5.23
09026500,"St. Louis Creek near Fraser, CO",2.21,6.11,8.31,21.9,17.0,418,34.1,48.3,50.6,50.3,53.2,61.4,0.35,0.86,1.17,2.61,2.28,38.8
09032000,"Ranch Creek near Fraser, CO",0.41,2.61,3.61,12.5,5.81,402,15.0,27.4,30.5,30.1,33.7,40.7,0.04,0.23,0.30,0.74,0.44,16.3
09032100,"Cabin Creek near Fraser, CO",0.05,1.31,2.21,6.04,4.71,112,15.4,22.7,26.1,25.6,28.5,36.0,0,0.10,0.16,0.34,0.31,4.75
09034250,"Colorado River at Windy Gap, near Granby, CO",29.0,80.0,108,257,225,"4,930",42.2,74.1,80.6,78.4,85.2,106,8.28,18.3,23.9,45.1,45.9,572
09034500,"Colorado River at Hot Sulphur Springs, CO",41.0,75.0,101,239,229,"5,310",48.7,81.2,88.2,85.2,91.1,105,11.2,18.4,24.4,47.1,50.1,698
09034900,"Bobtail Creek near Jones PaSA, CO",0.48,0.99,2.21,10.8,8.11,136,17.2,32.2,39.1,36.2,41.8,51.6,0.06,0.11,0.24,0.72,0.73,6.60
09035500,"Williams Fork below Steelman Creek, CO",0.30,1.31,3.71,21.8,13.0,395,20.0,33.0,39.6,39.1,46.1,57.2,0.05,0.16,0.40,1.52,1.16,21.3
09035700,"Williams Fork above Darling Creek, near Leal, CO",3.51,7.81,13.0,42.1,32.0,555,19.9,32.5,38.0,36.5,40.9,49.8,0.43,0.86,1.31,3.15,2.83,31.4
09035800,"Darling Creek near Leal, CO",1.31,2.51,3.71,9.83,7.91,136,21.9,38.5,44.1,42.4,47.9,54.3,0.18,0.31,0.44,0.89,0.82,8.02
09035900,"South Fork of Williams Fork near Leal, CO",5.41,8.91,13.0,34.2,27.0,404,24.5,42.9,50.8,48.1,55.0,64.0,0.88,1.32,1.77,3.38,3.23,26.9
09036000,"Williams Fork near Leal, CO",12.0,22.0,36.0,104,84.0,"1,320",23.8,40.8,46.8,45.1,51.2,64.2,2.04,3.09,4.49,9.66,9.17,89.0
09037500,"Williams Fork near Parshall, CO",9.31,34.0,45.0,114,82.0,"1,700",34.3,59.8,68.8,65.5,72.9,90.5,2.16,6.71,8.31,15.6,13.4,163
09038500,"Williams Fork below Williams Fork Reservoir, CO",4.71,77.0,111,136,175,"1,160",55.7,64.6,72.2,72.3,79.0,98.4,1.24,15.4,22.7,25.0,31.7,179
09039000,"Troublesome Creek near Pearmont, CO",5.31,12.0,14.0,29.6,26.0,440,40.6,53.3,55.9,55.6,58.5,64.8,0.87,1.74,2.14,4.11,3.91,48.2
09041500,"Muddy Creek at Kremmling, CO",0.62,11.0,23.0,88.2,68.0,"1,590",186,447,612,615,756,"2,060",3.45,21.5,38.7,80.2,86.7,836
09046490,"Blue River at Blue River, CO",1.51,7.01,14.0,33.6,35.0,578,44.0,67.4,78.7,81.4,93.7,141,0.56,1.64,3.10,6.38,6.74,91.7
09046600,"Blue River near Dillon, CO",16.0,29.0,48.0,100,101,"1,160",57.7,73.4,81.7,85.2,93.9,142,3.94,6.93,10.8,20.8,22.0,187
09047500,"Snake River near Montezuma, CO",6.41,15.0,24.0,66.6,64.0,870,29.7,51.4,60.6,62.2,72.0,104,1.35,2.72,4.14,8.93,9.61,80.7
