table with row headers in column A and column headers in row 4,,,,,
"Table 12.  Missouri Incorporated Place Population Estimates and Population Change, Sorted within County: April 1, 2000 to July 1, 2002",,,,,
(leading dots indicate sub-parts),,,,,
Place,State,"July 1, 2002 Population","April 1, 2000 Population Estimates Base",Numerical Population Change,Percent Population Change
Adair County,Missouri,"24,946","24,977",-31,-0.1
.Brashear city,Missouri,278,280,-2,-0.7
.Gibbs village,Missouri,99,100,-1,-1.0
.Greentop city (pt.),Missouri,90,90,-,-
.Kirksville city,Missouri,"17,282","17,295",-13,-0.1
.Millard village,Missouri,76,75,1,1.3
.Novinger city,Missouri,529,534,-5,-0.9
.Balance of Adair County,Missouri,"6,592","6,603",-11,-0.2
Andrew County,Missouri,"16,751","16,492",259,1.6
.Amazonia village,Missouri,284,277,7,2.5
.Bolckow city,Missouri,236,234,2,0.9
.Cosby village,Missouri,144,143,1,0.7
.Country Club village,Missouri,"1,870","1,846",24,1.3
.Fillmore city,Missouri,213,211,2,0.9
.Rea city,Missouri,56,56,-,-
.Rosendale city,Missouri,182,180,2,1.1
.Savannah city,Missouri,"4,860","4,784",76,1.6
.Balance of Andrew County,Missouri,"8,906","8,761",145,1.7
Atchison County,Missouri,"6,323","6,430",-107,-1.7
.Fairfax city,Missouri,638,645,-7,-1.1
.Rock Port city,Missouri,"1,366","1,395",-29,-2.1
.Tarkio city,Missouri,"1,895","1,935",-40,-2.1
.Watson village,Missouri,119,121,-2,-1.7
.Westboro city,Missouri,161,163,-2,-1.2
.Balance of Atchison County,Missouri,"2,144","2,171",-27,-1.2
Audrain County,Missouri,"25,639","25,853",-214,-0.8
.Benton City village,Missouri,123,122,1,0.8
.Centralia city (pt.),Missouri,-,-,-,(X)
.Farber city,Missouri,401,411,-10,-2.4
.Laddonia city,Missouri,603,620,-17,-2.7
.Martinsburg town,Missouri,323,326,-3,-0.9
.Mexico city,Missouri,"11,011","11,320",-309,-2.7
.Rush Hill village,Missouri,129,130,-1,-0.8
.Vandalia city (pt.),Missouri,"4,013","3,852",161,4.2
.Vandiver village,Missouri,82,83,-1,-1.2
.Balance of Audrain County,Missouri,"8,954","8,989",-35,-0.4
Barry County,Missouri,"34,527","34,010",517,1.5
.Arrow Point village,Missouri,136,133,3,2.3
.Butterfield village,Missouri,404,397,7,1.8
.Cassville city,Missouri,"3,025","2,933",92,3.1
.Chain-O-Lakes village,Missouri,127,127,-,-
.Emerald Beach village,Missouri,262,250,12,4.8
.Exeter city,Missouri,714,707,7,1.0
.Monett city (pt.),Missouri,"5,264","5,169",95,1.8
.Purdy city,Missouri,"1,109","1,103",6,0.5
.Seligman city,Missouri,901,877,24,2.7
.Washburn city,Missouri,454,448,6,1.3
.Wheaton city,Missouri,724,721,3,0.4
.Balance of Barry County,Missouri,"21,407","21,145",262,1.2
Barton County,Missouri,"12,862","12,541",321,2.6
.Burgess town,Missouri,72,70,2,2.9
.Golden City city,Missouri,904,884,20,2.3
.Lamar city,Missouri,"4,513","4,425",88,2.0
.Lamar Heights village,Missouri,225,216,9,4.2
.Liberal city,Missouri,798,779,19,2.4
.Milford village,Missouri,53,52,1,1.9
.Mindenmines city,Missouri,420,409,11,2.7
.Balance of Barton County,Missouri,"5,877","5,706",171,3.0
Bates County,Missouri,"16,976","16,653",323,1.9
.Adrian city,Missouri,"1,815","1,780",35,2.0
.Amoret city,Missouri,216,211,5,2.4
.Amsterdam city,Missouri,287,281,6,2.1
.Butler city,Missouri,"4,253","4,209",44,1.0
.Drexel city (pt.),Missouri,122,119,3,2.5
.Foster village,Missouri,132,130,2,1.5
.Hume town,Missouri,344,337,7,2.1
.Merwin village,Missouri,85,83,2,2.4
.Passaic town,Missouri,41,40,1,2.5
.Rich Hill city,Missouri,"1,495","1,461",34,2.3
.Rockville city,Missouri,165,162,3,1.9
.Balance of Bates County,Missouri,"8,021","7,840",181,2.3
Benton County,Missouri,"17,583","17,180",403,2.3
.Cole Camp city,Missouri,"1,026","1,028",-2,-0.2
.Ionia town (pt.),Missouri,110,108,2,1.9
.Lincoln city,Missouri,"1,037","1,026",11,1.1
.Warsaw city,Missouri,"2,091","2,070",21,1.0
.Balance of Benton County,Missouri,"13,319","12,948",371,2.9
Bollinger County,Missouri,"12,248","12,029",219,1.8
.Glen Allen town,Missouri,147,145,2,1.4
.Marble Hill city,Missouri,"1,505","1,502",3,0.2
.Sedgewickville village,Missouri,196,197,-1,-0.5
.Zalma village,Missouri,95,93,2,2.2
.Balance of Bollinger County,Missouri,"10,305","10,092",213,2.1
Boone County,Missouri,"139,492","135,454","4,038",3.0
.Ashland city,Missouri,"1,887","1,869",18,1.0
.Centralia city (pt.),Missouri,"3,795","3,774",21,0.6
.Columbia city,Missouri,"86,981","84,603","2,378",2.8
.Hallsville city,Missouri,991,978,13,1.3
.Harrisburg town,Missouri,188,184,4,2.2
.Hartsburg town,Missouri,108,108,-,-
.McBaine town,Missouri,18,17,1,5.9
.Rocheport city,Missouri,209,208,1,0.5
.Sturgeon city,Missouri,947,944,3,0.3
.Balance of Boone County,Missouri,"44,368","42,769","1,599",3.7
Buchanan County,Missouri,"85,313","85,998",-685,-0.8
.Agency village,Missouri,594,599,-5,-0.8
.Dearborn city (pt.),Missouri,1,-,1,(X)
.De Kalb town,Missouri,257,257,-,-
.Easton city,Missouri,260,258,2,0.8
.Gower city (pt.),Missouri,24,23,1,4.3
.Lewis and Clark Village town,Missouri,152,155,-3,-1.9
.Rushville town,Missouri,276,280,-4,-1.4
.St. Joseph city,Missouri,"73,148","73,990",-842,-1.1
.Balance of Buchanan County,Missouri,"10,601","10,436",165,1.6
Butler County,Missouri,"40,764","40,867",-103,-0.3
.Fisk city,Missouri,363,363,-,-
.Neelyville city,Missouri,492,487,5,1.0
.Poplar Bluff city,Missouri,"16,595","16,812",-217,-1.3
.Qulin city,Missouri,472,467,5,1.1
.Balance of Butler County,Missouri,"22,842","22,738",104,0.5
Caldwell County,Missouri,"9,096","8,969",127,1.4
.Braymer city,Missouri,923,910,13,1.4
.Breckenridge city,Missouri,462,454,8,1.8
.Cowgill city,Missouri,250,247,3,1.2
.Hamilton city,Missouri,"1,813","1,813",-,-
.Kidder city,Missouri,276,271,5,1.8
.Kingston city,Missouri,293,287,6,2.1
.Polo city,Missouri,591,582,9,1.5
.Balance of Caldwell County,Missouri,"4,488","4,405",83,1.9
Callaway County,Missouri,"42,210","40,766","1,444",3.5
.Auxvasse city,Missouri,913,901,12,1.3
.Fulton city,Missouri,"12,767","12,128",639,5.3
.Holts Summit city,Missouri,"3,097","2,935",162,5.5
.Jefferson City city (pt.),Missouri,25,25,-,-
.Kingdom City village,Missouri,124,121,3,2.5
.Lake Mykee Town village,Missouri,330,326,4,1.2
.Mokane city,Missouri,190,188,2,1.1
.New Bloomfield city,Missouri,630,599,31,5.2
.Balance of Callaway County,Missouri,"24,134","23,543",591,2.5
Camden County,Missouri,"37,857","37,051",806,2.2
.Camdenton city,Missouri,"2,895","2,789",106,3.8
.Climax Springs village,Missouri,82,80,2,2.5
.Lake Ozark city (pt.),Missouri,121,122,-1,-0.8
.Linn Creek city,Missouri,285,280,5,1.8
.Macks Creek city,Missouri,275,267,8,3.0
.Osage Beach city (pt.),Missouri,"3,582","3,426",156,4.6
.Richland city (pt.),Missouri,103,102,1,1.0
.Stoutland city (pt.),Missouri,149,146,3,2.1
.Sunrise Beach village (pt.),Missouri,280,272,8,2.9
.Village of Four Seasons village,Missouri,"1,505","1,493",12,0.8
.Balance of Camden County,Missouri,"28,580","28,074",506,1.8
Cape Girardeau County,Missouri,"69,511","68,693",818,1.2
.Allenville village,Missouri,105,104,1,1.0
.Cape Girardeau city (pt.),Missouri,"35,647","35,361",286,0.8
.Delta city,Missouri,524,517,7,1.4
.Dutchtown village,Missouri,100,99,1,1.0
.Gordonville village,Missouri,425,425,-,-
