Table 1: Carrier Detail by Airport,,,,,,,,,,
"Summarized information by airport, for all O&D markets with an average of ten or more passengers each day",,,,,,,,,,
Carriers with less than 1% market share are not shown.,,,,,,,,,,
Carrier '99' signifies interline traffic.  Please see accompanying documentation for definitions and assumptions.,,,,,,,,,,

Date,Origin,Carrier,Zero-Passengers,Total Passengers,Average Fare,Revenue,RPMs,Avg Nonstop Distance,Passenger Mkt Share,Apt Size
2002,ABQ,99,9560,63430,$181,11453079.6,96986361.27,1438.691313,0.013474386,M
2002,ABQ,AA,56220,605970,$163,98967086.5,838709510.5,1303.169876,0.128725743,M
2002,ABQ,CO,17530,232480,$167,38727156.5,336535079.3,1257.719847,0.049385548,M
2002,ABQ,DL,45840,471020,$189,89187432.7,720523987.4,1426.962868,0.100058418,M
2002,ABQ,F9,1240,93770,$151,14126224.2,78830977.58,747.4481177,0.019919489,M
2002,ABQ,HP,5660,394410,$109,42995316.5,340977928.2,734.5813494,0.083784214,M
2002,ABQ,NW,14380,153840,$156,24014915.1,226535656.8,1292.88501,0.032680113,M
2002,ABQ,UA,23700,304760,$178,54190336.6,377176154.1,1057.279236,0.064739934,M
2002,ABQ,WN,311080,2383430,$111,265435653.1,1750344122,712.7474606,0.50631021,M
2002,ABQ,Total,485480,4707450,$136,639820158.9,4771773077,941.022031,1,M
2002,ANC,99,33250,97040,$204,19838578.6,267770008.1,2910.397568,0.039334109,M
2002,ANC,AA,17050,69390,$205,14231498.2,236861318.5,3141.640438,0.028126482,M
2002,ANC,AS,164850,1426130,$196,279774379.5,1913156007,1314.42501,0.578066289,M
2002,ANC,CO,8500,155980,$211,32840871.3,467507396.9,2648.936979,0.063224797,M
2002,ANC,DL,43070,278640,$241,67178068.3,847576477,2773.243899,0.112943694,M
2002,ANC,NW,28520,296870,$272,80683342.9,962815925.7,3082.239499,0.120333027,M
2002,ANC,UA,20060,139080,$235,32664177.7,385650924,2559.898763,0.056374566,M
2002,ANC,Total,315370,2467070,$214,527831914,5082921268,1959.180716,1,M
2002,ATL,99,32630,432730,$204,88145166.9,476529812.1,1123.750999,0.018595103,L
2002,ATL,AA,83670,1121430,$162,181541399.2,1197509261,1008.284182,0.048189649,L
2002,ATL,CO,30590,740700,$144,106449739.1,712528177.1,906.6702984,0.031829069,L
2002,ATL,DL,962130,14956450,$159,2381529287,12180930533,800.6561557,0.642702691,L
2002,ATL,FL,38890,2944290,$107,313671369.2,1675427196,566.7798552,0.126520873,L
2002,ATL,HP,10970,376960,$202,76249048.9,742086304.7,1858.123859,0.016198577,L
2002,ATL,NW,40080,744840,$146,109095831,732329431.2,898.8513775,0.032006972,L
2002,ATL,UA,57290,830720,$178,147569510,1077315304,1199.798958,0.035697373,L
2002,ATL,US,40430,743330,$123,91217156.7,614698785.4,736.9690851,0.031942085,L
2002,ATL,Total,1305920,23271180,$153,3559017657,19869022318,829.116814,1,L
2002,AUS,99,11430,74400,$198,14767800.3,101338953.1,1325.422715,0.018964256,M
2002,AUS,AA,91480,1026110,$185,189781143.1,1271600849,1162.754978,0.261551246,M
2002,AUS,CO,26920,356580,$191,68117448.6,472371266.8,1216.327584,0.090890785,M
2002,AUS,DL,37440,450580,$178,80402568.1,554172762,1139.169648,0.114851001,M
2002,AUS,F9,950,75960,$142,10816265.6,81315551.68,1004.404028,0.019361894,M
2002,AUS,HP,4370,161370,$142,22849467.6,205289098.2,1201.158084,0.041132554,M
2002,AUS,NW,12100,143290,$177,25370614.8,188313245.4,1127.85798,0.036524035,M
2002,AUS,UA,19650,233290,$175,40829446.5,308969812.7,1176.917013,0.059464668,M
2002,AUS,WN,172620,1355780,$113,153412613,1005567183,712.8714467,0.345582781,M
2002,AUS,Total,377600,3923170,$156,612874769.8,4237193619,1007.722951,1,M
2002,BDL,99,16390,132810,$186,24656333.7,208728339.7,1604.840901,0.022438101,M
2002,BDL,AA,99150,983790,$178,175291568.2,1698418058,1648.730776,0.166210223,M
2002,BDL,CO,9940,192810,$170,32763430.2,252217885.1,1265.828899,0.032575034,M
2002,BDL,DL,95100,1716810,$143,245449919.4,2225496169,1214.805191,0.290053134,M
2002,BDL,HP,4650,148150,$161,23831196.9,286525705.1,1803.651974,0.025029777,M
2002,BDL,NW,26140,345350,$210,72590461.5,498722398.9,1385.520834,0.058346497,M
2002,BDL,UA,50640,490790,$185,90738243.1,793473280.5,1550.859899,0.082918423,M
2002,BDL,US,60740,931780,$167,155982975.7,866964310.8,887.719247,0.157423192,M
2002,BDL,WN,93810,939170,$105,98163158.8,871048829.4,903.8410724,0.158671724,M
2002,BDL,Total,459890,5918950,$157,926952652.2,7734568199,1246.833023,1,M
2002,BNA,99,10220,80080,$179,14294418.1,97900260.43,1167.084166,0.013249986,M
2002,BNA,AA,61060,830120,$172,143115432,956738492.5,1077.053751,0.137351128,M
2002,BNA,CO,10270,279960,$179,50215987.5,263869017.9,844.2567152,0.046322004,M
2002,BNA,DL,47000,796320,$166,131800713.8,700808568.6,760.4593631,0.131758601,M
2002,BNA,NW,20210,518880,$156,81190066.2,437656991.8,738.1317068,0.085853555,M
2002,BNA,UA,9050,111660,$195,21732235.4,164842899.8,1298.949579,0.018475193,M
2002,BNA,US,20100,411340,$187,77125878.8,282543298.2,609.5301211,0.068060055,M
2002,BNA,WN,335080,2960070,$106,314280280,2465477234,812.5359231,0.489771302,M
2002,BNA,Total,516100,6043780,$139,843001212.3,5410989319,835.775925,1,M
2002,BOS,99,60090,417040,$222,92466436.7,732378831.5,1815.263044,0.026217356,L
2002,BOS,AA,343330,3230100,$198,640740593.3,5002731464,1508.957153,0.20306129,L
2002,BOS,CO,54690,835350,$204,170781903.5,924287410.5,1051.244424,0.05251455,L
2002,BOS,DL,264980,4081100,$146,597053837.6,4716552008,1100.403389,0.256559682,L
2002,BOS,FL,4090,491740,$105,51662552.2,387386036.6,729.8124009,0.030913395,L
2002,BOS,HP,18360,408970,$188,76914289.8,934533883.1,2176.88762,0.025710032,L
2002,BOS,NW,98450,915810,$201,184476417.5,1262816277,1314.902895,0.057572694,L
2002,BOS,TZ,1200,245500,$162,39779735.3,428812177.7,1718.047169,0.015433438,L
2002,BOS,UA,235390,1793020,$235,421089632.8,3309331306,1790.140127,0.112718787,L
2002,BOS,US,146480,3163160,$154,486696352.3,2063475886,626.6038013,0.198853085,L
2002,BOS,Total,1249730,15907020,$177,2821040994,20266941854,1229.565037,1,L
2002,BUF,99,5490,57300,$165,9481423.4,78164556.74,1321.373997,0.016253429,M
2002,BUF,AA,22210,247200,$162,39950194.6,368268450.8,1414.476497,0.070119504,M
2002,BUF,B6,610,414800,$90,37487428.6,202846949.6,447.2164899,0.117660074,M
2002,BUF,CO,6200,227200,$139,31601460,217929042,860.8564261,0.064446405,M
2002,BUF,DL,21300,416490,$130,53969688,501035762.1,1067.307018,0.11813945,M
2002,BUF,FL,2850,155040,$115,17863415.7,153926388.4,912.6914345,0.043977864,M
2002,BUF,NW,8630,263240,$165,43399549.5,331133296.7,1194.712126,0.074669329,M
2002,BUF,UA,15340,178230,$174,31032968.6,264160174.2,1410.385794,0.050555822,M
2002,BUF,US,52060,900180,$131,118231347.9,737278819.3,755.9510987,0.255340514,M
2002,BUF,WN,69430,636510,$100,63611051.3,664289452.9,1002.521626,0.180549213,M
2002,BUF,Total,204420,3525410,$128,450337553.2,3545290801,936.8456775,1,M
2002,BUR,AA,18460,182050,$200,36366036.4,326888990.9,1687.846416,0.039767055,M
2002,BUR,AS,17600,374040,$133,49654941.4,347656774.1,908.4176291,0.081705407,M
2002,BUR,HP,5320,263530,$120,31697146.3,270695215.4,993.6720677,0.05756557,M
2002,BUR,UA,19240,408470,$153,62664592.6,330527615.1,746.4546723,0.089226306,M
2002,BUR,WN,220520,3283360,$79,260047431.5,1315571757,396.2000664,0.717218119,M
2002,BUR,Total,287480,4577910,$98,450324968.5,2685959748,570.1784089,1,M
2002,BWI,99,25820,231540,$185,42839120.4,363234315.4,1551.876911,0.015408122,L
2002,BWI,AA,68280,1375550,$166,227980180.9,1932100368,1346.732609,0.091537711,L
2002,BWI,CO,19930,692700,$150,103759179.8,895233633.2,1180.036683,0.046096596,L
2002,BWI,DL,55540,1393760,$153,212941225.6,1529394470,996.7471301,0.092749519,L
2002,BWI,FL,2940,942190,$102,95657482.4,655356736.7,673.0730108,0.062699223,L
2002,BWI,HP,13690,669560,$144,96169496.7,1320570575,1892.497342,0.044556715,L
2002,BWI,NW,33310,676450,$178,120682557,885791606.5,1218.891345,0.045015219,L
2002,BWI,UA,72080,1215250,$201,244716570.5,2160945603,1729.921062,0.080870345,L
2002,BWI,US,98390,1476090,$137,202483512,1328414099,847.2018847,0.098228272,L
2002,BWI,WN,580020,6217860,$98,611085380,4958877752,784.0281303,0.413775342,L
2002,BWI,Total,972590,15027140,$132,1982185180,16227648825,1035.884784,1,L
2002,CLE,99,15990,171890,$201,34633112.6,220061715.4,1254.899296,0.026248399,M
2002,CLE,AA,47670,566340,$169,95830358.4,653176182.5,1085.325529,0.086482739,M
2002,CLE,CO,179820,2956150,$185,546198781.4,2802874374,916.355486,0.451417786,M
2002,CLE,DL,34820,490900,$163,80150112.3,518371077,941.3002852,0.074962702,M
2002,CLE,HP,5180,157890,$168,26556189.8,323328716.7,1879.505098,0.024110534,M
2002,CLE,NW,24510,302600,$193,58372138.1,366814802.9,1135.845406,0.04620842,M
2002,CLE,UA,34210,441590,$166,73182802.6,520698384.8,1137.447882,0.067432837,M
2002,CLE,US,19690,291530,$160,46556082.7,251733739.4,763.8891366,0.04451798,M
2002,CLE,WN,123170,1141500,$95,108108548.1,819480301.1,671.7927989,0.174312333,M
2002,CLE,Total,486300,6548590,$164,1075323087,6489541604,938.5186109,1,M
