stcty,reg,div,stname,ctyname,time,popestimate,popest_male,popest_fem,under5_tot,under5_male,under5_fem,age513_tot,age513_male,age513_fem,age1417_tot,age1417_male,age1417_fem,age1824_tot,age1824_male,age1824_fem,age16plus_tot,age16plus_male,age16plus_fem,age18plus_tot,age18plus_male,age18plus_fem,age1544_tot,age1544_male,age1544_fem,age65plus_tot,age65plus_male,age65plus_fem,age85plus_tot,age85plus_male,age85plus_fem
30001,4,8,Montana,Beaverhead County,1,9202,4713,4489,527,269,258,1086,580,506,647,350,297,1092,571,521,7323,3724,3599,6942,3514,3428,3907,2006,1901,1250,595,655,205,69,136
30003,4,8,Montana,Big Horn County,1,12671,6249,6422,1180,623,557,2302,1203,1099,1052,546,506,1090,546,544,8677,4159,4518,8137,3877,4260,5262,2559,2703,1089,456,633,135,33,102
30005,4,8,Montana,Blaine County,1,7009,3460,3549,569,279,290,1154,564,590,564,300,264,563,311,252,5012,2474,2538,4722,2317,2405,2737,1391,1346,904,406,498,112,44,68
30007,4,8,Montana,Broadwater County,1,4385,2236,2149,234,121,113,575,278,297,296,167,129,210,116,94,3425,1745,1680,3280,1670,1610,1579,809,770,719,347,372,88,31,57
30009,4,8,Montana,Carbon County,1,9552,4785,4767,494,272,222,1202,624,578,597,310,287,544,286,258,7570,3733,3837,7259,3579,3680,3494,1725,1769,1608,756,852,208,78,130
30011,4,8,Montana,Carter County,1,1360,662,698,55,18,37,187,85,102,119,68,51,56,31,25,1058,525,533,999,491,508,483,250,233,244,105,139,46,15,31
30013,4,8,Montana,Cascade County,1,80357,39756,40601,5337,2755,2582,10608,5372,5236,4967,2558,2409,7351,3852,3499,61943,30353,31590,59445,29071,30374,33658,17152,16506,11248,4816,6432,1439,440,999
30015,4,8,Montana,Chouteau County,1,5970,2997,2973,386,205,181,905,476,429,430,223,207,387,204,183,4472,2214,2258,4249,2093,2156,2161,1072,1089,1043,469,574,145,55,90
30017,4,8,Montana,Custer County,1,11696,5724,5972,689,372,317,1445,747,698,805,428,377,984,483,501,9189,4402,4787,8757,4177,4580,4597,2255,2342,1999,869,1130,254,95,159
30019,4,8,Montana,Daniels County,1,2017,988,1029,87,44,43,215,108,107,144,59,85,98,56,42,1645,809,836,1571,777,794,609,309,300,475,216,259,61,17,44
30021,4,8,Montana,Dawson County,1,9059,4490,4569,463,227,236,1055,507,548,578,277,301,797,426,371,7254,3620,3634,6963,3479,3484,3491,1806,1685,1603,715,888,229,92,137
30023,4,8,Montana,Deer Lodge County,1,9417,4703,4714,433,228,205,1074,563,511,615,314,301,741,406,335,7640,3784,3856,7295,3598,3697,3475,1786,1689,1774,738,1036,229,64,165
30025,4,8,Montana,Fallon County,1,2837,1434,1403,138,78,60,365,194,171,221,123,98,177,91,86,2221,1102,1119,2113,1039,1074,1069,568,501,508,233,275,62,16,46
30027,4,8,Montana,Fergus County,1,11893,5787,6106,617,310,307,1475,739,736,827,404,423,729,406,323,9409,4548,4861,8974,4334,4640,4183,2119,2064,2364,973,1391,391,120,271
30029,4,8,Montana,Flathead County,1,74471,36911,37560,4415,2219,2196,9887,5031,4856,4985,2612,2373,5508,2778,2730,57684,28367,29317,55184,27049,28135,29689,14828,14861,9656,4313,5343,1133,357,776
30031,4,8,Montana,Gallatin County,1,67831,35274,32557,3935,1999,1936,7505,3879,3626,3459,1823,1636,12582,6986,5596,54671,28460,26211,52932,27573,25359,35816,19196,16620,5770,2512,3258,703,210,493
30033,4,8,Montana,Garfield County,1,1279,660,619,86,46,40,145,78,67,82,45,37,91,53,38,1010,515,495,966,491,475,453,237,216,247,105,142,35,9,26
30035,4,8,Montana,Glacier County,1,13247,6553,6694,1075,574,501,2353,1185,1168,1196,614,582,1200,619,581,9179,4461,4718,8623,4180,4443,5627,2757,2870,1221,554,667,126,44,82
30037,4,8,Montana,Golden Valley County,1,1042,539,503,54,27,27,156,89,67,78,40,38,61,31,30,792,403,389,754,383,371,360,183,177,172,87,85,13,7,6
