"FIPS","Region","State","1969.1","1969.2","1969.3","1969.4","1970.1","1970.2","1970.3","1970.4","1971.1","1971.2","1971.3","1971.4","1972.1","1972.2","1972.3","1972.4","1973.1","1973.2","1973.3","1973.4","1974.1","1974.2","1974.3","1974.4","1975.1","1975.2","1975.3","1975.4","1976.1","1976.2","1976.3","1976.4","1977.1","1977.2","1977.3","1977.4","1978.1","1978.2","1978.3","1978.4","1979.1","1979.2","1979.3","1979.4","1980.1","1980.2","1980.3","1980.4","1981.1","1981.2","1981.3","1981.4","1982.1","1982.2","1982.3","1982.4","1983.1","1983.2","1983.3","1983.4","1984.1","1984.2","1984.3","1984.4","1985.1","1985.2","1985.3","1985.4","1986.1","1986.2","1986.3","1986.4","1987.1","1987.2","1987.3","1987.4","1988.1","1988.2","1988.3","1988.4","1989.1","1989.2","1989.3","1989.4","1990.1","1990.2","1990.3","1990.4","1991.1","1991.2","1991.3","1991.4","1992.1","1992.2","1992.3","1992.4","1993.1","1993.2","1993.3","1993.4","1994.1","1994.2","1994.3","1994.4","1995.1","1995.2","1995.3","1995.4","1996.1","1996.2","1996.3","1996.4","1997.1","1997.2","1997.3","1997.4","1998.1","1998.2","1998.3","1998.4","1999.1","1999.2","1999.3","1999.4","2000.1","2000.2","2000.3","2000.4","2001.1","2001.2","2001.3","2001.4","2002.1","2002.2","2002.3","2002.4","2003.1","2003.2","2003.3","2003.4","2004.1","2004.2","2004.3","2004.4","2005.1"
"00","0","United States",745197,763129,782946,797669,808414,829190,841933,850179,870205,893035,905956,922612,950330,966666,993064,1038487,1059323,1089394,1117605,1156097,1172760,1198827,1236614,1262024,1278784,1309049,1346864,1384870,1420399,1448196,1486275,1522998,1555401,1600778,1646384,1706677,1744492,1805598,1859907,1914470,1971475,2013833,2079958,2150042,2219147,2237457,2313228,2423188,2481525,2534210,2635374,2671291,2700996,2747762,2786346,2824439,2861538,2913010,2968468,3056516,3154049,3242092,3324241,3382838,3448494,3490080,3521296,3585506,3644300,3683816,3732062,3772618,3834665,3888573,3960392,4054990,4124505,4192360,4275420,4357555,4488616,4541577,4592490,4661849,4762335,4844382,4908010,4933016,4946590,5005849,5052843,5123503,5222366,5307704,5371167,5496299,5408874,5531688,5569249,5682673,5659241,5804805,5882805,5988773,6064655,6111610,6167031,6235669,6363342,6482455,6557721,6646422,6765340,6839139,6948918,7075930,7239627,7368801,7478582,7575826,7651039,7722605,7818000,7992904,8260842,8366587,8506474,8554392,8681021,8713764,8726357,8746826,8794710,8890253,8886227,8908045,8993345,9093553,9197598,9322279,9445287,9593470,9701247,10021790,10090897
"01","5","Alabama",9017,9280,9545,9694,9900,10148,10313,10449,10781,11124,11355,11535,12029,12207,12503,13123,13387,13860,14296,14871,15009,15467,16014,16369,16731,17144,17829,18444,19188,19524,20013,20679,20838,21573,22190,23056,23458,24506,25308,25820,26705,27036,27864,28855,29748,29639,30689,32180,33025,33400,34675,34917,35285,35811,36268,36588,37187,38026,38861,39891,41150,42230,43350,44039,45086,45715,46068,46909,47855,48180,48887,49289,50186,50714,51833,53274,53138,54492,55835,57017,58772,59576,60140,61155,62112,63401,64219,64983,66097,66782,67467,68655,70290,71494,72478,73647,73517,74504,74947,76483,76856,78766,80046,81390,82628,83095,83830,84585,85051,86797,87652,88387,90365,90620,91687,93005,95289,96428,97563,98767,99172,100002,100862,102614,104443,105487,106168,107129,109274,110408,110688,111313,113255,114854,115016,115647,117541,118419,119591,121941,123118,125473,126294,130913,132120
"02","8","Alaska",1329,1389,1439,1489,1558,1598,1610,1639,1681,1742,1801,1865,1878,1884,1955,2061,2194,2223,2301,2376,2404,2666,2917,3247,3590,3803,4061,4398,4457,4805,4929,4876,5162,5037,4711,4807,5005,5004,4993,5109,5163,5229,5386,5560,5764,5844,6011,6482,6533,6775,7052,7377,7753,8245,8593,8748,9094,9239,9419,9708,9886,9954,10049,10187,10783,10784,10847,10869,10870,10778,10747,10726,10398,10408,10420,10533,10545,10739,10846,11028,11312,11812,12206,12005,12287,12537,12716,12930,13072,13061,13261,13433,13827,13901,14087,14200,14604,14651,14701,14880,14911,15031,15185,15323,15388,15366,15430,15476,15550,15615,15772,15880,16109,16401,16490,16609,16959,17004,17051,17326,17316,17475,17492,17944,18520,18607,18859,18981,19620,20092,20146,20341,20620,20788,20928,21183,21080,21466,21662,21917,22271,22450,22714,23330,23614
"04","6","Arizona",5711,5909,6153,6383,6593,6833,6946,7163,7427,7768,7962,8264,8654,8715,9101,9570,9786,10271,10660,11082,11337,11690,12049,12179,12187,12423,12861,13245,13628,14033,14451,14905,15193,15815,16278,17034,17769,18529,19431,20168,21264,21850,22914,23872,24908,25532,26090,27763,28360,29316,30606,31273,31073,31480,31639,32200,33083,34067,35173,36301,37588,38933,40375,41201,42799,43420,44044,45070,46661,47330,48032,48897,50087,50949,51657,53330,53607,54593,55881,56903,58410,59023,59556,60664,60952,62259,63425,63959,64202,65187,65455,66715,67696,69097,69836,71808,72227,73964,74677,76611,77945,80522,82893,84860,86268,87256,89106,90701,93057,94824,96416,97760,100999,102258,104317,106655,109797,112104,114597,116983,117161,120028,121646,124594,130893,131065,133437,134836,137195,138552,139826,139842,143942,145181,145242,146093,148559,150706,152748,155719,159015,162095,164839,170070,172505
"05","5","Arkansas",4859,4918,5036,5097,5190,5414,5560,5666,5829,5964,6132,6362,6460,6635,6935,7387,7602,8048,8297,8720,8807,8968,9327,9520,9610,9822,10328,10504,10893,11016,11206,11586,11998,12230,12544,13153,13860,14237,14855,15005,15504,15627,16036,16528,16750,16535,17427,18174,18878,19291,20049,19963,20099,20351,20530,21063,21118,21644,22094,22681,23705,24413,24791,25182,25869,26147,26213,26585,26874,27034,27487,27832,27637,28065,28419,29112,29246,30091,30577,30977,31781,32133,32459,32964,33396,33893,34370,34647,35211,35673,36249,37039,38159,38945,39276,40266,39897,40542,41063,41788,42048,43133,43668,44240,45089,45461,45996,46771,47497,48958,48890,49371,50280,50366,51085,52088,52808,53474,54073,54887,55180,55657,56228,57142,57910,58422,59190,59383,61420,62000,62022,62426,62828,63708,63650,63993,65177,65957,66763,68165,69138,70299,70999,73279,74325
"06","8","California",86173,88440,90283,92197,93795,96178,97200,98080,99454,101543,103168,105549,108092,109741,113281,117946,119053,122696,125403,128994,132486,136660,141307,144431,147435,151220,155481,159963,164572,169019,174262,178685,182669,188386,193350,201764,208955,215861,221726,228612,238884,244848,253547,262965,272136,277760,286686,301238,308036,314367,326655,330792,334005,339190,344611,348566,357995,364244,371381,382909,397863,407842,419507,428209,440392,444336,449571,459039,468398,474708,482941,489281,501040,511190,518254,530525,540397,552164,563498,575410,587522,596284,604689,617327,635586,645270,651656,660537,653474,660632,665313,671492,683519,692809,699554,710799,694463,705959,709518,721684,713698,728737,735272,744411,756870,762632,769332,774388,793258,806060,814731,827744,839039,851916,867632,883593,910351,927891,945225,960567,976401,987131,1000318,1033063,1076033,1089501,1126524,1123310,1136588,1136226,1132042,1136360,1139717,1151077,1150424,1155516,1161356,1177309,1192705,1208618,1226033,1247214,1260502,1304265,1313067
"08","7","Colorado",7655,7862,8076,8276,8638,8863,9162,9347,9726,10143,10261,10524,10924,11125,11658,12330,12510,13005,13402,13953,14291,14621,15129,15404,15622,16110,16674,17109,17506,17867,18297,18876,19174,19903,20599,21696,22164,23075,23934,24781,25670,26331,27637,28764,29960,30152,31490,33433,34281,35227,36934,38063,38645,39649,39664,40693,41372,42039,42987,44128,45078,46408,47518,48379,48852,49462,49626,50207,50915,50960,51227,51329,52085,52619,53232,54316,54254,55467,56387,57427,59467,60205,61128,61808,63210,64362,65427,65991,66863,67853,68619,69795,71584,73146,74480,75967,77248,79068,80145,82328,82105,85165,86545,88870,90951,91768,93366,94730,97133,99332,101293,103173,104348,106533,109222,111390,115884,117138,119226,121724,124580,127294,129063,134501,138754,143300,147307,148213,152964,153026,152494,152315,153167,154327,153919,154434,154716,156018,159106,158844,162524,165133,165855,171856,173822
"09","1","Connecticut",14046,14337,14668,14955,15105,15425,15578,15621,15975,16113,16312,16487,16712,17162,17672,18364,18642,18937,19224,19676,20086,20685,21205,21649,21818,22162,22539,23026,23522,23968,24707,25109,25855,26461,27088,27994,28572,29476,30341,31193,32280,32967,34079,35374,37000,37570,38736,40576,41619,42409,44290,44750,45404,46318,47283,47920,48524,49241,50173,51975,53498,55192,56945,57885,58633,59439,60320,61454,62777,63987,64890,66553,67956,69474,71568,73395,75782,76636,78437,80429,82963,84012,84849,85495,85636,87180,88103,88084,86524,87720,87680,88344,91302,92940,93879,96339,92784,95544,96633,98566,96619,97769,99015,100464,101773,102751,103773,104500,105941,107702,108868,110246,112552,114109,115630,118245,120918,122912,124986,126855,126867,128368,130724,133270,138516,140620,142900,144245,148161,147668,146489,147105,146740,147483,147282,146824,147999,149119,150307,151948,155574,156809,159578,163330,164203
"10","2","Delaware",2326,2327,2411,2464,2466,2529,2540,2583,2684,2742,2776,2857,2914,2991,3072,3182,3226,3345,3447,3552,3539,3628,3788,3824,3870,3873,4000,4134,4214,4330,4374,4501,4497,4631,4746,4910,4945,5100,5234,5340,5453,5576,5741,5937,6186,6242,6429,6719,6805,6940,7187,7273,7388,7532,7679,7774,8015,8036,8187,8451,8661,8965,9180,9379,9694,9830,9875,10139,10254,10405,10569,10709,10916,11135,11409,11711,11772,12080,12532,12850,13351,13575,13728,13964,14061,14268,14516,14529,14862,14935,15134,15425,15296,15703,15921,16096,15869,16214,16250,16561,16366,16865,17026,17279,17711,17747,17797,17986,18551,18917,19191,19595,19467,19581,20121,20412,21112,21523,21653,21973,22084,22148,22483,22950,23738,24094,24470,24806,25178,25464,25667,25839,26914,26722,26617,26427,27454,27775,28159,28535,29134,29717,29768,31180,31407
