"Loan Characteristic","Period","All sizes","Minimal","Low","Moderate","Acceptable","Special","Not rated","Not reported"
"Volume of loans (thousands of dollars)","1999Q4",594465,36959,86012,299243,85958,52991,9921,23380
"Volume of loans (thousands of dollars)","2000Q1",594465,36959,86012,299243,85958,52991,9921,23380
"Volume of loans (thousands of dollars)","2000Q2",642554,19923,117807,274366,151939,29137,36349,13033
"Volume of loans (thousands of dollars)","2000Q3",601172,14067,67623,289430,119746,51697,28161,30446
"Volume of loans (thousands of dollars)","2000Q4",642554,19923,117807,274366,151939,29137,36349,13033
"Volume of loans (thousands of dollars)","2001Q1",747753,31634,70789,267604,242775,63220,44372,27361
"Volume of loans (thousands of dollars)","2001Q2",970544,38764,115771,379576,214288,109846,55530,56768
"Volume of loans (thousands of dollars)","2001Q3",659644,13823,79297,274410,190013,46045,29823,26234
"Volume of loans (thousands of dollars)","2001Q4",823910,41361,108812,334838,231454,63366,21960,22120
"Volume of loans (thousands of dollars)","2002Q1",761746,25556,114723,325366,180628,66114,33155,16204
"Volume of loans (thousands of dollars)","2002Q2",808196,24305,96880,342542,265925,39722,21085,17737
"Volume of loans (thousands of dollars)","2002Q3",795298,8248,46225,325378,327787,47616,27251,12793
"Volume of loans (thousands of dollars)","2002Q4",689089,15854,121043,214961,235040,54860,36033,11299
"Volume of loans (thousands of dollars)","2003Q1",712368,16126,73115,313630,205589,53868,30744,19296
"Volume of loans (thousands of dollars)","2003Q2",590927,37884,61634,214874,155289,47409,46671,27166
"Volume of loans (thousands of dollars)","2003Q3",667450,18545,72863,218315,253322,67046,16524,20836
"Volume of loans (thousands of dollars)","2003Q4",787864,14398,55975,284959,289001,56350,33436,53745
"Volume of loans (thousands of dollars)","2004Q1",919804,33059,103734,288784,244812,55706,91205,102505
"Volume of loans (thousands of dollars)","2004Q2",937627,19578,84162,305461,273038,45914,23516,185958
"Volume of loans (thousands of dollars)","2004Q3",853742,16318,108576,304132,178624,28421,20619,197051
"Volume of loans (thousands of dollars)","2004Q4",1066990,9062,258059,455228,257265,59013,1053,27310
"Volume of loans (thousands of dollars)","2005Q1",713728,24977,129504,320116,187061,16867,140,35064
"Volume of loans (thousands of dollars)","2005Q2",1333963,16596,87197,587968,540236,51331,7267,43367
"Volume of loans (thousands of dollars)","2005Q3",997615,21815,52071,608833,268438,15620,10072,20765
"Volume of loans (thousands of dollars)","2005Q4",759693,31608,99512,397122,177164,11385,1031,41870
"Volume of loans (thousands of dollars)","2006Q1",1029892,30046,121990,532889,220499,80323,5201,38944
"Volume of loans (thousands of dollars)","2006Q2",1289765,51552,89228,725569,208373,51710,96131,67202
"Volume of loans (thousands of dollars)","2006Q3",1028600,32888,105447,382562,315408,27745,54409,110140
"Volume of loans (thousands of dollars)","2006Q4",1058154,38883,127294,449713,317075,37627,3583,83978
"Volume of loans (thousands of dollars)","2007Q1",1016464,59285,122888,312237,322837,77052,12368,109796
"Number of loans","1999Q4",13722,923,2128,6315,2368,883,177,927
"Number of loans","2000Q1",13722,923,2128,6315,2368,883,177,927
"Number of loans","2000Q2",18624,1020,2747,8591,3671,1059,554,983
"Number of loans","2000Q3",19718,881,2451,8839,4050,1131,563,1803
"Number of loans","2000Q4",18624,1020,2747,8591,3671,1059,554,983
"Number of loans","2001Q1",16995,766,2223,7714,3622,1082,563,1025
"Number of loans","2001Q2",27424,1412,3610,11838,5599,1543,1907,1515
"Number of loans","2001Q3",20104,826,2831,8775,4907,1235,520,1009
"Number of loans","2001Q4",18502,743,2717,7980,4557,1303,388,813
"Number of loans","2002Q1",17858,856,2666,7912,4229,979,544,673
"Number of loans","2002Q2",27545,1028,3494,12086,7691,1556,456,1233
"Number of loans","2002Q3",18571,362,1845,7145,6640,1226,532,821
"Number of loans","2002Q4",15682,308,1512,6166,5468,978,529,721
"Number of loans","2003Q1",15107,317,1432,6364,4801,992,628,573
"Number of loans","2003Q2",17598,486,2087,7460,4433,895,910,1327
"Number of loans","2003Q3",15962,373,1481,6403,5839,1104,427,335
"Number of loans","2003Q4",16444,398,1252,6886,5778,1182,460,488
"Number of loans","2004Q1",15068,480,1677,6021,5056,878,541,416
"Number of loans","2004Q2",20449,470,2378,10049,5119,1231,449,754
"Number of loans","2004Q3",16825,385,2540,8408,3400,870,422,801
"Number of loans","2004Q4",16922,300,2011,8802,3961,1011,65,772
"Number of loans","2005Q1",15337,397,2125,7630,3658,708,25,794
"Number of loans","2005Q2",23081,833,2373,11709,5541,1069,153,1403
"Number of loans","2005Q3",19594,404,1870,10899,4583,782,123,933
"Number of loans","2005Q4",15403,475,1826,8376,3116,716,85,809
"Number of loans","2006Q1",19076,706,2134,10397,3608,966,545,719
"Number of loans","2006Q2",19578,744,1778,10177,3182,1090,1558,1049
"Number of loans","2006Q3",16683,688,1887,8547,3636,554,438,933
"Number of loans","2006Q4",14867,568,1776,6865,3204,638,83,1733
"Number of loans","2007Q1",16597,939,2039,7480,3332,698,75,2035
"Weighted average maturity (months)","1999Q4",15.41,10.39,11.15,16.35,15.85,22.03,9.95,13.95
"Weighted average maturity (months)","2000Q1",15.41,10.39,11.15,16.35,15.85,22.03,9.95,13.95
"Weighted average maturity (months)","2000Q2",13.29,11.02,11.45,15.64,11.31,6.35,15.95,15.73
"Weighted average maturity (months)","2000Q3",11.49,6.7,9.91,12.58,12.24,5.62,21.94,6.71
"Weighted average maturity (months)","2000Q4",13.29,11.02,11.45,15.64,11.31,6.35,15.95,15.73
"Weighted average maturity (months)","2001Q1",19.33,22.8,13.98,16.62,20.57,41.35,12.05,10.32
"Weighted average maturity (months)","2001Q2",16.91,25.67,25.81,15.68,12.3,19.15,13.99,15.69
"Weighted average maturity (months)","2001Q3",19.46,21.01,57.35,10.52,20.51,5.63,24.91,8.06
"Weighted average maturity (months)","2001Q4",15.35,20.42,15.13,12.69,13.85,7.98,29.52,73.71
"Weighted average maturity (months)","2002Q1",15.52,12.54,16.93,16.5,12.64,14.95,19.73,19.43
"Weighted average maturity (months)","2002Q2",18.84,13.13,19.23,24.79,12.04,16.04,21.7,15.32
"Weighted average maturity (months)","2002Q3",12.44,12.7,7.99,15.27,10.75,5.54,22.85,10.84
"Weighted average maturity (months)","2002Q4",10.73,11.54,7.57,10.13,13.17,5.04,21.22,10.27
"Weighted average maturity (months)","2003Q1",14.44,7.74,30.7,12.12,11.96,8.33,15.58,37.82
"Weighted average maturity (months)","2003Q2",20.65,11.69,20.48,24.16,18.29,19.56,22.7,19.87
"Weighted average maturity (months)","2003Q3",16.31,9.37,14.74,19.72,16.37,4.47,27.08,23.23
"Weighted average maturity (months)","2003Q4",14.32,8.71,17.85,12.16,13.24,24.21,21.98,16.07
"Weighted average maturity (months)","2004Q1",18.62,57.14,17.72,16.35,12.57,12.58,37.18,15.89
"Weighted average maturity (months)","2004Q2",11.34,24.46,9.09,16,12.45,6.58,6.77,3.33
"Weighted average maturity (months)","2004Q3",16.53,11.57,35.96,22.42,12.85,6.88,27.56,1.43
"Weighted average maturity (months)","2004Q4",18.72,4.51,13.05,18.65,26.86,9.44,8.31,20.79
"Weighted average maturity (months)","2005Q1",19.54,13.45,16.89,18.9,21.86,12.84,3.8,28.98
"Weighted average maturity (months)","2005Q2",23.1,19.54,9.71,17.08,28.08,28,61.33,67.38
"Weighted average maturity (months)","2005Q3",16.47,8.88,11.43,16.7,10.37,10.34,230.62,10.18
"Weighted average maturity (months)","2005Q4",17.81,10.62,13.26,20.56,16.36,27.78,26.24,9.62
"Weighted average maturity (months)","2006Q1",16.87,8.12,11.35,18.51,18.25,13.78,13.73,17.97
"Weighted average maturity (months)","2006Q2",13.83,10.9,12.17,11.67,16.49,15.91,18.87,27.44
"Weighted average maturity (months)","2006Q3",20.7,18,9.21,21,16.01,22.66,14.06,50.23
"Weighted average maturity (months)","2006Q4",18.77,15.27,28.39,16.35,14.99,14.53,38.22,36.72
"Weighted average maturity (months)","2007Q1",21.3,10.44,19.42,22.39,20.54,14.92,11.58,35.83
"Weighted average repricing interval (months)","1999Q4",3.15,0.97,3.04,3.76,1.95,3.87,0.65,2.7
"Weighted average repricing interval (months)","2000Q1",3.15,0.97,3.04,3.76,1.95,3.87,0.65,2.7
"Weighted average repricing interval (months)","2000Q2",3,4.43,4.23,2.41,2.93,0.8,5.91,2.02
"Weighted average repricing interval (months)","2000Q3",2.6,3.16,3.87,2.81,1.93,0.47,5.54,1.69
"Weighted average repricing interval (months)","2000Q4",3,4.43,4.23,2.41,2.93,0.8,5.91,2.02
"Weighted average repricing interval (months)","2001Q1",6.54,3.55,2.11,4.82,13.02,0.44,1.93,2.14
"Weighted average repricing interval (months)","2001Q2",4.3,17.35,10.39,4.17,1.39,0.39,5.2,1.53
"Weighted average repricing interval (months)","2001Q3",5.48,15.72,23.15,2.82,2.38,0.38,10.98,0.29
"Weighted average repricing interval (months)","2001Q4",4.71,4.54,8.69,2.45,5.7,0.12,13.44,17.13
"Weighted average repricing interval (months)","2002Q1",5.53,6.2,8.19,5.79,4.6,0.11,14.09,2.42
"Weighted average repricing interval (months)","2002Q2",5.63,4.89,9.31,7.53,1.94,1.79,12.97,6.73
"Weighted average repricing interval (months)","2002Q3",1.78,6,4.88,2.2,1.03,0.13,2.63,1.74
"Weighted average repricing interval (months)","2002Q4",1.76,4.66,2.4,1.47,1.88,0.02,1.14,3.8
"Weighted average repricing interval (months)","2003Q1",3.11,5.06,12.28,2.59,0.98,0.44,2.93,5.39
"Weighted average repricing interval (months)","2003Q2",4.72,6.41,6.97,4.78,3.26,2.7,7.45,5.13
