SUMLEV,STATE,COUNTY,STNAME,CTYNAME,SEX,ORIGIN,RACE,CENSUS2000POP,ESTIMATESBASE2000,POPESTIMATE2000,POPESTIMATE2001,POPESTIMATE2002,POPESTIMATE2003,POPESTIMATE2004
050,25,001,Massachussets,Barnstable County,0,0,01,212789,212789,214179,216124,218085,219375,218869
050,25,001,Massachussets,Barnstable County,0,0,02,4486,4486,4560,4560,4624,4743,4718
050,25,001,Massachussets,Barnstable County,0,0,03,1343,1343,1250,1257,1235,1215,1241
050,25,001,Massachussets,Barnstable County,0,0,04,1454,1454,1470,1612,1747,1776,1841
050,25,001,Massachussets,Barnstable County,0,0,05,76,76,39,43,59,60,62
050,25,001,Massachussets,Barnstable County,0,0,06,2082,2082,1736,1797,1863,1896,1952
050,25,003,Massachussets,Berkshire County,0,0,01,129130,129130,129228,128262,127439,127024,126240
050,25,003,Massachussets,Berkshire County,0,0,02,2798,2798,2813,2865,2908,3005,3102
050,25,003,Massachussets,Berkshire County,0,0,03,206,206,191,186,213,212,213
050,25,003,Massachussets,Berkshire County,0,0,04,1372,1372,1384,1411,1467,1514,1543
050,25,003,Massachussets,Berkshire County,0,0,05,49,49,19,19,20,21,20
050,25,003,Massachussets,Berkshire County,0,0,06,1398,1398,1175,1179,1267,1289,1368
050,25,005,Massachussets,Bristol County,0,0,01,505127,505127,506547,508087,510742,512002,511657
050,25,005,Massachussets,Bristol County,0,0,02,14953,14953,15023,15654,16899,17966,18602
050,25,005,Massachussets,Bristol County,0,0,03,1593,1593,1571,1614,1673,1711,1807
050,25,005,Massachussets,Bristol County,0,0,04,7159,7159,7217,7609,8206,8679,9125
050,25,005,Massachussets,Bristol County,0,0,05,259,259,198,213,215,227,246
050,25,005,Massachussets,Bristol County,0,0,06,5587,5587,5562,5764,6128,6465,6739
050,25,007,Massachussets,Dukes County,0,0,01,13981,13981,14193,14340,14515,14671,14674
050,25,007,Massachussets,Dukes County,0,0,02,385,385,410,427,429,440,449
050,25,007,Massachussets,Dukes County,0,0,03,275,275,253,231,239,245,278
050,25,007,Massachussets,Dukes County,0,0,04,79,79,80,86,94,92,98
050,25,007,Massachussets,Dukes County,0,0,05,17,17,7,6,8,10,13
050,25,007,Massachussets,Dukes County,0,0,06,250,250,134,136,132,138,157
050,25,009,Massachussets,Essex County,0,0,01,664890,664890,665760,668142,668184,666297,663641
050,25,009,Massachussets,Essex County,0,0,02,28575,28575,28440,30739,32707,34657,36450
050,25,009,Massachussets,Essex County,0,0,03,2141,2141,2292,2342,2426,2527,2573
050,25,009,Massachussets,Essex County,0,0,04,18079,18079,17949,19256,20189,20786,21476
050,25,009,Massachussets,Essex County,0,0,05,597,597,614,679,708,733,732
050,25,009,Massachussets,Essex County,0,0,06,9137,9137,10541,11418,12321,13278,14112
050,25,011,Massachussets,Franklin County,0,0,01,68895,68895,68970,69082,69315,69338,69464
050,25,011,Massachussets,Franklin County,0,0,02,696,696,733,724,763,778,802
050,25,011,Massachussets,Franklin County,0,0,03,220,220,209,207,216,223,226
050,25,011,Massachussets,Franklin County,0,0,04,788,788,800,784,834,850,899
