 
"Organization Name - Effective 18-JAN-08","Grant Number","NIH Reference","PI Name","Project Title","Dept Name","NIH Dept Combining Name","NIH MC Combining Name","Award","City","State or Country Name","Zip Code","Attributed to Medical School","Medical School - Grant is Attributed To","Medical School Location","Additional Ranking Category","Multi-Campus Institution","Main Campus - Grant is Attributed To","  "
"3D IMAGING, LLC","N43CM0622027C","","","A COMMERCIAL I-124 TARGET FOR 17 MEV CYCLOTRONS","","","","$ 121,290","BEDFORD","ARKANSAS","72113","","","","None","","","  "
"ARKANSAS CHILDREN'S HOSPITAL RES INST","1R01HD051873-01A1","7141391","James, Sandra Jill","Metabolic Biomarkers of Autism: Predictive Potential and Genetic Susceptibility","","","","$ 362,929","LITTLE ROCK","ARKANSAS","72202","","","","Research Institutes","N","","  "
"ARKANSAS CHILDREN'S HOSPITAL RES INST","1R03HD050663-01A1","7149636","Malik, Sadia ","Tobacco Exposure and Risk of Congenital Heart Defects","","","","$ 69,000","LITTLE ROCK","ARKANSAS","72202","","","","Research Institutes","N","","  "
"ARKANSAS CHILDREN'S HOSPITAL RES INST","2R01HD039054-06A2","7145787","Hobbs, Charlotte A","Genetic/Metabolic Determinants Congenital Heart Defect","","","","$ 751,904","LITTLE ROCK","ARKANSAS","72202","","","","Research Institutes","N","","  "
"ARKANSAS CHILDREN'S HOSPITAL RES INST","5K23HL004475-05","7114470","Morris, Mohy G","Forced expiration and lung volume in infant lung disease","","","","$ 155,250","LITTLE ROCK","ARKANSAS","72202","","","","Research Institutes","N","","  "
"ARKANSAS CHILDREN'S HOSPITAL RES INST","5R01AA008645-16","7087918","Badger, Thomas M","Alcohol: Direct and Indirect Effects in Drug Metabolism","","","","$ 319,804","LITTLE ROCK","ARKANSAS","72202","","","","Research Institutes","N","","  "
"ARKANSAS CHILDREN'S HOSPITAL RES INST","5R01AA012223-06","7098786","Lumpkin, Charles K","ETHANOL AND OSTEOBLASTOGENESIS: ROLES OF IL-1 AND TNF","","","","$ 269,514","LITTLE ROCK","ARKANSAS","72202","","","","Research Institutes","N","","  "
"ARKANSAS CHILDREN'S HOSPITAL RES INST","5R01AA012928-05","7059297","Ronis, Martin Jj","ETHANOL EFFECTS ON BONE FORMATION IN PREGNANCY","","","","$ 283,430","LITTLE ROCK","ARKANSAS","72202","","","","Research Institutes","N","","  "
"ARKANSAS CHILDREN'S HOSPITAL RES INST","5R01DK055653-07","7117279","Fowlkes, John L","THE PHYSIOLOGY OF IGFBP DEGRADING PROTEINASES IN BONE","","","","$ 256,038","LITTLE ROCK","ARKANSAS","72202","","","","Research Institutes","N","","  "
"ARKANSAS CHILDREN'S HOSPITAL RES INST","5R01HD021961-18","7013191","Simmen, Rosalia C","Uteroferrin gene expression during development","","","","$ 286,713","LITTLE ROCK","ARKANSAS","72202","","","","Research Institutes","N","","  "
"ARKANSAS CHILDREN'S HOSPITAL RES INST","5R21AA014247-02","7046837","Parsian, Abbas ","QTL Mapping in Inbred FH Rat Strain for Alcohol Intake","","","","$ 119,927","LITTLE ROCK","ARKANSAS","72202","","","","Research Institutes","N","","  "
"ARKANSAS CHILDREN'S HOSPITAL RES INST","5U10HD031324-13","7019084","Wells, Thomas G","Pediatric Pharmacology Research Unit Network","","","","$ 365,693","LITTLE ROCK","ARKANSAS","72202","","","","Research Institutes","N","","  "
"ARKANSAS CHILDREN'S HOSPITAL RES INST","5U10HD050009-02","7059953","Anand, Kanwaljeet S","PCCM Network: Remedies for Opioid Tolerance & Withdrawal","","","","$ 423,471","LITTLE ROCK","ARKANSAS","72202","","","","Research Institutes","N","","  "
"ARKANSAS STATE UNIVERSITY","1R15DA019971-01A1","7071930","Srivatsan, Malathi ","Nicotine and Development of Autonomic Neurons","","BIOLOGY","SCHOOLS OF ARTS AND SCIENCES","$ 194,508","STATE UNIVERSITY","ARKANSAS","72467-0250","","","","Domestic Higher Education","N","","  "
"BIODETECTION INSTRUMENTS, LLC","5R44RR018420-03","7118230","Su, Xiaoli ","A High-performance Food Pathogen Detection Instrument","","","","$ 375,111","FAYETTEVILLE","ARKANSAS","72701","","","","None","N","","  "
"BIOTECHNICAL SERVICES, INC.","N01ES05453","","","NTP TECHNICAL REPORTS PREPARATION SERVICES","","","","$ 1,044,062","NORTH LITTLE ROCK","ARKANSAS","72116","","","","None","","","  "
"CHLAMYDIA BASIC RESEARCH SOCIETY","5R13AI063796-03","7054072","Rank, Roger G","Biennial Meeting of Chlamydia Basic Research Society","","","","$ 1","LITTLE ROCK","ARKANSAS","72205-7199","","","","None","N","","  "
"GREEN TECHNOLOGIES, INC.","5R43HD044271-02","7051959","Green, Steve ","A Manual Standup Wheelchair","","","","$ 98,500","WEST FORK","ARKANSAS","72774-9377","","","","None","N","","  "
"GREEN TECHNOLOGIES, INC.","5R44HD043516-03","7068123","Green, Steve ","A Modal Reciprocating Pushrim Drive Wheelchair","","","","$ 368,041","WEST FORK","ARKANSAS","72774-9377","","","","None","N","","  "
