 
"Organization Name - Effective 02-MAR-08","Grant Number","NIH Reference","PI Name","Project Title","Dept Name","NIH Dept Combining Name","NIH MC Combining Name","Award","City","State or Country Name","Zip Code","Attributed to Medical School","Medical School - Grant is Attributed To","Medical School Location","Additional Ranking Category","Multi-Campus Institution","Main Campus - Grant is Attributed To","  "
"APOLLO SRI, LLC","1R41CA126155-01A1","7325272","Landry, Christopher ","Improving the Transfer of ERK siRNA Constructs Using Nanoporous Silica","","","","$ 100,000","BURLINGTON","VERMONT","05405","","","","None","N","","  "
"CHADWICK OPTICAL, INC.","5R44EY014723-04","7220570","Keeney, Karen L","Field ExpansionPrism Glasses for Homonymous Hemianopsia","","","","$ 327,935","WHITE RIVER JUNCTION","VERMONT","05001","","","","None","N","","  "
"HAEMATOLOGIC TECHNOLOGIES, INC.","2R42HL076904-02","7274527","Jenny, Richard J","A Global Test of Hemostatic Risk","","","","$ 351,562","ESSEX JUNCTION","VERMONT","05452","","","","None","N","","  "
"INTERNATIONAL CANNABINOID RESEARCH SOC","5R13DA016280-05","7216944","Wiley, Jenny L","ICRS Symposium on the Cannabinoids","","","","$ 30,000","BURLINGTON","VERMONT","05403-6606","","","","None","N","","  "
"LANSKY CONSULTING, LLC","2R44RR021296-02","7221731","Lansky, David Matthew","High Precision Bioassay Using Robotics and Statistics","","","","$ 320,474","BURLINGTON","VERMONT","05401","","","","None","N","","  "
"LAUREATE LEARNING SYSTEMS, INC.","1R43DC008510-01A1","7271593","Wilson, Mary Sweig","Theory of Mind Software for Autism and other Communication Disorders","","","","$ 188,462","WINOOSKI","VERMONT","05404-1898","","","","None","N","","  "
"MICROBRIGHTFIELD, INC.","2R44MH076188-02A1","7356264","Glaser, Jacob R","3D Virtual Slide System for Creation and Analysis of Focusable Digital Slides","","","","$ 362,544","WILLISTON","VERMONT","05495","","","","None","N","","  "
"MICROBRIGHTFIELD, INC.","5R44MH072063-04","7207959","Glaser, Jacob R","Automated Neuron Tracing and 3D Reconstruction Software","","","","$ 454,998","WILLISTON","VERMONT","05495","","","","None","N","","  "
"MICRODESIGN CONSULTING, INC.","2R44AG022795-03","7218862","Keyes, Lawrence M","Integrated Teleconferencing Unit For Home-Based Interactive Exercise For Elders","","","","$ 410,965","COLCHESTER","VERMONT","05446","","","","None","N","","  "
"MIDDLEBURY COLLEGE","1R15HD056475-01","7304660","Combelles, Catherine Mh","Oxidative Stress and Oocyte Development","BIOLOGY","BIOLOGY","SCHOOLS OF ARTS AND SCIENCES","$ 195,297","MIDDLEBURY","VERMONT","05753","","","","Domestic Higher Education","N","","  "
