table with row headers in column A and column headers in row 3,,,,,
"Table 8.  Illinois Incorporated Place Population Estimates and Population Change, Sorted Alphabetically: July 1, 2001 to July 1, 2002",,,,,
Place,State,"July 1, 2002 Population","July 1, 2001 Population",Numerical Population Change,Percent Population Change
Abingdon city,Illinois,"3,510","3,556",-46,-1.3
Addieville village,Illinois,265,266,-1,-0.4
Addison village,Illinois,"36,378","36,216",162,0.4
Adeline village,Illinois,140,140,-,-
Albany village,Illinois,910,898,12,1.3
Albers village,Illinois,947,913,34,3.7
Albion city,Illinois,"1,882","1,904",-22,-1.2
Aledo city,Illinois,"3,571","3,587",-16,-0.4
Alexis village,Illinois,847,851,-4,-0.5
Algonquin village,Illinois,"26,362","24,664","1,698",6.9
Alhambra village,Illinois,637,639,-2,-0.3
Allendale village,Illinois,512,518,-6,-1.2
Allenville village,Illinois,151,153,-2,-1.3
Allerton village,Illinois,286,289,-3,-1.0
Alma village,Illinois,382,385,-3,-0.8
Alorton village,Illinois,"2,735","2,736",-1,-
Alpha village,Illinois,715,721,-6,-0.8
Alsey village,Illinois,243,245,-2,-0.8
Alsip village,Illinois,"19,635","19,675",-40,-0.2
Altamont city,Illinois,"2,270","2,284",-14,-0.6
Alto Pass village,Illinois,387,386,1,0.3
Alton city,Illinois,"30,190","30,402",-212,-0.7
Altona village,Illinois,559,565,-6,-1.1
Alvin village,Illinois,316,316,-,-
Amboy city,Illinois,"2,580","2,579",1,-
Anchor village,Illinois,175,176,-1,-0.6
Andalusia village,Illinois,"1,049","1,048",1,0.1
Andover village,Illinois,588,591,-3,-0.5
Anna city,Illinois,"5,084","5,082",2,-
Annawan town,Illinois,871,866,5,0.6
Antioch village,Illinois,"9,867","9,380",487,5.2
Apple River village,Illinois,378,379,-1,-0.3
Arcola city,Illinois,"2,654","2,652",2,0.1
Arenzville village,Illinois,417,418,-1,-0.2
Argenta village,Illinois,873,894,-21,-2.3
Arlington Heights village,Illinois,"76,422","76,716",-294,-0.4
Arlington village,Illinois,208,208,-,-
Armington village,Illinois,361,365,-4,-1.1
Aroma Park village,Illinois,813,816,-3,-0.4
Arrowsmith village,Illinois,295,298,-3,-1.0
Arthur village,Illinois,"2,188","2,197",-9,-0.4
Ashkum village,Illinois,717,721,-4,-0.6
Ashland village,Illinois,"1,358","1,357",1,0.1
Ashley city,Illinois,599,606,-7,-1.2
Ashmore village,Illinois,794,803,-9,-1.1
Ashton village,Illinois,"1,209","1,171",38,3.2
Assumption city,Illinois,"1,246","1,250",-4,-0.3
Astoria village,Illinois,"1,171","1,182",-11,-0.9
Athens city,Illinois,"1,777","1,752",25,1.4
Atkinson town,Illinois,982,992,-10,-1.0
Atlanta city,Illinois,"1,657","1,649",8,0.5
Atwood village,Illinois,"1,277","1,283",-6,-0.5
Auburn city,Illinois,"4,348","4,326",22,0.5
Augusta village,Illinois,641,652,-11,-1.7
Aurora city,Illinois,"156,974","150,563","6,411",4.3
Ava city,Illinois,660,657,3,0.5
Aviston village,Illinois,"1,285","1,269",16,1.3
Avon village,Illinois,893,904,-11,-1.2
Baldwin village,Illinois,427,431,-4,-0.9
Banner village,Illinois,147,148,-1,-0.7
Bannockburn village,Illinois,"1,456","1,446",10,0.7
Bardolph village,Illinois,248,250,-2,-0.8
Barrington Hills village,Illinois,"4,060","4,020",40,1.0
Barrington village,Illinois,"10,271","10,267",4,-
Barry city,Illinois,"1,332","1,346",-14,-1.0
Bartelso village,Illinois,594,593,1,0.2
Bartlett village,Illinois,"37,304","37,099",205,0.6
Bartonville village,Illinois,"6,212","6,231",-19,-0.3
Basco village,Illinois,104,106,-2,-1.9
Batavia city,Illinois,"25,281","24,730",551,2.2
Batchtown village,Illinois,215,217,-2,-0.9
Bath village,Illinois,310,310,-,-
Bay View Gardens village,Illinois,362,363,-1,-0.3
Baylis village,Illinois,257,261,-4,-1.5
Beach Park village,Illinois,"10,310","10,207",103,1.0
Beardstown city,Illinois,"5,714","5,739",-25,-0.4
Beaverville village,Illinois,390,391,-1,-0.3
Beckemeyer village,Illinois,"1,049","1,046",3,0.3
Bedford Park village,Illinois,565,570,-5,-0.9
Beecher City village,Illinois,492,493,-1,-0.2
Beecher village,Illinois,"2,237","2,101",136,6.5
Belgium village,Illinois,475,471,4,0.8
Belknap village,Illinois,136,135,1,0.7
Belle Prairie City town,Illinois,59,59,-,-
Belle Rive village,Illinois,372,371,1,0.3
Belleville city,Illinois,"41,325","41,346",-21,-0.1
Bellevue village,Illinois,"1,847","1,854",-7,-0.4
Bellflower village,Illinois,401,405,-4,-1.0
Bellmont village,Illinois,293,295,-2,-0.7
Bellwood village,Illinois,"20,355","20,467",-112,-0.5
Belvidere city,Illinois,"22,084","21,421",663,3.1
Bement village,Illinois,"1,743","1,760",-17,-1.0
Benld city,Illinois,"1,517","1,526",-9,-0.6
Bensenville village,Illinois,"20,832","20,847",-15,-0.1
Benson village,Illinois,402,405,-3,-0.7
Bentley town,Illinois,41,42,-1,-2.4
Benton city,Illinois,"6,847","6,826",21,0.3
Berkeley village,Illinois,"5,199","5,227",-28,-0.5
Berlin village,Illinois,145,144,1,0.7
Berwyn city,Illinois,"53,309","53,756",-447,-0.8
Bethalto village,Illinois,"9,601","9,549",52,0.5
Bethany village,Illinois,"1,269","1,279",-10,-0.8
Big Rock village,Illinois,677,667,10,1.5
Biggsville village,Illinois,340,340,-,-
Bingham village,Illinois,116,117,-1,-0.9
Birds village,Illinois,51,51,-,-
Bishop Hill village,Illinois,122,123,-1,-0.8
Bismarck village,Illinois,545,543,2,0.4
Blandinsville village,Illinois,760,764,-4,-0.5
Bloomingdale village,Illinois,"21,908","21,891",17,0.1
Bloomington city,Illinois,"67,417","66,132","1,285",1.9
Blue Island city,Illinois,"23,343","23,451",-108,-0.5
Blue Mound village,Illinois,"1,081","1,101",-20,-1.8
Bluffs village,Illinois,737,743,-6,-0.8
Bluford village,Illinois,772,776,-4,-0.5
Bolingbrook village,Illinois,"62,797","60,182","2,615",4.3
Bondville village,Illinois,463,459,4,0.9
Bone Gap village,Illinois,265,268,-3,-1.1
Bonfield village,Illinois,369,367,2,0.5
Bonnie village,Illinois,432,429,3,0.7
Bourbonnais village,Illinois,"15,385","15,284",101,0.7
Bowen village,Illinois,521,530,-9,-1.7
Braceville village,Illinois,799,799,-,-
Bradford village,Illinois,769,777,-8,-1.0
Bradley village,Illinois,"13,176","13,011",165,1.3
Braidwood city,Illinois,"5,588","5,398",190,3.5
Breese city,Illinois,"4,157","4,111",46,1.1
Bridgeport city,Illinois,"2,148","2,152",-4,-0.2
Bridgeview village,Illinois,"15,397","15,410",-13,-0.1
Brighton village,Illinois,"2,261","2,233",28,1.3
Brimfield village,Illinois,909,913,-4,-0.4
Broadlands village,Illinois,309,308,1,0.3
Broadview village,Illinois,"8,187","8,233",-46,-0.6
Broadwell village,Illinois,169,169,-,-
Brocton village,Illinois,307,314,-7,-2.2
Brookfield village,Illinois,"18,899","19,025",-126,-0.7
Brooklyn village,Illinois,670,671,-1,-0.1
Brookport city,Illinois,"1,055","1,053",2,0.2
Broughton village,Illinois,188,190,-2,-1.1
Browning village,Illinois,127,127,-,-
Browns village,Illinois,170,172,-2,-1.2
Brownstown village,Illinois,701,701,-,-
Brussels village,Illinois,138,140,-2,-1.4
Bryant village,Illinois,252,254,-2,-0.8
Buckingham village,Illinois,236,235,1,0.4
Buckley village,Illinois,587,586,1,0.2
Buckner village,Illinois,485,480,5,1.0
Buda village,Illinois,581,583,-2,-0.3
Buffalo Grove village,Illinois,"43,307","43,219",88,0.2
Buffalo village,Illinois,485,487,-2,-0.4
Bull Valley village,Illinois,732,732,-,-
Bulpitt village,Illinois,203,203,-,-
Buncombe village,Illinois,201,200,1,0.5
Bunker Hill city,Illinois,"1,789","1,793",-4,-0.2
Burbank city,Illinois,"28,095","28,069",26,0.1
Bureau Junction village,Illinois,364,365,-1,-0.3
Burlington village,Illinois,471,462,9,1.9
Burnham village,Illinois,"4,169","4,178",-9,-0.2
Burnt Prairie village,Illinois,57,58,-1,-1.7
Burr Ridge village,Illinois,"10,743","10,643",100,0.9
Bush village,Illinois,259,259,-,-
Bushnell city,Illinois,"3,166","3,178",-12,-0.4
Butler village,Illinois,198,197,1,0.5
Byron city,Illinois,"3,161","3,052",109,3.6
Cabery village,Illinois,262,262,-,-
Cahokia village,Illinois,"16,199","16,238",-39,-0.2
Cairo city,Illinois,"3,523","3,563",-40,-1.1
Caledonia village,Illinois,208,204,4,2.0
Calhoun village,Illinois,219,219,-,-
Calumet City city,Illinois,"38,849","38,973",-124,-0.3
Calumet Park village,Illinois,"8,446","8,490",-44,-0.5
Camargo village,Illinois,498,486,12,2.5
Cambria village,Illinois,"1,350","1,344",6,0.4
Cambridge village,Illinois,"2,137","2,156",-19,-0.9
Camden village,Illinois,94,95,-1,-1.1
Camp Point village,Illinois,"1,216","1,227",-11,-0.9
Campbell Hill village,Illinois,327,328,-1,-0.3
Campus village,Illinois,146,145,1,0.7
Canton city,Illinois,"15,046","15,164",-118,-0.8
Cantrall village,Illinois,140,139,1,0.7
Capron village,Illinois,"1,032",963,69,7.2
Carbon Cliff village,Illinois,"1,690","1,698",-8,-0.5
Carbon Hill village,Illinois,398,400,-2,-0.5
Carbondale city,Illinois,"25,168","25,043",125,0.5
Carlinville city,Illinois,"5,647","5,669",-22,-0.4
Carlock village,Illinois,450,452,-2,-0.4
Carlyle city,Illinois,"3,419","3,411",8,0.2
Carmi city,Illinois,"5,332","5,395",-63,-1.2
Carol Stream village,Illinois,"40,352","40,439",-87,-0.2
Carpentersville village,Illinois,"34,235","32,819","1,416",4.3
Carrier Mills village,Illinois,"1,853","1,863",-10,-0.5
Carrollton city,Illinois,"2,535","2,555",-20,-0.8
Carterville city,Illinois,"4,732","4,677",55,1.2
Carthage city,Illinois,"2,643","2,692",-49,-1.8
Cary village,Illinois,"16,950","15,547","1,403",9.0
Casey city,Illinois,"2,929","2,929",-,-
Caseyville village,Illinois,"4,414","4,413",1,-
Catlin village,Illinois,"2,060","2,073",-13,-0.6
Cave-In-Rock village,Illinois,340,345,-5,-1.4
Cedar Point village,Illinois,256,258,-2,-0.8
Cedarville village,Illinois,706,712,-6,-0.8
Central City village,Illinois,"1,370","1,375",-5,-0.4
Centralia city,Illinois,"13,895","14,064",-169,-1.2
Centreville city,Illinois,"5,890","5,906",-16,-0.3
Cerro Gordo village,Illinois,"1,398","1,416",-18,-1.3
Chadwick village,Illinois,493,497,-4,-0.8
Champaign city,Illinois,"69,443","68,827",616,0.9
Chandlerville village,Illinois,710,708,2,0.3
Channahon village,Illinois,"9,218","8,383",835,10.0
Chapin village,Illinois,588,589,-1,-0.2
Charleston city,Illinois,"20,975","20,988",-13,-0.1
Chatham village,Illinois,"9,092","8,857",235,2.7
Chatsworth town,Illinois,"1,244","1,252",-8,-0.6
Chebanse village,Illinois,"1,124","1,134",-10,-0.9
Chenoa city,Illinois,"1,844","1,842",2,0.1
Cherry Valley village,Illinois,"2,214","2,215",-1,-
Cherry village,Illinois,500,501,-1,-0.2
Chester city,Illinois,"8,330","8,371",-41,-0.5
Chesterfield village,Illinois,221,222,-1,-0.5
Chicago Heights city,Illinois,"32,610","32,738",-128,-0.4
Chicago Ridge village,Illinois,"14,038","14,097",-59,-0.4
Chicago city,Illinois,"2,886,251","2,894,581","-8,330",-0.3
Chillicothe city,Illinois,"5,837","5,853",-16,-0.3
Chrisman city,Illinois,"1,285","1,289",-4,-0.3
Christopher city,Illinois,"2,815","2,811",4,0.1
Cicero town,Illinois,"84,254","84,978",-724,-0.9
Cisco village,Illinois,262,264,-2,-0.8
Cisne village,Illinois,664,665,-1,-0.2
Cissna Park village,Illinois,793,800,-7,-0.9
Claremont village,Illinois,210,210,-,-
Clarendon Hills village,Illinois,"8,047","7,940",107,1.3
Clay City village,Illinois,978,983,-5,-0.5
Clayton village,Illinois,887,895,-8,-0.9
Clear Lake village,Illinois,269,268,1,0.4
Cleveland village,Illinois,248,250,-2,-0.8
Clifton village,Illinois,"1,295","1,302",-7,-0.5
Clinton city,Illinois,"7,318","7,390",-72,-1.0
Coal City village,Illinois,"4,867","4,852",15,0.3
Coal Valley village,Illinois,"3,768","3,705",63,1.7
Coalton village,Illinois,306,306,-,-
Coatsburg village,Illinois,225,225,-,-
Cobden village,Illinois,"1,095","1,101",-6,-0.5
Coffeen city,Illinois,714,711,3,0.4
Colchester city,Illinois,"1,466","1,472",-6,-0.4
Coleta village,Illinois,153,154,-1,-0.6
Colfax village,Illinois,"1,001",997,4,0.4
Collinsville city,Illinois,"25,091","24,908",183,0.7
Colona city,Illinois,"5,187","5,190",-3,-0.1
Colp village,Illinois,227,226,1,0.4
Columbia city,Illinois,"8,349","8,126",223,2.7
Columbus village,Illinois,112,112,-,-
Compton village,Illinois,344,345,-1,-0.3
Concord village,Illinois,174,175,-1,-0.6
Congerville village,Illinois,483,482,1,0.2
Cooksville village,Illinois,209,211,-2,-0.9
Cordova village,Illinois,664,633,31,4.9
Cornell village,Illinois,513,515,-2,-0.4
Cortland town,Illinois,"2,227","2,105",122,5.8
Coulterville village,Illinois,"1,211","1,223",-12,-1.0
Country Club Hills city,Illinois,"16,368","16,329",39,0.2
Countryside city,Illinois,"5,989","6,007",-18,-0.3
Cowden village,Illinois,606,611,-5,-0.8
Crainville village,Illinois,"1,020","1,009",11,1.1
Creal Springs city,Illinois,709,707,2,0.3
Crescent City village,Illinois,619,622,-3,-0.5
Crest Hill city,Illinois,"14,823","14,003",820,5.9
Creston village,Illinois,547,546,1,0.2
Crestwood village,Illinois,"11,363","11,312",51,0.5
Crete village,Illinois,"7,699","7,518",181,2.4
Creve Coeur village,Illinois,"5,348","5,386",-38,-0.7
Crossville village,Illinois,756,772,-16,-2.1
Crystal Lake city,Illinois,"39,594","38,954",640,1.6
Cuba city,Illinois,"1,393","1,407",-14,-1.0
Cullom village,Illinois,553,557,-4,-0.7
Cutler village,Illinois,541,545,-4,-0.7
Cypress village,Illinois,277,274,3,1.1
Dahlgren village,Illinois,501,506,-5,-1.0
Dakota village,Illinois,488,494,-6,-1.2
Dallas City city,Illinois,"1,035","1,049",-14,-1.3
