GROOP,TAXA,BIOM,KOUNT,ISAMP
Nematoda,Total,.9630,2250,200001
Copepoda,Total, ,1200,200001
Ostracoda,Total, ,150,200001
Polychaeta,Total, ,150,200001
Oligochaeta,Total, ,0,200001
Tanaidacea,Total, ,0,200001
Tardigrada,Total, ,0,200001
Turbellaria,Total, ,50,200001
Nematoda,Chromadorita, ,375,200001
Nauplii,Total, ,350,200001
Nematoda,Southerniella, ,750,200001
Nematoda,Microlaimus, ,375,200001
Nematoda,Metachromadora, ,750,200001
Kinorhyncha,Total, ,0,200001
Isopoda,Total, ,50,200001
Amphipoda,Total, ,0,200001
Ophiuroidea,Total, ,0,200001
Sipunculida,Total, ,0,200001
Gastrotricha,Total, ,0,200001
Nematoda,Total,6.0870,5100,200002
Nematoda,Calomicrolaimus, ,283,200002
Copepoda,Total, ,850,200002
Ostracoda,Total, ,50,200002
Polychaeta,Total, ,200,200002
Oligochaeta,Total, ,0,200002
Tanaidacea,Total, ,0,200002
Tardigrada,Total, ,0,200002
Turbellaria,Total, ,0,200002
Nematoda,Viscosia, ,567,200002
Nematoda,Rhips, ,283,200002
Nematoda,Neotonchus, ,567,200002
Nematoda,Microlaimus, ,850,200002
Nematoda,Metadesmolaimus, ,850,200002
Nematoda,Daptonema, ,1417,200002
Nematoda,Chromadorita, ,283,200002
Nauplii,Total, ,0,200002
Kinorhyncha,Total, ,50,200002
Isopoda,Total, ,0,200002
Amphipoda,Total, ,0,200002
Ophiuroidea,Total, ,0,200002
Sipunculida,Total, ,0,200002
Gastrotricha,Total, ,0,200002
Nematoda,Total,14.9430,12350,200003
Nematoda,Aegialoalaimus, ,123,200003
Copepoda,Total, ,550,200003
Ostracoda,Total, ,50,200003
Polychaeta,Total, ,250,200003
Oligochaeta,Total, ,0,200003
Tanaidacea,Total, ,50,200003
Tardigrada,Total, ,0,200003
Turbellaria,Total, ,0,200003
Nematoda,Desmoscolex, ,374,200003
Nematoda,Daptonema, ,1871,200003
Nematoda,Chromadorita, ,1247,200003
Nematoda,Chromadora, ,873,200003
Nematoda,Calomicrolaimus, ,250,200003
Nematoda,Bolbolaimus, ,125,200003
Nematoda,Antomicron, ,374,200003
Nematoda,Amphimonhystrella, ,125,200003
Nematoda,Quadricoma, ,125,200003
Nematoda,Promonhystera, ,125,200003
Nematoda,Pomponema, ,249,200003
Nematoda,Paramonohystera, ,125,200003
Nematoda,Paralongicyatholaimus, ,125,200003
Nematoda,Oxystomina, ,374,200003
Nematoda,Monhystera, ,499,200003
Nematoda,Molgolaimus, ,125,200003
Nematoda,Wieseria, ,250,200003
Nematoda,Viscosia, ,250,200003
Nematoda,Theristus, ,624,200003
Nematoda,Terschellingia, ,125,200003
Nematoda,Tarvaia, ,125,200003
Nematoda,Sabatieria, ,125,200003
