CRUISEINFO,,,,
COUNTRY CODE,90,RUSSIA,,
PROJECT,224,DATA ARCHAEOLOGY AND RESCUE,,
INSTITUTE,898,MURMANSK MARINE BIOLOGICAL INSTITUTE,,
PLATFORM,6305,AKADEMIK FEDOROV (UQYC) (AKA AKADEMIK FYODOROV),,
CRUISE,14,,,
TOTAL OF PARTS,1,,,
PART NUMBER,1,,,
PI,,DRUZHKOV NIKOLAY V.,PH.D.,PHYTOPLANKTONOLOGIST
PI,,ILYIN GENNADY V,PH.D.,OCEANOGRAPHER AND HYDROCHEMIST
DIGITIZER,,DRUZHKOVA ELENA I.,PH.D.,PHYTOPLANKTONOLOGIST
DIGITIZER,,SHIROCOLOBOV DIMITRY V.,,DIGITIZER OPERATOR / OCEANOGRAPHER
TAXONOMIST,,DRUZHKOV NIKOLAY V.,PH.D.,PHYTOPLANKTONOLOGIST
QC MANAGER,,DRUZHKOV NIKOLAY V.,PH.D.,PHYTOPLANKTONOLOGIST
QC MANAGER,,ILYIN GENNADY V,PH.D.,OCEANOGRAPHER AND HYDROCHEMIST
MANAGER,,DRUZHKOV NIKOLAY V.,PH.D.,PHYTOPLANKTONOLOGIST
MANAGER,,ILYIN GENNADY V,PH.D.,OCEANOGRAPHER AND HYDROCHEMIST,,,,,,,,,,
SYSTEM MANAGER,,ZUYEV ALEKSEY N.,PH.D.,OCEANOGRAPHER AND COMPUTER SPECIALIST,,,,,,,,,,
REGION,,ARCTIC BASIN / BARENTS / NORWEGIAN SEA,,,,,,,,,,,,

TYPE,HEADERS PLANKTON,PHYTOPLANKTON,,,,,,,,,,,,
GEAR,BOTTLE,,,,,,,,,,,,,
SAMPLER VOL,0.2,L,,,,,,,,,,,,
PRESERVATIVE,LUGOL SOLUTION,,,,,,,,,,,,,


STATION,1,SERIES,,POSITION,,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LON DEG,LON MIN,LON SEC,LON HEM,YEAR,MONTH,DAY,HOUR,MINUTE,SECUNDE,TIME ZONE
59,5.5,,N,4,27.2,,E,1998,10,1,,,,

TYPE,HEADERS,,,,,,,,,,,,,
BOTTOM DEPTH,1019,M,,,,,,,,,,,,

TYPE,PLANKTON
TAX CNT B0,TAX NAME
#/L,PHYTOPLANKTON
1,-
115,ALEXANDRIUM
1188,AMPHIDINIUM ACUTISSIMUM
345,AMPHIDINIUM CRASSUM
345,AMPHIDINIUM EXTENSUM
1035,AMPHIDINIUM LACUSTRE
115,CERATIUM FURCA
115,CERATIUM TRIPOS
3450,COCHLODINIUM PUPA
1035,COCHLODINIUM VINCTUM
1035,CRYPTOMONAS ACUTA
6210,CRYPTOPHYCOPHYTA
115,DICTYOCHA FIBULA
44850,GYMNODINIACEA
115,GYMNODINIUM CONICUM
1035,GYMNODINIUM MARINUM
1035,GYMNODINIUM SIMPLEX
6555,GYMNODINIUM SPP
9660,GYMNODINIUM VENEFICIUM
2760,GYMNODINIUM VITILIGO
10350,GYMNODINIUM WULFFI
1150,GYRODINIUM AUREOLUM
2760,GYRODINIUM FLAGELLARE
396,GYRODINIUM FUSIFORME
230,GYRODINIUM PINGUE
594,GYRODINIUM PRUNUS
1035,HEMIDINIUM NASUTUM
198,HETEROCAPSA TRIQUETRA
13800,KATODINIUM ROTUNDATUM
115,LEPTOCYLINDRUS DANICUS
1584,LEPTOCYLINDRUS MINIMUS
2070,LEUCOCRYPTOS MARINA
115,MICRACANTHADINIUM CLAYTONII
575,NITZSCHIA DELICATISSIMA
396,NITZSCHIA LONGISSIMA
230,NITZSCHIA PSEUDODELICATISSIMA
990,NITZSCHIA SERIATA
58,OXYTOXUM MILNERI
594,PENNALES
1035,PLAGIOSELMIS PROLONGA
115,PRONOCTILUCA PELAGICA
198,PROROCENTRUM APORUM
198,PROROCENTRUM COMPRESSUM
792,PROROCENTRUM MICANS
198,RHIZOSOLENIA DELICATULA,,,,,,,,,,,,,
345,SCRIPPSIELLA TROCHOIDEA,,,,,,,,,,,,,
2772,SKELETONEMA COSTATUM,,,,,,,,,,,,,
990,THALASSIONEMA NITZSCHIOIDES,,,,,,,,,,,,,
115,THALASSIOSIRA SPP,,,,,,,,,,,,,
575,TORODINIUM ROBUSTUM,,,,,,,,,,,,,


STATION,2,SERIES,,POSITION,,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LON DEG,LON MIN,LON SEC,LON HEM,YEAR,MONTH,DAY,HOUR,MINUTE,SECUNDE,TIME ZONE
64,47,,N,7,25.8,,E,1998,10,1,,,,

TYPE,HEADERS,,,,,,,,,,,,,
BOTTOM DEPTH,258,M,,,,,,,,,,,,

TYPE,PLANKTON,,,,,,,,,,,,,
TAX CNT B0,TAX NAME
#/L,PHYTOPLANKTON
1,-
120,ALEXANDRIUM
900,AMPHIDINIUM CARTERAE
60,AMPHIDINIUM EXTENSUM
120,AMPHIDINIUM GLOBOSUM
60,CHAETOCEROS BOREALIS
60,CORETHRON HYSTRIX
4800,CRYPTOPHYCOPHYTA SPP
180,CYLINDROTHECA CLOSTERIUM
7200,GYMNODINIACEA
150,GYMNODINIUM AGILIFORME
60,GYMNODINIUM CONICUM
300,GYMNODINIUM SIMPLEX
5100,GYMNODINIUM SPP
2100,GYMNODINIUM VENEFICIUM
3900,GYMNODINIUM VITILIGO
1500,GYMNODINIUM WULFFI
300,GYRODINIUM FLAGELLARE
60,GYRODINIUM FUSIFORME
450,LEUCOCRYPTOS MARINA
180,NITZSCHIA DELICATISSIMA
180,NITZSCHIA LONGISSIMA
60,PENNALES
3300,PLAGIOSELMIS PROLONGA
600,PLAGIOSELMIS PUNCTATA
60,PRONOCTILUCA PELAGICA
750,PROROCENTRUM BALTICUM
150,PROROCENTRUM COMPRESSUM
450,PTEROSPERMA NATIONALIS
1800,PYRAMIMONAS SPP
2340,RHIZOSOLENIA ALATA,,,,,,,,,,,,,
360,SCRIPPSIELLA TROCHOIDEA,,,,,,,,,,,,,
