File with 8 tables (1 table in each tab) with row headers in column A and column headers in rows 4 through 6.,,,,,,,,,,
"Table 9.  Earnings in 2004 by Educational Attainment of the Population 18 Years and Over, by Age, Sex, Race Alone, And Hispanic Origin:  2005",,,,,,,,,,
(leading dots indicate sub-parts),,,,,,,,,,
"Both Sexes
18 Years and Over",Total,High School,,College,,,,,,
,,Not a Graduate,"Graduate, including GED",Some College no degree,Associate's degree,Bachelor's or more,,,,
,,,,,,Total,Bachelor's degree,Master's degree,Professional degree,Doctoral degree
All Workers,,,,,,,,,,
.All Races,,,,,,,,,,
..With Earnings,"150,095","16,372","45,545","30,469","13,912","43,796","29,050","10,400","2,368","1,976"
...Median Earnings,"$28,097 ","$16,003 ","$23,935 ","$24,701 ","$31,368 ","$46,024 ","$40,994 ","$51,636 ","$81,145 ","$71,094 "
....Standard Error,$145 ,$109 ,$158 ,$218 ,$163 ,$181 ,$138 ,$196 ,$976 ,$873 
...Mean Earnings,"$37,899 ","$19,169 ","$28,645 ","$30,177 ","$36,032 ","$60,490 ","$51,554 ","$66,942 ","$114,621 ","$93,004 "
....Standard Error,$155 ,$251 ,$192 ,$244 ,$281 ,$417 ,$395 ,"$1,013 ","$2,888 ","$2,759 "
.White Alone,,,,,,,,,,
..With Earnings,"123,452","13,289","37,114","24,875","11,675","36,496","24,061","8,783","2,002","1,648"
...Median Earnings,"$29,256 ","$16,135 ","$24,780 ","$24,987 ","$31,870 ","$46,472 ","$41,407 ","$51,500 ","$82,047 ","$70,962 "
....Standard Error,$165 ,$118 ,$176 ,$210 ,$180 ,$199 ,$162 ,$225 ,"$2,283 ",$881 
...Mean Earnings,"$38,946 ","$19,367 ","$29,605 ","$30,909 ","$36,715 ","$61,765 ","$52,877 ","$67,341 ","$116,522 ","$95,255 "
....Standard Error,$176 ,$259 ,$227 ,$272 ,$308 ,$472 ,$447 ,"$1,136 ","$3,196 ","$3,209 "
.Non-Hispanic White Alone,,,,,,,,,,
..With Earnings,"105,505","6,754","31,793","21,944","10,616","34,397","22,544","8,369","1,901","1,581"
...Median Earnings,"$30,959 ","$15,498 ","$25,450 ","$25,170 ","$32,207 ","$46,844 ","$41,640 ","$51,589 ","$83,203 ","$71,181 "
....Standard Error,$71 ,$237 ,$122 ,$190 ,$189 ,$204 ,$167 ,$234 ,"$2,716 ",$863 
...Mean Earnings,"$40,943 ","$19,742 ","$30,197 ","$31,255 ","$37,274 ","$62,350 ","$53,411 ","$67,831 ","$117,552 ","$94,426 "
....Standard Error,$198 ,$421 ,$244 ,$301 ,$331 ,$490 ,$466 ,"$1,181 ","$3,312 ","$3,135 "
.Black Alone,,,,,,,,,,
..With Earnings,"16,631","2,044","6,138","3,768","1,423","3,257","2,348",700,119,89
...Median Earnings,"$24,539 ","$14,162 ","$21,487 ","$23,945 ","$27,251 ","$40,834 ","$36,962 ","$50,830 ","$72,291 ","$74,561 "
....Standard Error,$282 ,$678 ,$194 ,$630 ,$618 ,$316 ,$445 ,$560 ,"$3,528 ","$9,459 "
...Mean Earnings,"$29,096 ","$17,827 ","$23,498 ","$26,540 ","$31,059 ","$48,815 ","$42,342 ","$57,152 ","$102,000 ","$82,615 "
....Standard Error,$305 ,"$1,131 ",$256 ,$585 ,$667 ,$954 ,$863 ,"$1,701 ","$13,301 ","$9,919 "
.Asian Alone,,,,,,,,,,
..With Earnings,"6,369",497,"1,192",926,437,"3,315","2,118",786,207,202
...Median Earnings,"$32,099 ","$17,277 ","$22,773 ","$21,403 ","$30,879 ","$48,605 ","$40,977 ","$60,530 ","$76,939 ","$76,146 "
....Standard Error,$333 ,$932 ,$955 ,"$1,011 ","$1,183 ","$1,287 ",$555 ,"$1,970 ","$15,083 ","$4,982 "
...Mean Earnings,"$44,361 ","$19,684 ","$28,289 ","$25,398 ","$38,258 ","$59,947 ","$47,912 ","$72,899 ","$111,399 ","$82,928 "
....Standard Error,$901 ,$914 ,"$1,039 ",$995 ,"$2,472 ","$1,558 ","$1,445 ","$4,256 ","$9,156 ","$4,807 "
.Hispanic (of any race),,,,,,,,,,
..With Earnings,"19,343","6,935","5,740","3,224","1,144","2,298","1,669",448,108,72
...Median Earnings,"$20,986 ","$16,540 ","$21,120 ","$23,737 ","$27,277 ","$39,437 ","$35,940 ","$50,383 ","$46,222 ",(B)
....Standard Error,$124 ,$133 ,$209 ,$531 ,$777 ,"$1,332 ",$616 ,"$1,205 ","$8,750 ",(B)
...Mean Earnings,"$27,263 ","$19,025 ","$25,823 ","$28,634 ","$31,024 ","$51,922 ","$45,166 ","$57,508 ","$93,271 ",(B)
....Standard Error,$336 ,$305 ,$610 ,$710 ,$762 ,"$1,785 ","$1,754 ","$3,249 ","$11,271 ",(B)
Year Round Full Time Workers,,,,,,,,,,
.All Races,,,,,,,,,,
..With Earnings,"102,357","9,691","31,571","18,642","9,991","32,459","21,291","7,744","1,875","1,548"
...Median Earnings,"$36,234 ","$21,417 ","$30,167 ","$34,162 ","$37,050 ","$52,447 ","$49,035 ","$60,399 ","$97,161 ","$77,417 "
....Standard Error,$74 ,$111 ,$87 ,$389 ,$197 ,$246 ,$532 ,$310 ,"$7,164 ","$1,655 "
...Mean Earnings,"$47,341 ","$25,593 ","$34,946 ","$40,489 ","$42,862 ","$71,204 ","$61,324 ","$77,994 ","$128,405 ","$103,824 "
....Standard Error,$203 ,$394 ,$242 ,$302 ,$337 ,$517 ,$489 ,"$1,279 ","$3,239 ","$3,293 "
.White Alone,,,,,,,,,,
..With Earnings,"83,772","7,929","25,582","15,169","8,313","26,777","17,446","6,479","1,578","1,273"
...Median Earnings,"$37,052 ","$21,525 ","$30,928 ","$35,595 ","$38,787 ","$54,790 ","$50,442 ","$60,300 ",$100000+,"$78,150 "
