File with 8 tables (1 table in each tab) with row headers in column A and column headers in rows 4 through 6.,,,,,,,,,,
"Table 8.  Income in 2004 by Educational Attainment of the Population 18 Years and Over, by Age, Sex, Race Alone, And Hispanic Origin:  2005",,,,,,,,,,
(leading dots indicate sub-parts),,,,,,,,,,
"Both Sexes
18 Years and Over",Total,High School,,College,,,,,,
,,Not a Graduate,"Graduate, including GED",Some College no degree,Associate's degree,Bachelor's or more,,,,
,,,,,,Total,Bachelor's degree,Master's degree,Professional degree,Doctoral degree
All Workers,,,,,,,,,,
.All Races,,,,,,,,,,
..With Income,"200,076","28,522","63,299","38,608","16,827","52,819","35,029","12,602","2,876","2,311"
...Median Income,"$24,108 ","$12,437 ","$20,733 ","$22,279 ","$30,026 ","$42,956 ","$38,880 ","$50,693 ","$74,207 ","$72,073 "
....Standard Error,$90 ,$73 ,$81 ,$124 ,$234 ,$307 ,$311 ,$249 ,"$1,896 ","$1,932 "
...Mean Income,"$34,626 ","$16,485 ","$26,156 ","$29,444 ","$35,103 ","$58,208 ","$49,656 ","$65,190 ","$104,299 ","$92,378 "
....Standard Error,$125 ,$155 ,$150 ,$213 ,$269 ,$366 ,$350 ,$884 ,"$2,529 ","$2,469 "
.White Alone,,,,,,,,,,
..With Income,"165,246","22,686","52,337","31,681","14,169","44,371","29,280","10,700","2,452","1,937"
...Median Income,"$24,765 ","$12,983 ","$21,098 ","$22,571 ","$30,538 ","$43,783 ","$39,574 ","$50,633 ","$75,464 ","$72,506 "
....Standard Error,$99 ,$111 ,$90 ,$189 ,$196 ,$321 ,$340 ,$285 ,"$1,746 ","$2,125 "
...Mean Income,"$35,642 ","$16,838 ","$26,899 ","$30,213 ","$35,775 ","$59,401 ","$50,825 ","$65,853 ","$105,544 ","$94,947 "
....Standard Error,$142 ,$164 ,$174 ,$237 ,$296 ,$412 ,$394 ,$986 ,"$2,783 ","$2,845 "
.Non-Hispanic White Alone,,,,,,,,,,
..With Income,"143,764","14,333","46,155","28,317","12,972","41,985","27,583","10,221","2,327","1,852"
...Median Income,"$25,967 ","$12,088 ","$21,284 ","$22,594 ","$30,837 ","$44,357 ","$39,987 ","$50,708 ","$76,232 ","$73,993 "
....Standard Error,$84 ,$98 ,$99 ,$209 ,$205 ,$329 ,$269 ,$295 ,"$1,043 ","$1,977 "
...Mean Income,"$37,191 ","$16,624 ","$27,216 ","$30,544 ","$36,281 ","$59,943 ","$51,277 ","$66,364 ","$106,593 ","$94,940 "
....Standard Error,$157 ,$217 ,$184 ,$259 ,$316 ,$426 ,$409 ,"$1,023 ","$2,886 ","$2,794 "
.Black Alone,,,,,,,,,,
..With Income,"22,188","4,083","8,026","4,650","1,697","3,729","2,662",829,136,101
...Median Income,"$20,570 ","$10,326 ","$18,657 ","$21,559 ","$26,288 ","$40,207 ","$36,086 ","$49,716 ","$72,749 ","$74,207 "
....Standard Error,$156 ,$194 ,$319 ,$289 ,$529 ,$467 ,$508 ,"$1,395 ","$5,409 ","$8,712 "
...Mean Income,"$26,307 ","$14,617 ","$21,739 ","$25,458 ","$30,130 ","$48,252 ","$41,860 ","$56,558 ","$99,052 ","$79,930 "
....Standard Error,$255 ,$592 ,$232 ,$549 ,$661 ,$904 ,$829 ,"$1,727 ","$12,025 ","$9,198 "
.Asian Alone,,,,,,,,,,
..With Income,"8,044",910,"1,561","1,154",520,"3,897","2,496",930,241,229
...Median Income,"$26,896 ","$12,257 ","$19,798 ","$18,873 ","$28,477 ","$42,387 ","$36,983 ","$52,392 ","$61,357 ","$69,218 "
....Standard Error,$362 ,$546 ,$701 ,"$1,279 ","$1,595 ","$1,121 ",$876 ,"$2,720 ","$11,115 ","$6,909 "
...Mean Income,"$39,740 ","$15,677 ","$26,046 ","$24,766 ","$37,420 ","$55,594 ","$45,030 ","$66,205 ","$101,671 ","$79,125 "
....Standard Error,$761 ,$627 ,$885 ,$935 ,"$2,339 ","$1,397 ","$1,312 ","$3,747 ","$8,367 ","$4,870 "
.Hispanic (of any race),,,,,,,,,,
..With Income,"23,180","8,862","6,706","3,723","1,285","2,602","1,857",519,134,90
...Median Income,"$18,953 ","$14,913 ","$19,838 ","$22,223 ","$26,738 ","$36,966 ","$34,916 ","$49,033 ","$43,318 ","$47,558 "
....Standard Error,$198 ,$179 ,$312 ,$405 ,$586 ,$629 ,$980 ,"$2,598 ","$3,953 ","$4,920 "
...Mean Income,"$25,364 ","$17,314 ","$24,258 ","$27,616 ","$30,377 ","$49,940 ","$43,860 ","$55,467 ","$83,066 ","$93,462 "
....Standard Error,$294 ,$252 ,$536 ,$696 ,$756 ,"$1,623 ","$1,620 ","$2,991 ","$9,519 ","$22,418 "
Year Round Full Time Workers,,,,,,,,,,
.All Races,,,,,,,,,,
..With Income,"102,382","9,693","31,578","18,644","9,991","32,475","21,302","7,745","1,878","1,548"
...Median Income,"$37,238 ","$21,772 ","$30,757 ","$35,799 ","$38,822 ","$56,062 ","$50,750 ","$62,672 ",$100000+,"$83,562 "
....Standard Error,$79 ,$112 ,$91 ,$170 ,$491 ,$231 ,$185 ,$668 ,"$16,196 ","$1,791 "
...Mean Income,"$49,660 ","$26,436 ","$36,383 ","$42,644 ","$45,239 ","$74,890 ","$64,379 ","$82,708 ","$132,558 ","$110,426 "
....Standard Error,$210 ,$400 ,$249 ,$319 ,$369 ,$532 ,$503 ,"$1,317 ","$3,300 ","$3,362 "
.White Alone,,,,,,,,,,
..With Income,"83,796","7,931","25,587","15,171","8,313","26,792","17,457","6,480","1,580","1,273"
...Median Income,"$38,782 ","$21,847 ","$31,594 ","$36,806 ","$40,424 ","$57,208 ","$51,688 ","$62,864 ",$100000+,"$86,319 "
....Standard Error,$178 ,$126 ,$102 ,$188 ,$251 ,$252 ,$212 ,$763 ,"$24,163 ","$2,079 "
