SUMLEV,ST,CTY,STNAME,CTYNAME,TIME,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,UNDER5_MALE,UNDER5_FEM,AGE513_TOT,AGE513_MALE,AGE513_FEM,AGE1417_TOT,AGE1417_MALE,AGE1417_FEM,AGE1824_TOT,AGE1824_MALE,AGE1824_FEM,AGE16PLUS_TOT,AGE16PLUS_MALE,AGE16PLUS_FEM,AGE18PLUS_TOT,AGE18PLUS_MALE,AGE18PLUS_FEM,AGE1544_TOT,AGE1544_MALE,AGE1544_FEM,AGE4564_TOT,AGE4564_MALE,AGE4564_FEM,AGE65PLUS_TOT,AGE65PLUS_MALE,AGE65PLUS_FEM,AGE85PLUS_TOT,AGE85PLUS_MALE,AGE85PLUS_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM
050,35,001,New Mexico,Bernalillo County,1,556678,271904,284774,38566,19487,19079,70684,36041,34643,31770,16154,15616,57544,28784,28760,431835,208410,223425,415658,200222,215436,250594,125553,125041,124920,60062,64858,64156,26840,37316,7444,2264,5180,35.0,33.8,36.2
050,35,001,New Mexico,Bernalillo County,2,556002,271559,284443,38550,19477,19073,70615,35994,34621,31715,16122,15593,57511,28768,28743,431271,208141,223130,415122,199966,215156,250382,125451,124931,124636,59924,64712,64069,26797,37272,7435,2261,5174,35.0,33.8,36.1
050,35,001,New Mexico,Bernalillo County,3,556870,272046,284824,38566,19484,19082,70552,35963,34589,31781,16146,15635,57823,28953,28870,432131,208633,223498,415971,200453,215518,249956,125307,124649,125549,60385,65164,64500,26998,37502,7514,2305,5209,35.1,33.8,36.2
050,35,001,New Mexico,Bernalillo County,4,561881,274256,287625,38970,19708,19262,70126,35629,34497,31507,16136,15371,58868,29458,29410,437119,210894,226225,421278,202783,218495,248973,124668,124305,130365,62631,67734,65524,27511,38013,7908,2523,5385,35.4,34.1,36.6
050,35,001,New Mexico,Bernalillo County,5,572195,279424,292771,40324,20452,19872,70951,35977,34974,31907,16346,15561,60194,30196,29998,444943,214788,230155,429013,206649,222364,250129,125490,124639,136482,65618,70864,66392,27865,38527,8039,2630,5409,35.5,34.2,36.8
050,35,001,New Mexico,Bernalillo County,6,581663,283942,297721,41100,20816,20284,70518,35700,34818,32101,16453,15648,61286,30805,30481,454064,219249,234815,437944,210973,226971,251471,126215,125256,142788,68665,74123,67731,28402,39329,8322,2735,5587,35.8,34.5,37.1
050,35,001,New Mexico,Bernalillo County,7,592538,289458,303080,41754,21081,20673,70487,35712,34775,32541,16734,15807,62279,31246,31033,464058,224324,239734,447756,215931,231825,253624,127428,126196,149438,71948,77490,69079,29115,39964,8406,2829,5577,36.1,34.8,37.4
050,35,001,New Mexico,Bernalillo County,8,603562,294894,308668,41956,21199,20757,70508,35722,34786,32645,16685,15960,63061,31672,31389,474885,229710,245175,458453,221288,237165,255833,128626,127207,156622,75435,81187,70602,29838,40764,8735,2989,5746,36.4,35.2,37.7
050,35,003,New Mexico,Catron County,1,3543,1812,1731,148,71,77,381,211,170,218,120,98,149,80,69,2916,1477,1439,2796,1410,1386,1012,504,508,1288,677,611,667,326,341,53,20,33,47.8,47.9,47.6
050,35,003,New Mexico,Catron County,2,3543,1812,1731,148,71,77,381,211,170,218,120,98,149,80,69,2916,1477,1439,2796,1410,1386,1012,504,508,1288,677,611,667,326,341,53,20,33,47.8,47.9,47.6
