Table with row headers in column F and column headers in rows 11 through 12.,,,,,,,,,
"Census 2000 PHC-T-29.  Ranking Tables for Population of Metropolitan Statistical Areas, Micropolitan Statistical Areas, Combined Statistical Areas, New England City and Town Areas, and Combined New England City and Town Areas: 1990 and 2000
(Areas defined by the Office of Management and Budget as of June 6, 2003.)",,,,,,,,,
,,,,,,,,,
Table 13.  Population in Combined New England City and Town Areas (CNECTAs) and Their Geographic Components in Alphabetical Order and Numerical and Percent Change:  1990 and 2000,,,,,,,,,
,,,,,,,,,
"Source:  U.S. Census Bureau, Census 2000 and 1990 Census.",,,,,,,,,
"Internet Release date:  December 30, 2003",,,,,,,,,
(leading dots indicate sub-parts),,,,,,,,,
"[For information on confidentiality and nonsampling error, see www.census.gov/prod/cen2000/doc/sf1.pdf.  For information on definitions, see http://www.census.gov/population/www/estimates/aboutmetro.html]",,,,,,,,,
(x) Not applicable. ,,,,,,,,,
"CNECTA
Code","NECTA
Code","NECTA
Div.
Code","State/
County
Code","City/
Town
Code",Combined New England City and Town Area and Components,Population,,"Change
1990 to 2000",
,,,,,,"April 1, 2000","April 1, 1990",Number,Percent
710,,,,,"Augusta-Waterville, ME Combined New England City and Town Area","122,337","121,407",930,0.8
710,70600,,,,".Augusta, ME Micropolitan NECTA","78,583","76,508","2,075",2.7
710,70600,,23011,,..Kennebec County (pt.),"74,581","73,098","1,483",2.0
710,70600,,23011,02100,"...Augusta city, ME","18,560","21,325","-2,765",-13.0
710,70600,,23011,04020,"...Belgrade town, ME","2,978","2,375",603,25.4
710,70600,,23011,12350,"...Chelsea town, ME","2,559","2,497",62,2.5
710,70600,,23011,12735,"...China town, ME","4,106","3,713",393,10.6
710,70600,,23011,24670,"...Farmingdale town, ME","2,804","2,918",-114,-3.9
710,70600,,23011,27085,"...Gardiner city, ME","6,198","6,746",-548,-8.1
710,70600,,23011,30550,"...Hallowell city, ME","2,467","2,534",-67,-2.6
710,70600,,23011,40175,"...Litchfield town, ME","3,110","2,650",460,17.4
710,70600,,23011,43080,"...Manchester town, ME","2,465","2,099",366,17.4
710,70600,,23011,47770,"...Mount Vernon town, ME","1,524","1,362",162,11.9
710,70600,,23011,59110,"...Pittston town, ME","2,548","2,444",104,4.3
710,70600,,23011,61700,"...Randolph town, ME","1,911","1,949",-38,-1.9
710,70600,,23011,62190,"...Readfield town, ME","2,360","2,033",327,16.1
710,70600,,23011,63835,"...Rome town, ME",980,758,222,29.3
710,70600,,23011,68385,"...Sidney town, ME","3,514","2,593",921,35.5
710,70600,,23011,78745,"...Vassalboro town, ME","4,047","3,679",368,10.0
710,70600,,23011,80880,"...Wayne town, ME","1,112","1,029",83,8.1
710,70600,,23011,82945,"...West Gardiner town, ME","2,902","2,531",371,14.7
710,70600,,23011,86165,"...Windsor town, ME","2,204","1,895",309,16.3
710,70600,,23011,86970,"...Winthrop town, ME","6,232","5,968",264,4.4
