"Location","ST","CO","Median Value (Dollars) for Specified Owner-Occupied Housing Units","Disabilities- White Alone Males","Disabilities- White Alone Females","Disabilities- Black Alone Males","Disabilities- Black Alone Females","Disabilities- American Indian and Alaska Native Alone Males","Disabilities- American Indian and Alaska Native Alone Females","Disabilities- Asian Alone Males","Disabilities -PCT68D- Asian Alone Females","Disabilities- Native Hawaiian or Pacific Islander Alone Males","Disabilities- Native Hawaiian or Pacific Islander Alone Females","Disabilities- Some Other Race Males","Disabilities- Some Other Race Females","Disabilities- Two or More Races Males","Disabilities- Two or More Races Females","Disabilities- Hispanic Males","Disabilities- Hispanic Females","Disabilities- White Alone, Not Hispanic Males","Disabilities- White Alone, Not Hispanic Females","Per Capita Income 2001","Per Capita Income 2002","Per Capita Income 2003","75% of 3 Year Average Per Capita Income","Unemployment Rate, 2002","Unemployment Rate, 2003","Unemployment Rate, 2004"
"Location","ST","CO","EWP001","EWP03","EWP02A2","EWP02A3","EWP02A4","EWP02A5","EWP02A6","EWP02A7","EWP02A8","EWP02A9","EWP02A10","EWP02A11","EWP02A12","EWP02A13","EWP02A14","EWP02A15","EWP02A16","EWP02A17","EWP02A18","EWP02A19","EWP02A20","EWP02A21","EWP02A22","EWP02A23","EWP02A24","EWP02A25","EWP02A26","EWP02A27","EWP031","EWP04","EWP05","EWP052","EWP06","EWP07","EWP08"
"Adair County","21","001","60800","7940      ","1876      ","2244      ","164       ","33        ","77        ","64        ","9         ","7         ","28        ","5         ","9         ","0         ","0         ","0         ","67        ","4         ","13        ","121       ","32        ","23        ","55        ","15        ","10        ","7917      ","1865      ","2240      ","18641","18887","19122","14162     ","     5.4","     5.9","     5.0"
"Allen County","21","003","69300","8368      ","2044      ","2247      ","77        ","23        ","17        ","24        ","0         ","6         ","16        ","8         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","59        ","29        ","5         ","176       ","35        ","41        ","8232      ","2017      ","2212      ","21228","21405","21960","16148     ","     6.3","     6.9","     6.2"
"Anderson County","21","005","89500","6283      ","1644      ","1713      ","275       ","121       ","41        ","6         ","0         ","6         ","76        ","15        ","33        ","0         ","0         ","0         ","14        ","7         ","0         ","75        ","14        ","18        ","70        ","26        ","9         ","6257      ","1631      ","1713      ","24059","24613","25114","18446     ","     4.9","     4.6","     4.0"
"Ballard County","21","007","58800","3114      ","825       ","799       ","48        ","21        ","8         ","6         ","3         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","8         ","8         ","0         ","106       ","27        ","19        ","8         ","8         ","0         ","3114      ","825       ","799       ","26611","25978","27433","20005     ","     7.2","     8.0","     6.7"
"Barren County","21","009","77900","16164     ","3838      ","4391      ","743       ","191       ","230       ","12        ","2         ","4         ","21        ","2         ","15        ","0         ","0         ","0         ","37        ","11        ","13        ","106       ","26        ","7         ","231       ","79        ","43        ","15970     ","3770      ","4361      ","21629","22017","22780","16606     ","     4.7","     5.2","     4.2"
"Bath County","21","011","65000","6173      ","1425      ","1511      ","80        ","11        ","21        ","6         ","0         ","2         ","0         ","0         ","0         ","0         ","0         ","0         ","19        ","0         ","7         ","42        ","4         ","8         ","20        ","0         ","8         ","6172      ","1425      ","1510      ","18287","18737","19266","14072     ","     7.4","     7.9","     6.6"
"Bell County","21","013","52500","20900     ","4750      ","4853      ","479       ","96        ","174       ","45        ","13        ","3         ","28        ","7         ","14        ","0         ","0         ","0         ","0         ","0         ","0         ","207       ","51        ","48        ","23        ","6         ","17        ","20877     ","4744      ","4836      ","17271","17391","17788","13112     ","     8.7","     8.8","     6.9"
"Boone County","21","015","131800","20556     ","5946      ","6024      ","381       ","110       ","118       ","106       ","46        ","19        ","124       ","35        ","62        ","44        ","22        ","8         ","127       ","51        ","25        ","522       ","128       ","96        ","593       ","211       ","110       ","20151     ","5821      ","5939      ","29807","30580","31158","22886     ","     4.0","     4.7","     4.2"
"Bourbon County","21","017","84500","6490      ","1793      ","1810      ","779       ","149       ","228       ","18        ","3         ","2         ","0         ","0         ","0         ","0         ","0         ","0         ","21        ","10        ","11        ","110       ","33        ","40        ","141       ","68        ","40        ","6399      ","1735      ","1796      ","27176","27695","28532","20850     ","     5.5","     5.8","     4.6"
"Boyd County","21","019","68800","23025     ","5569      ","5978      ","321       ","89        ","76        ","28        ","7         ","7         ","48        ","0         ","21        ","0         ","0         ","0         ","111       ","21        ","32        ","397       ","55        ","102       ","94        ","23        ","25        ","23018     ","5569      ","5971      ","24787","26289","27230","19576     ","     6.3","     7.1","     6.0"
