Table with row headers in column B and NAICS codes in column A with column headers in rows 4 and 5,,,,,,,,,,,,,,
Table 1. Selected Services - Estimated Quarterly Revenue for Employer Firms,,,,,,,,,,,,,,
"[Estimates have not been adjusted for seasonal variation, holiday or trading-day differences, or price changes.  Estimates are based on data from the Quarterly Services Survey and have been adjusted using results of the 2005 Service Annual Survey.  Data beginning with the third quarter of 2006 are based on a new sample.  All estimates are based on the 2002 North American Industry Classification System (NAICS).  NAICS codes marked with an asterisk (*) correspond to a previously published level, that will not be included in future releases.  For additional information see www.census.gov/qss]",,,,,,,,,,,,,,
"2002
 NAICS
 code 1",Kind of business,Total revenue (millions of dollars),,,,,,Percent change,,,,Year to date,,
,,"4Q
2006
(p)","3Q
2006
(r)","2Q
2006
(r)","1Q
2006
(r)","4Q
2005
(r)","3Q
2005
(r)","4Q 2006
from
3Q 2006
(p)","3Q 2006
from
2Q 2006
(r)","4Q 2006
from
4Q 2005
(p)","3Q 2006
from
3Q 2005
(r)","2006
(p)","2005
(r)","2006
from
2005
(p)"
51,Information ,"283,134","266,301","264,484","253,423","263,406","251,135",6.3,0.7,7.5,6.0,"1,067,342","1,005,252",6.2
511,Publishing industries (except Internet) ,"75,958","71,323",X,X,X,X,6.5,X,X,X,X,X,X
51111,Newspaper publishers ,"13,211","11,618",X,X,X,X,13.7,X,X,X,X,X,X
51112,Periodical publishers ,"12,724","12,449",X,X,X,X,2.2,X,X,X,X,X,X
5111 pt,"Book, directory and mailing list, and  ",,,,,,,,,,,,,
,  other publishers 2 ,"14,015","14,582",X,X,X,X,-3.9,X,X,X,X,X,X
5112,Software publishers ,"36,008","32,674","32,135","30,781","33,176","29,120",10.2,1.7,8.5,12.2,"131,598","119,623",10.0
512,Motion picture and sound recording industries ,"27,271","22,432","23,599","22,009","25,125","21,915",21.6,-4.9,8.5,2.4,"95,311","92,129",3.5
515,Broadcasting (except Internet) ,"26,411","23,233",X,X,X,X,13.7,X,X,X,X,X,X
5151,Radio and television broadcasting ,"16,076","13,537","14,575","14,062","14,761","12,577",18.8,-7.1,8.9,7.6,"58,250","53,520",8.8
5152,Cable and other subscription programming ,"10,335","9,696",X,X,X,X,6.6,X,X,X,X,X,X
"516, 5181, 519","Internet publishing and broadcasting, Internet 
  service providers and web search portals,    ",,,,,,,,,,,,,
,  and other information services ,"13,388","12,181",X,X,X,X,9.9,X,X,X,X,X,X
517,Telecommunications ,"121,783","119,260",X,X,X,X,2.1,X,X,X,X,X,X
5171,Wired telecommunications carriers ,"49,642","49,877","49,775","50,100","51,493","51,534",-0.5,0.2,-3.6,-3.2,"199,394","206,781",-3.6
5172,Wireless telecommunications carriers ,,,,,,,,,,,,,
,  (except satellite) ,"41,755","40,853","39,277","38,071","37,295","36,661",2.2,4.0,12.0,11.4,"159,956","143,308",11.6
5175,Cable and other program distribution  ,"24,426","22,785",X,X,X,X,7.2,X,X,X,X,X,X
517 pt,Other telecommunications3 ,"5,960","5,745","5,484","5,107","4,685","4,551",3.7,4.8,27.2,26.2,"22,296","18,762",18.8
5182,"Data processing, hosting, and related services ","18,323","17,872","17,672","16,501","16,705","16,148",2.5,1.1,9.7,10.7,"70,368","62,764",12.1
,,,,,,,,,,,,,,
54,"Professional, scientific, and technical services 4  ","308,502","288,618",X,X,X,X,6.9,X,X,X,X,X,X
54 pt,"Professional, scientific, and technical services 
  (except landscape architectural services ",,,,,,,,,,,,,
,   and veterinary services) 5  ,"302,722","282,412","288,758","279,934","281,723","259,028",7.2,-2.2,7.5,9.0,"1,153,826","1,058,196",9.0
5411,Legal services ,"69,469","58,743",X,X,X,X,18.3,X,X,X,X,X,X
5412,"Accounting, tax preparation, bookkeeping,",,,,,,,,,,,,,
,  and payroll services ,"25,856","23,268","28,794","34,631","23,563","21,420",11.1,-19.2,9.7,8.6,"112,549","102,316",10.0
5413 pt*,"Architectural, engineering, and related services 6 ","60,258","59,322","58,797","54,638","56,507","52,676",1.6,0.9,6.6,12.6,"233,015","205,401",13.4
5413,"Architectural, engineering, and related services  ","61,303","60,413",X,X,X,X,1.5,X,X,X,X,X,X
