    "","Table 6a.--Direct Investment: Income, Capital, Royalties and License Fees, and Other Private Services",
    "","[Millions of dollars]",
    "","",
    "","",
    "","",
"Line","(Credits +; debits -)",
    "","",
    "","U.S. direct investment abroad:",
    "","",
   "1","Income (table 1, line 14)...............................................................................................",
   "2","  Earnings..............................................................................................................",
   "3","    Distributed earnings................................................................................................",
   "4","    Reinvested earnings.................................................................................................",
   "5","      Reinvested earnings without current-cost adjustment...............................................................",
   "6","      Current-cost adjustment...........................................................................................",
   "7","  Interest..............................................................................................................",
   "8","    U.S. parents' receipts..............................................................................................",
   "9","    U.S. parents' payments..............................................................................................",
    "","",
  "10","Income without current-cost adjustment..................................................................................",
  "11","    Manufacturing.......................................................................................................",
  "12","    Wholesale trade.....................................................................................................",
  "13","    Finance (including depository institutions) and insurance...........................................................",
  "14","    Holding companies, except bank holding companies....................................................................",
  "15","    Other...............................................................................................................",
  "16","  Earnings without current-cost adjustment (line 2 less line 6).........................................................",
  "17","    Manufacturing.......................................................................................................",
  "18","    Wholesale trade.....................................................................................................",
  "19","    Finance (including depository institutions) and insurance...........................................................",
  "20","    Holding companies, except bank holding companies....................................................................",
  "21","    Other...............................................................................................................",
  "22","  Interest..............................................................................................................",
  "23","    Manufacturing.......................................................................................................",
  "24","    Wholesale trade.....................................................................................................",
  "25","    Finance (including depository institutions) and insurance/1/........................................................",
  "26","    Holding companies, except bank holding companies....................................................................",
  "27","    Other...............................................................................................................",
    "","",
  "28","Capital (table 1, line 51)..............................................................................................",
  "29","  Equity capital........................................................................................................",
  "30","    Increases in equity capital.........................................................................................",
  "31","    Decreases in equity capital.........................................................................................",
  "32","  Reinvested earnings (line 4 with sign reversed).......................................................................",
  "33","  Intercompany debt.....................................................................................................",
  "34","    U.S. parents' receivables...........................................................................................",
  "35","    U.S. parents' payables..............................................................................................",
    "","",
  "36","Capital without current-cost adjustment.................................................................................",
  "37","    Manufacturing.......................................................................................................",
  "38","    Wholesale trade.....................................................................................................",
  "39","    Finance (including depository institutions) and insurance...........................................................",
  "40","    Holding companies, except bank holding companies....................................................................",
  "41","    Other...............................................................................................................",
  "42","  Equity capital........................................................................................................",
  "43","    Manufacturing.......................................................................................................",
  "44","    Wholesale trade.....................................................................................................",
  "45","    Finance (including depository institutions) and insurance...........................................................",
  "46","    Holding companies, except bank holding companies....................................................................",
  "47","    Other...............................................................................................................",
  "48","  Reinvested earnings without current-cost adjustment (line 5 with sign reversed).......................................",
  "49","    Manufacturing.......................................................................................................",
  "50","    Wholesale trade.....................................................................................................",
  "51","    Finance (including depository institutions) and insurance...........................................................",
  "52","    Holding companies, except bank holding companies....................................................................",
  "53","    Other...............................................................................................................",
  "54","  Intercompany debt.....................................................................................................",
  "55","    Manufacturing.......................................................................................................",
  "56","    Wholesale trade.....................................................................................................",
  "57","    Finance (including depository institutions) and insurance/2/........................................................",
  "58","    Holding companies, except bank holding companies....................................................................",
  "59","    Other...............................................................................................................",
    "","",
  "60","Royalties and license fees, net.........................................................................................",
  "61","  U.S. parents' receipts (table 1, part of line 9)......................................................................",
  "62","  U.S. parents' payments (table 1, part of line 26).....................................................................",
    "","",
  "63","Other private services, net.............................................................................................",
  "64","  U.S. parents' receipts (table 1, part of line 10).....................................................................",
  "65","  U.S. parents' payments (table 1, part of line 27).....................................................................",
    "","",
    "","Foreign direct investment in the United States:",
    "","",
  "66","Income (table 1, line 31)...............................................................................................",
  "67","  Earnings..............................................................................................................",
  "68","    Distributed earnings................................................................................................",
  "69","    Reinvested earnings.................................................................................................",
  "70","      Reinvested earnings without current-cost adjustment...............................................................",
  "71","      Current-cost adjustment...........................................................................................",
  "72","  Interest..............................................................................................................",
  "73","    U.S. affiliates' payments...........................................................................................",
  "74","    U.S. affiliates' receipts...........................................................................................",
    "","",
  "75","Income without current-cost adjustment..................................................................................",
