,,,,,,,
Natural Gas Liquids Prod. (4),,,,"2,403","2,403",0,"2,381","2,212",169
Other Liquids New Supply,,,,-33,-33,0,-52,18,-70
Crude Oil Product Supplied,,,,0,0,0,0,0,0
Processing Gain,,,,976,986,-10,991,990,1
Net Product Imports (5),,,,"2,278","1,913",365,"2,194","2,347",-153
 ,Gross Product Imports (5),,,"3,525","3,160",365,"3,515","3,653",-138
 ,Product Exports (5),,,"1,247","1,247",0,"1,321","1,305",16
Prod Stocks W/D or Added (6)(7),,,,829,310,519,47,-132,179
,,,,,,,,,
Total Prod Supplied fo
