8",51,112,702,414,228,314,216,30,32
..Living with nonrelatives,230,4,19,63,52,19,32,37,3,1
.RELATIVE OF HOUSEHOLDER,,,,,,,,,,
..Spouse,"5,147",86,296,"2,112",826,439,830,481,21,57
..Other,463,39,43,194,69,33,48,34,1,3
.NONRELATIVE,,,,,,,,,,
..Nonrelative,212,3,20,81,50,8,29,11,0,9
65 years and over,,,,,,,,,,
.Total,"16,126","1,601","2,017","6,940","2,410",873,"1,494",630,94,68
.FAMILY HOUSEHOLDER,,,,,,,,,,
..Married spouse present,"2,108",145,208,900,369,130,211,115,18,12
..Other family household
