,"Asia","N","N","N","N"
"DP02",105.0,"Africa","N","N","N","N"
"DP02",106.0,"Oceania","N","N","N","N"
"DP02",107.0,"Latin America","N","N","N","N"
"DP02",108.0,"Northern America","N","N","N","N"
"DP02",108.3,,,,,
"DP02",108.5,"LANGUAGE SPOKEN AT HOME",,,,
"DP02",109.0,"Population 5 years and over","91,951","+/-6,019","100","(X)"
"DP02",110.0,"English only","71,542","+/-5,291","77.8","+/-3.8"
"DP02",111.0,"Language other than English","20,409","+/-3,956","22.2","+/-3.8"
"DP02",112.0,"Speak English less than "
