k, or LP gas","N","N","N","N"
"DP04",64.0,"Electricity","N","N","N","N"
"DP04",65.0,"Fuel oil, kerosene, etc.","N","N","N","N"
"DP04",66.0,"Coal or coke","N","N","N","N"
"DP04",67.0,"Wood","N","N","N","N"
"DP04",68.0,"Solar energy","N","N","N","N"
"DP04",69.0,"Other fuel","N","N","N","N"
"DP04",70.0,"No fuel used","N","N","N","N"
"DP04",70.3,,,,,
"DP04",70.5,"SELECTED CHARACTERISTICS",,,,
"DP04",71.0,"Occupied housing units","35,200","+/-2,061","100","(X)"
"DP04",72.0,"Lacking complete plumbing facilities",
