0,000","9.6%","8.9%",
"DP03",54.0,"$10,000 to $14,999","6.9%","7.1%",
"DP03",55.0,"$15,000 to $24,999","13.9%","14.1%",
"DP03",56.0,"$25,000 to $34,999","13.6%","12.1%","*"
"DP03",57.0,"$35,000 to $49,999","17.2%","16.0%","*"
"DP03",58.0,"$50,000 to $74,999","18.6%","19.0%",
"DP03",59.0,"$75,000 to $99,999","10.4%","11.3%","*"
"DP03",60.0,"$100,000 to $149,999","6.6%","8.1%","*"
"DP03",61.0,"$150,000 to $199,999","1.8%","1.6%",
"DP03",62.0,"$200,000 or more","1.5%","1.7%",
"DP03",63.0,"Median household inco
