.000,"55 to 64 years","N","N","N","N"
"B17001G",44.000,"65 to 74 years","N","N","N","N"
"B17001G",45.000,"75 years and over","N","N","N","N"
"B17001G",46.000,"Female:","N","N","N","N"
"B17001G",47.000,"Under 5 years","N","N","N","N"
"B17001G",48.000,"5 years","N","N","N","N"
"B17001G",49.000,"6 to 11 years","N","N","N","N"
"B17001G",50.000,"12 to 14 years","N","N","N","N"
"B17001G",51.000,"15 years","N","N","N","N"
"B17001G",52.000,"16 and 17 years","N","N","N","N"
"B17001G",53.000,"18 to 24 years","N","N",
