000,"Austrian","N","N","N","N"
"B04005",20.000,"Basque","N","N","N","N"
"B04005",21.000,"Belgian","N","N","N","N"
"B04005",22.000,"Brazilian","N","N","N","N"
"B04005",23.000,"British","N","N","N","N"
"B04005",24.000,"Bulgarian","N","N","N","N"
"B04005",25.000,"Cajun","N","N","N","N"
"B04005",26.000,"Canadian","N","N","N","N"
"B04005",27.000,"Carpatho Rusyn","N","N","N","N"
"B04005",28.000,"Celtic","N","N","N","N"
"B04005",29.000,"Croatian","N","N","N","N"
"B04005",30.000,"Cypriot","N","N","N","N"
"B04005",3
