0,"No disability:","N","N","N","N"
"B18020C",18.000,"Male:","N","N","N","N"
"B18020C",19.000,"16 to 34 years:","N","N","N","N"
"B18020C",20.000,"Employed","N","N","N","N"
"B18020C",21.000,"Not employed","N","N","N","N"
"B18020C",22.000,"35 to 64 years:","N","N","N","N"
"B18020C",23.000,"Employed","N","N","N","N"
"B18020C",24.000,"Not employed","N","N","N","N"
"B18020C",25.000,"Female:","N","N","N","N"
"B18020C",26.000,"16 to 34 years:","N","N","N","N"
"B18020C",27.000,"Employed","N","N","N","N"
"B18020C",28
