000,"German","N","N","N","N"
"B04002",43.000,"German Russian","N","N","N","N"
"B04002",44.000,"Greek","N","N","N","N"
"B04002",45.000,"Guyanese","N","N","N","N"
"B04002",46.000,"Hungarian","N","N","N","N"
"B04002",47.000,"Icelander","N","N","N","N"
"B04002",48.000,"Iranian","N","N","N","N"
"B04002",49.000,"Irish","N","N","N","N"
"B04002",50.000,"Israeli","N","N","N","N"
"B04002",51.000,"Italian","N","N","N","N"
"B04002",52.000,"Latvian","N","N","N","N"
"B04002",53.000,"Lithuanian","N","N","N","N"
"B04002",5
