103,26,Householder living alone,33.4,+/-0.4,50.9,+/-1.1,,,,,,,,,,
S0103,26.3, ,,,,,,,,,,,,,,
S0103,26.5,MARITAL STATUS,,,,,,,,,,,,,,
S0103,27,Population 15 years and over,6702129,+/-1226,1012628,+/-870,,,,,,,,,,
S0103,28,Now married except separated,40.4,+/-0.4,42.1,+/-0.8,,,,,,,,,,
S0103,29,Widowed,6.5,+/-0.1,32.9,+/-0.7,,,,,,,,,,
S0103,30,Divorced,8.0,+/-0.2,9.7,+/-0.5,,,,,,,,,,
S0103,31,Separated,3.9,+/-0.1,3.6,+/-0.3,,,,,,,,,,
S0103,32,Never married,41.2,+/-0.3,11.8,+/-0.5,,,,,,,,,,
S0103,32.3, ,,,,,,,,
