,13.000,"Female:","N","N","N","N"
"B05003C",14.000,"Under 18 years:","N","N","N","N"
"B05003C",15.000,"Native","N","N","N","N"
"B05003C",16.000,"Foreign born:","N","N","N","N"
"B05003C",17.000,"Naturalized U.S. citizen","N","N","N","N"
"B05003C",18.000,"Not a U.S. citizen","N","N","N","N"
"B05003C",19.000,"18 years and over:","N","N","N","N"
"B05003C",20.000,"Native","N","N","N","N"
"B05003C",21.000,"Foreign born:","N","N","N","N"
"B05003C",22.000,"Naturalized U.S. citizen","N","N","N","N"
"B05003C",23.000,
