23.000,"Veteran","N","N","N","N"
"B21001E",24.000,"Nonveteran","N","N","N","N"
"B21001E",25.000,"55 to 64 years:","N","N","N","N"
"B21001E",26.000,"Veteran","N","N","N","N"
"B21001E",27.000,"Nonveteran","N","N","N","N"
"B21001E",28.000,"65 to 74 years:","N","N","N","N"
"B21001E",29.000,"Veteran","N","N","N","N"
"B21001E",30.000,"Nonveteran","N","N","N","N"
"B21001E",31.000,"75 years and over:","N","N","N","N"
"B21001E",32.000,"Veteran","N","N","N","N"
"B21001E",33.000,"Nonveteran","N","N","N","N"
"B21001F",
