B18020G",18.000,"Male:","N","N","N","N"
"B18020G",19.000,"16 to 34 years:","N","N","N","N"
"B18020G",20.000,"Employed","N","N","N","N"
"B18020G",21.000,"Not employed","N","N","N","N"
"B18020G",22.000,"35 to 64 years:","N","N","N","N"
"B18020G",23.000,"Employed","N","N","N","N"
"B18020G",24.000,"Not employed","N","N","N","N"
"B18020G",25.000,"Female:","N","N","N","N"
"B18020G",26.000,"16 to 34 years:","N","N","N","N"
"B18020G",27.000,"Employed","N","N","N","N"
"B18020G",28.000,"Not employed","N","N","N","N"
