00,"$75,000 to $99,999","N","N","N","N"
"B20005I",72.000,"$100,000 or more","N","N","N","N"
"B20005I",73.000,"Other:","N","N","N","N"
"B20005I",74.000,"No earnings","N","N","N","N"
"B20005I",75.000,"With earnings:","N","N","N","N"
"B20005I",76.000,"$1 to $2,499 or loss","N","N","N","N"
"B20005I",77.000,"$2,500 to $4,999","N","N","N","N"
"B20005I",78.000,"$5,000 to $7,499","N","N","N","N"
"B20005I",79.000,"$7,500 to $9,999","N","N","N","N"
"B20005I",80.000,"$10,000 to $12,499","N","N","N","N"
"B20005I",81.00
