B21001G",6.000,"35 to 54 years:","N","N","N","N"
"B21001G",7.000,"Veteran","N","N","N","N"
"B21001G",8.000,"Nonveteran","N","N","N","N"
"B21001G",9.000,"55 to 64 years:","N","N","N","N"
"B21001G",10.000,"Veteran","N","N","N","N"
"B21001G",11.000,"Nonveteran","N","N","N","N"
"B21001G",12.000,"65 to 74 years:","N","N","N","N"
"B21001G",13.000,"Veteran","N","N","N","N"
"B21001G",14.000,"Nonveteran","N","N","N","N"
"B21001G",15.000,"75 years and over:","N","N","N","N"
"B21001G",16.000,"Veteran","N","N","N","N"
