.000,"Entered 2000 or later","N","N","N","N"
"B05008",34.000,"Entered 1990 to 1999","N","N","N","N"
"B05008",35.000,"Entered before 1990","N","N","N","N"
"B05008",36.000,"Female:","N","N","N","N"
"B05008",37.000,"Europe:","N","N","N","N"
"B05008",38.000,"Entered 2000 or later","N","N","N","N"
"B05008",39.000,"Entered 1990 to 1999","N","N","N","N"
"B05008",40.000,"Entered before 1990","N","N","N","N"
"B05008",41.000,"Asia:","N","N","N","N"
"B05008",42.000,"Entered 2000 or later","N","N","N","N"
"B05008",43.0
