,"Unemployed","N","N","N","N"
"B23002D",16.000,"Not in labor force","N","N","N","N"
"B23002D",17.000,"25 to 54 years:","N","N","N","N"
"B23002D",18.000,"In labor force:","N","N","N","N"
"B23002D",19.000,"In Armed Forces","N","N","N","N"
"B23002D",20.000,"Civilian:","N","N","N","N"
"B23002D",21.000,"Employed","N","N","N","N"
"B23002D",22.000,"Unemployed","N","N","N","N"
"B23002D",23.000,"Not in labor force","N","N","N","N"
"B23002D",24.000,"55 to 64 years:","N","N","N","N"
"B23002D",25.000,"In labor force:",
