36.000,"70 years and over:","N","N","N","N"
"B23002D",37.000,"In labor force:","N","N","N","N"
"B23002D",38.000,"Employed","N","N","N","N"
"B23002D",39.000,"Unemployed","N","N","N","N"
"B23002D",40.000,"Not in labor force","N","N","N","N"
"B23002D",41.000,"Female:","N","N","N","N"
"B23002D",42.000,"16 to 19 years:","N","N","N","N"
"B23002D",43.000,"In labor force:","N","N","N","N"
"B23002D",44.000,"In Armed Forces","N","N","N","N"
"B23002D",45.000,"Civilian:","N","N","N","N"
"B23002D",46.000,"Employed","N",
