,000 to $1,249","N","N","N","N"
"B25122",83.000,"$1,250 to $1,499","N","N","N","N"
"B25122",84.000,"$1,500 to $1,999","N","N","N","N"
"B25122",85.000,"$2,000 or more","N","N","N","N"
"B25122",86.000,"No cash rent","N","N","N","N"
"B25122",87.000,"$75,000 to $99,999:","N","N","N","N"
"B25122",88.000,"With cash rent:","N","N","N","N"
"B25122",89.000,"Less than $100","N","N","N","N"
"B25122",90.000,"$100 to $199","N","N","N","N"
"B25122",91.000,"$200 to $299","N","N","N","N"
"B25122",92.000,"$300 to $399","N",
