9,999 or loss","N","N","N","N"
"C20005D",26.000,"$10,000 to $19,999","N","N","N","N"
"C20005D",27.000,"$20,000 to $29,999","N","N","N","N"
"C20005D",28.000,"$30,000 to $49,999","N","N","N","N"
"C20005D",29.000,"$50,000 to $74,999","N","N","N","N"
"C20005D",30.000,"$75,000 or more","N","N","N","N"
"C20005D",31.000,"Other:","N","N","N","N"
"C20005D",32.000,"No earnings","N","N","N","N"
"C20005D",33.000,"With earnings:","N","N","N","N"
"C20005D",34.000,"$1 to $9,999 or loss","N","N","N","N"
"C20005D",35.000,"$
