,"Civilian:","N","N","N","N"
"C23002D",7.000,"Employed","N","N","N","N"
"C23002D",8.000,"Unemployed","N","N","N","N"
"C23002D",9.000,"Not in labor force","N","N","N","N"
"C23002D",10.000,"65 years and over:","N","N","N","N"
"C23002D",11.000,"In labor force:","N","N","N","N"
"C23002D",12.000,"Employed","N","N","N","N"
"C23002D",13.000,"Unemployed","N","N","N","N"
"C23002D",14.000,"Not in labor force","N","N","N","N"
"C23002D",15.000,"Female:","N","N","N","N"
"C23002D",16.000,"16 to 64 years:","N","N","N","N"
