,"Yugoslavian","N","N","N","N"
"B04003",108.000,"Other groups","N","N","N","N"
"B04004",.,"PEOPLE REPORTING SINGLE ANCESTRY",,,,
"B04004",.,"Universe:  People reporting single ancestry",,,,
"B04004",1.000,"Total:","N","N","N","N"
"B04004",2.000,"Afghan","N","N","N","N"
"B04004",3.000,"Albanian","N","N","N","N"
"B04004",4.000,"Alsatian","N","N","N","N"
"B04004",5.000,"American","N","N","N","N"
"B04004",6.000,"Arab:","N","N","N","N"
"B04004",7.000,"Egyptian","N","N","N","N"
"B04004",8.000,"Iraqi","N","N","N",
