B23002D",.,"Universe:  Asian alone population 16 years and over",,,,
"B23002D",1.000,"Total:","N","N","N","N"
"B23002D",2.000,"Male:","N","N","N","N"
"B23002D",3.000,"16 to 19 years:","N","N","N","N"
"B23002D",4.000,"In labor force:","N","N","N","N"
"B23002D",5.000,"In Armed Forces","N","N","N","N"
"B23002D",6.000,"Civilian:","N","N","N","N"
"B23002D",7.000,"Employed","N","N","N","N"
"B23002D",8.000,"Unemployed","N","N","N","N"
"B23002D",9.000,"Not in labor force","N","N","N","N"
"B23002D",10.000,"20 to 24 
