,"In labor force:","N","N","N","N"
"B23002F",65.000,"In Armed Forces","N","N","N","N"
"B23002F",66.000,"Civilian:","N","N","N","N"
"B23002F",67.000,"Employed","N","N","N","N"
"B23002F",68.000,"Unemployed","N","N","N","N"
"B23002F",69.000,"Not in labor force","N","N","N","N"
"B23002F",70.000,"65 to 69 years:","N","N","N","N"
"B23002F",71.000,"In labor force:","N","N","N","N"
"B23002F",72.000,"Employed","N","N","N","N"
"B23002F",73.000,"Unemployed","N","N","N","N"
"B23002F",74.000,"Not in labor force","N","N"
