00,"Civilian:","N","N","N","N"
"B23002G",14.000,"Employed","N","N","N","N"
"B23002G",15.000,"Unemployed","N","N","N","N"
"B23002G",16.000,"Not in labor force","N","N","N","N"
"B23002G",17.000,"25 to 54 years:","N","N","N","N"
"B23002G",18.000,"In labor force:","N","N","N","N"
"B23002G",19.000,"In Armed Forces","N","N","N","N"
"B23002G",20.000,"Civilian:","N","N","N","N"
"B23002G",21.000,"Employed","N","N","N","N"
"B23002G",22.000,"Unemployed","N","N","N","N"
"B23002G",23.000,"Not in labor force","N","N","N"
