.000,"In Armed Forces","N","N","N","N"
"B23002I",59.000,"Civilian:","N","N","N","N"
"B23002I",60.000,"Employed","N","N","N","N"
"B23002I",61.000,"Unemployed","N","N","N","N"
"B23002I",62.000,"Not in labor force","N","N","N","N"
"B23002I",63.000,"55 to 64 years:","N","N","N","N"
"B23002I",64.000,"In labor force:","N","N","N","N"
"B23002I",65.000,"In Armed Forces","N","N","N","N"
"B23002I",66.000,"Civilian:","N","N","N","N"
"B23002I",67.000,"Employed","N","N","N","N"
"B23002I",68.000,"Unemployed","N","N","N",
