.000,"18 and 19 years","N","N","N","N"
"B07001",21.000,"20 to 24 years","N","N","N","N"
"B07001",22.000,"25 to 29 years","N","N","N","N"
"B07001",23.000,"30 to 34 years","N","N","N","N"
"B07001",24.000,"35 to 39 years","N","N","N","N"
"B07001",25.000,"40 to 44 years","N","N","N","N"
"B07001",26.000,"45 to 49 years","N","N","N","N"
"B07001",27.000,"50 to 54 years","N","N","N","N"
"B07001",28.000,"55 to 59 years","N","N","N","N"
"B07001",29.000,"60 to 64 years","N","N","N","N"
"B07001",30.000,"65 to 69 years"
