0,"$700 to $799","N","N","N","N"
"B25122",12.000,"$800 to $899","N","N","N","N"
"B25122",13.000,"$900 to $999","N","N","N","N"
"B25122",14.000,"$1,000 to $1,249","N","N","N","N"
"B25122",15.000,"$1,250 to $1,499","N","N","N","N"
"B25122",16.000,"$1,500 to $1,999","N","N","N","N"
"B25122",17.000,"$2,000 or more","N","N","N","N"
"B25122",18.000,"No cash rent","N","N","N","N"
"B25122",19.000,"$10,000 to $19,999:","N","N","N","N"
"B25122",20.000,"With cash rent:","N","N","N","N"
"B25122",21.000,"Less than $100"
