00 to $49,999:","N","N","N","N"
"B25122",54.000,"With cash rent:","N","N","N","N"
"B25122",55.000,"Less than $100","N","N","N","N"
"B25122",56.000,"$100 to $199","N","N","N","N"
"B25122",57.000,"$200 to $299","N","N","N","N"
"B25122",58.000,"$300 to $399","N","N","N","N"
"B25122",59.000,"$400 to $499","N","N","N","N"
"B25122",60.000,"$500 to $599","N","N","N","N"
"B25122",61.000,"$600 to $699","N","N","N","N"
"B25122",62.000,"$700 to $799","N","N","N","N"
"B25122",63.000,"$800 to $899","N","N","N","N"
"B251
