,558","79,906"
"C04001",32.000,"Unclassified or not reported","5,819","+/-1,678","4,141","7,497"
"C04002",.,"SECOND ANCESTRY REPORTED",,,,
"C04002",.,"Universe: Total population",,,,
"C04002",1.000,"Total:","N","N","N","N"
"C04002",2.000,"American","N","N","N","N"
"C04002",3.000,"Arab","N","N","N","N"
"C04002",4.000,"British","N","N","N","N"
"C04002",5.000,"Czech","N","N","N","N"
"C04002",6.000,"Danish","N","N","N","N"
"C04002",7.000,"Dutch","N","N","N","N"
"C04002",8.000,"English","N","N","N","N"
"C04002",
