,"Universe:  American Indian and Alaska Native alone population 16 years and over",,,,
"C23002C",1.000,"Total:","N","N","N","N"
"C23002C",2.000,"Male:","N","N","N","N"
"C23002C",3.000,"16 to 64 years:","N","N","N","N"
"C23002C",4.000,"In labor force:","N","N","N","N"
"C23002C",5.000,"In Armed Forces","N","N","N","N"
"C23002C",6.000,"Civilian:","N","N","N","N"
"C23002C",7.000,"Employed","N","N","N","N"
"C23002C",8.000,"Unemployed","N","N","N","N"
"C23002C",9.000,"Not in labor force","N","N","N","N"
"C23002C"
