lone, not Hispanic or Latino population",,,,
"B01002H",0.700,"Median age --",,,,
"B01002H",1.000,"Total:","50.9","+/-1.8","49.1","52.7"
"B01002H",2.000,"Male","52.0","+/-2.6","49.4","54.6"
"B01002H",3.000,"Female","50.3","+/-1.5","48.8","51.8"
"B01002I",.,"MEDIAN AGE BY SEX (HISPANIC OR LATINO)",,,,
"B01002I",.,"Universe:  Hispanic or Latino population",,,,
"B01002I",0.700,"Median age --",,,,
"B01002I",1.000,"Total:","26.8","+/-4.2","22.6","31.0"
"B01002I",2.000,"Male","25.3","+/-3.1","22.2","28.4"
"B01002I
