4.000,"Sudanese","N","N","N","N"
"B04002",85.000,"Ugandan","N","N","N","N"
"B04002",86.000,"Zimbabwean","N","N","N","N"
"B04002",87.000,"African","N","N","N","N"
"B04002",88.000,"Other Subsaharan African","N","N","N","N"
"B04002",89.000,"Swedish","N","N","N","N"
"B04002",90.000,"Swiss","N","N","N","N"
"B04002",91.000,"Turkish","N","N","N","N"
"B04002",92.000,"Ukrainian","N","N","N","N"
"B04002",93.000,"Welsh","N","N","N","N"
"B04002",94.000,"West Indian (except Hispanic groups):","N","N","N","N"
"B04002",95
