.000,"Bahamian","N","N","N","N"
"B04002",96.000,"Barbadian","N","N","N","N"
"B04002",97.000,"Belizean","N","N","N","N"
"B04002",98.000,"Bermudan","N","N","N","N"
"B04002",99.000,"British West Indian","N","N","N","N"
"B04002",100.000,"Dutch West Indian","N","N","N","N"
"B04002",101.000,"Haitian","N","N","N","N"
"B04002",102.000,"Jamaican","N","N","N","N"
"B04002",103.000,"Trinidadian and Tobagonian","N","N","N","N"
"B04002",104.000,"U.S. Virgin Islander","N","N","N","N"
"B04002",105.000,"West Indian","N","N"
