8.000,"16 and 17 years","N","N","N","N"
"B17001E",39.000,"18 to 24 years","N","N","N","N"
"B17001E",40.000,"25 to 34 years","N","N","N","N"
"B17001E",41.000,"35 to 44 years","N","N","N","N"
"B17001E",42.000,"45 to 54 years","N","N","N","N"
"B17001E",43.000,"55 to 64 years","N","N","N","N"
"B17001E",44.000,"65 to 74 years","N","N","N","N"
"B17001E",45.000,"75 years and over","N","N","N","N"
"B17001E",46.000,"Female:","N","N","N","N"
"B17001E",47.000,"Under 5 years","N","N","N","N"
"B17001E",48.000,"5 years",
